gene_target,n_drugs,action_types,action_types_3cat,drugs,immune_indications,furthest_stage,furthest_stage_drugs,furthest_stage_indications
HRH1,74,AGONIST;ANTAGONIST;INVERSE AGONIST,Mixed/Undetermined,ACRIVASTINE;ALCAFTADINE;ANTAZOLINE;ASTEMIZOLE;AZATADINE;AZELASTINE;AZELASTINE HYDROCHLORIDE;BEPOTASTINE;BEPOTASTINE BESYLATE;BILASTINE;BROMODIPHENHYDRAMINE;BROMPHENIRAMINE;BROMPHENIRAMINE MALEATE;BUCLIZINE;CARBINOXAMINE,Crohn disease;acute graft versus host disease;allergic asthma;allergic disease;allergic respiratory disease;allergic rhinitis;anaphylaxis;atopic conjunctivitis;atopic eczema;autoimmune thrombocytopenic purpura;chronic graft versus host disease;cutaneous mastocytosis,Approved,ACRIVASTINE;ALCAFTADINE;ANTAZOLINE;ASTEMIZOLE;AZATADINE;AZELASTINE;AZELASTINE HYDROCHLORIDE;BEPOTASTINE;BEPOTASTINE BESYLATE;BILASTINE;BROMODIPHENHYDRAMINE;BROMPHENIRAMINE;BROMPHENIRAMINE MALEATE;BUCLIZINE;CARBINOXAMINE,allergic disease;allergic respiratory disease;allergic rhinitis;atopic conjunctivitis;atopic eczema;eye allergy;perennial allergic rhinitis;seasonal allergic rhinitis;vasomotor rhinitis
NR3C1,46,AGONIST;ANTAGONIST;BINDING AGENT;MODULATOR,Mixed/Undetermined,ABBV-3373;ALCLOMETASONE DIPROPIONATE;BECLOMETHASONE DIPROPIONATE;BETAMETHASONE;BETAMETHASONE ACETATE;BETAMETHASONE DIPROPIONATE;BETAMETHASONE SODIUM PHOSPHATE;BETAMETHASONE VALERATE;BUDESONIDE;CICLESONIDE;CLOBETASOL PROPIONATE;CORTISONE ACETATE;DEFLAZACORT;DESONIDE;DESOXIMETASONE,AIDS;Ataxia-telangiectasia;B-cell acute lymphoblastic leukemia;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;Burkitt lymphoma;Castleman disease;Chediak-Higashi syndrome;Chédiak-Higashi syndrome;Crohn disease,Approved,BECLOMETHASONE DIPROPIONATE;BETAMETHASONE ACETATE;BETAMETHASONE DIPROPIONATE;BETAMETHASONE SODIUM PHOSPHATE;BUDESONIDE;CICLESONIDE;CLOBETASOL PROPIONATE;CORTISONE ACETATE;DESONIDE;DESOXIMETASONE;DEXAMETHASONE;DEXAMETHASONE SODIUM PHOSPHATE;FLUNISOLIDE;FLUOCINOLONE ACETONIDE;FLUTICASONE FUROATE,Ataxia-telangiectasia;Crohn disease;allergic disease;allergic rhinitis;ankylosing spondylitis;ataxia telangiectasia;atopic conjunctivitis;atopic eczema;autoimmune thrombocytopenic purpura;dermatitis herpetiformis;multiple sclerosis;pemphigus vulgaris
PTGS2,46,AGONIST;INHIBITOR;OPENER,Mixed/Undetermined,ACECLOFENAC;ACETAMINOPHEN;APRICOXIB;ASPIRIN;BALSALAZIDE;BALSALAZIDE DISODIUM;BISMUTH SUBSALICYLATE;BROMFENAC;CELECOXIB;DEXIBUPROFEN;DICLOFENAC;DICLOFENAC POTASSIUM;DICLOFENAC SODIUM;DIFLUNISAL;ETODOLAC,AIDS;B-cell acute lymphoblastic leukemia;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;Burkitt lymphoma;Crohn disease;Graves ophthalmopathy;Hashimoto thyroiditis;Kawasaki disease;Langerhans cell histiocytosis,Approved,ACECLOFENAC;ACETAMINOPHEN;BALSALAZIDE;BALSALAZIDE DISODIUM;CELECOXIB;DEXIBUPROFEN;DICLOFENAC;DICLOFENAC POTASSIUM;DICLOFENAC SODIUM;DIFLUNISAL;ETODOLAC;ETORICOXIB;FENOPROFEN;FENOPROFEN CALCIUM;FLURBIPROFEN,ankylosing spondylitis;inflammatory bowel disease;proctitis;rheumatoid arthritis;seasonal allergic rhinitis;ulcerative colitis
PTGS1,35,AGONIST;INHIBITOR;OPENER,Mixed/Undetermined,ACETAMINOPHEN;ALCLOFENAC;ASPIRIN;BALSALAZIDE;BALSALAZIDE DISODIUM;BISMUTH SUBSALICYLATE;BROMFENAC;DEXIBUPROFEN;DICLOFENAC;DICLOFENAC POTASSIUM;DICLOFENAC SODIUM;DIFLUNISAL;FENOPROFEN;FENOPROFEN CALCIUM;FLURBIPROFEN,AIDS;B-cell acute lymphoblastic leukemia;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;Burkitt lymphoma;Crohn disease;Hashimoto thyroiditis;Kawasaki disease;Langerhans cell histiocytosis;MALT lymphoma,Approved,ACETAMINOPHEN;ALCLOFENAC;BALSALAZIDE;BALSALAZIDE DISODIUM;DEXIBUPROFEN;DICLOFENAC;DICLOFENAC POTASSIUM;DICLOFENAC SODIUM;DIFLUNISAL;FENOPROFEN;FENOPROFEN CALCIUM;FLURBIPROFEN;IBUPROFEN;INDOMETHACIN;KETOPROFEN,ankylosing spondylitis;inflammatory bowel disease;proctitis;rheumatoid arthritis;seasonal allergic rhinitis;ulcerative colitis
FLT3,32,AGONIST;BINDING AGENT;INHIBITOR,Mixed/Undetermined,AKN-028;AMG553;AS-602868;AT-9283;CDX-301;CRENOLANIB;DOVITINIB;ENMD-2076;FEDRATINIB;FEDRATINIB HYDROCHLORIDE;FF-10101;FLYSYN;GILTERITINIB;GILTERITINIB FUMARATE;IMC-EB10,"B-cell chronic lymphocytic leukemia;Waldenstrom macroglobulinemia;acquired polycythemia vera;acute leukemia of ambiguous lineage;acute monocytic leukemia;acute myeloid leukemia;acute myeloid leukemia by FAB classification;acute promyelocytic leukemia;aggressive systemic mastocytosis;chronic graft versus host disease;chronic myelogenous leukemia, BCR-ABL1 positive;chronic myelomonocytic leukemia",Approved,FEDRATINIB;FEDRATINIB HYDROCHLORIDE;GILTERITINIB;GILTERITINIB FUMARATE;LESTAURTINIB;MIDOSTAURIN;PACRITINIB;PACRITINIB CITRATE;QUIZARTINIB;QUIZARTINIB DIHYDROCHLORIDE,acquired polycythemia vera;acute myeloid leukemia;acute myeloid leukemia by FAB classification;mast cell leukemia;mastocytosis;myelofibrosis;myeloid leukemia;primary myelofibrosis;systemic mastocytosis
JAK2,27,INHIBITOR,Inhibiting,AT-9283;AZD-1480;BARICITINIB;BMS-911543;DELGOCITINIB;FEDRATINIB;FEDRATINIB HYDROCHLORIDE;FILGOTINIB;FILGOTINIB MALEATE;GANDOTINIB;GUSACITINIB;IZENCITINIB;LESTAURTINIB;MOMELOTINIB;MOMELOTINIB DIHYDROCHLORIDE MONOHYDRATE,Aicardi-Goutieres syndrome;Autosomal dominant hyper-IgE syndrome;B-cell acute lymphoblastic leukemia;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;Crohn disease;Sjogren syndrome;T-cell acute lymphoblastic leukemia;T-cell adult acute lymphocytic leukemia;T-cell large granular lymphocyte leukemia,Approved,BARICITINIB;DELGOCITINIB;FEDRATINIB;FEDRATINIB HYDROCHLORIDE;FILGOTINIB;FILGOTINIB MALEATE;LESTAURTINIB;MOMELOTINIB;MOMELOTINIB DIHYDROCHLORIDE MONOHYDRATE;PACRITINIB;PACRITINIB CITRATE;RUXOLITINIB;RUXOLITINIB PHOSPHATE;TOFACITINIB;TOFACITINIB CITRATE,Crohn disease;acquired polycythemia vera;acute myeloid leukemia by FAB classification;ankylosing spondylitis;atopic eczema;chronic graft versus host disease;essential thrombocythemia;graft versus host disease;myelofibrosis;primary myelofibrosis;psoriatic arthritis;rheumatoid arthritis
ABL1,26,INHIBITOR,Inhibiting,ASCIMINIB;ASCIMINIB HYDROCHLORIDE;AT-9283;BAFETINIB;BOSUTINIB;BOSUTINIB MONOHYDRATE;DASATINIB;DASATINIB ANHYDROUS;FLUMATINIB;IMATINIB;IMATINIB MESYLATE;KW-2449;NILOTINIB;NILOTINIB HYDROCHLORIDE MONOHYDRATE;OLVEREMBATINIB,B-cell acute lymphoblastic leukemia;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;T-cell acute lymphoblastic leukemia;T-cell adult acute lymphocytic leukemia;Waldenstrom macroglobulinemia;acquired polycythemia vera;acute leukemia of ambiguous lineage;acute myeloid leukemia;acute myeloid leukemia by FAB classification,Approved,ASCIMINIB;ASCIMINIB HYDROCHLORIDE;BOSUTINIB MONOHYDRATE;DASATINIB;DASATINIB ANHYDROUS;IMATINIB;IMATINIB MESYLATE;NILOTINIB;NILOTINIB HYDROCHLORIDE MONOHYDRATE;PONATINIB;PONATINIB HYDROCHLORIDE;UMBRALISIB;UMBRALISIB TOSYLATE,"B-cell acute lymphoblastic leukemia;blast phase chronic myelogenous leukemia, BCR-ABL1 positive;chronic myelogenous leukemia, BCR-ABL1 positive;follicular lymphoma;hypereosinophilic syndrome;marginal zone lymphoma;myeloid leukemia"
PIK3CD,25,INHIBITOR,Inhibiting,ACALISIB;AMG-319;BUPARLISIB;CAL-263;COPANLISIB;COPANLISIB HYDROCHLORIDE;DACTOLISIB;DUVELISIB;DUVELISIB MONOHYDRATE;FIMEPINOSTAT;GEDATOLISIB;IDELALISIB;INCB-40093;LENIOLISIB;LENIOLISIB PHOSPHATE,B-cell acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;Burkitt lymphoma;Sjogren syndrome;Waldenstrom macroglobulinemia;acquired polycythemia vera;acute myeloid leukemia;adult T-cell leukemia/lymphoma;allergic rhinitis;autoimmune hemolytic anemia;autoimmune lymphoproliferative syndrome,Approved,COPANLISIB;COPANLISIB HYDROCHLORIDE;DUVELISIB;DUVELISIB MONOHYDRATE;IDELALISIB;LENIOLISIB PHOSPHATE;UMBRALISIB;UMBRALISIB TOSYLATE,B-cell chronic lymphocytic leukemia;follicular lymphoma;inborn error of immunity;marginal zone lymphoma;neoplasm of mature B-cells
TUBA1A,25,BINDING AGENT;DISRUPTING AGENT;INHIBITOR,Inhibiting,AVE-9633;AZINTUXIZUMAB VEDOTIN;BELANTAMAB MAFODOTIN;BRENTUXIMAB VEDOTIN;COLCHICINE;COLTUXIMAB RAVTANSINE;DENINTUZUMAB MAFODOTIN;DOCETAXEL;DOLASTATIN-10;FOSBRETABULIN;INDATUXIMAB RAVTANSINE;IXABEPILONE;LEXIBULIN;LORVOTUZUMAB MERTANSINE;PACLITAXEL,AIDS;B-cell acute lymphoblastic leukemia;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;Burkitt lymphoma;Castleman disease;Hashimoto thyroiditis;Langerhans cell histiocytosis;MALT lymphoma;Postpericardiotomy Syndrome,Approved,BELANTAMAB MAFODOTIN;COLCHICINE;POLATUZUMAB VEDOTIN;VINCRISTINE SULFATE,B-cell non-Hodgkin lymphoma;diffuse large B-cell lymphoma;familial Mediterranean fever;plasma cell myeloma
TUBA1B,25,BINDING AGENT;DISRUPTING AGENT;INHIBITOR,Inhibiting,AVE-9633;AZINTUXIZUMAB VEDOTIN;BELANTAMAB MAFODOTIN;BRENTUXIMAB VEDOTIN;COLCHICINE;COLTUXIMAB RAVTANSINE;DENINTUZUMAB MAFODOTIN;DOCETAXEL;DOLASTATIN-10;FOSBRETABULIN;INDATUXIMAB RAVTANSINE;IXABEPILONE;LEXIBULIN;LORVOTUZUMAB MERTANSINE;PACLITAXEL,AIDS;B-cell acute lymphoblastic leukemia;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;Burkitt lymphoma;Castleman disease;Hashimoto thyroiditis;Langerhans cell histiocytosis;MALT lymphoma;Postpericardiotomy Syndrome,Approved,BELANTAMAB MAFODOTIN;COLCHICINE;POLATUZUMAB VEDOTIN;VINCRISTINE SULFATE,B-cell non-Hodgkin lymphoma;diffuse large B-cell lymphoma;familial Mediterranean fever;plasma cell myeloma
