drug,chembl_id,drug_type,gene_target,action_type,moa,immune_indication,disease_id,drug_stage_for_immune_indication,ot_approved_immune
.ALPHA.1-PROTEINASE INHIBITOR HUMAN,CHEMBL4297879,Protein,ELANE,INHIBITOR,Leukocyte elastase inhibitor,acute graft versus host disease,MONDO_0020546,Phase 2,0
.ALPHA.1-PROTEINASE INHIBITOR HUMAN,CHEMBL4297879,Protein,ELANE,INHIBITOR,Leukocyte elastase inhibitor,graft versus host disease,MONDO_0013730,Phase 3,0
.ALPHA.1-PROTEINASE INHIBITOR HUMAN,CHEMBL4297879,Protein,ELANE,INHIBITOR,Leukocyte elastase inhibitor,type 1 diabetes mellitus,MONDO_0005147,Phase 2,0
9-AMINOCAMPTOTHECIN,CHEMBL274070,Small molecule,TOP1,INHIBITOR,DNA topoisomerase I inhibitor,AIDS,MONDO_0012268,Phase 2,0
ABALOPARATIDE,CHEMBL3301581,Protein,PTH1R,AGONIST,Parathyroid hormone receptor agonist,chronic myelomonocytic leukemia,MONDO_0020311,Phase 1,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,Crohn disease,MONDO_0005011,Phase 3,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,Sjogren syndrome,MONDO_0010030,Phase 3,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,acute myeloid leukemia,MONDO_0018874,Phase 2,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,ankylosing spondylitis,MONDO_0005306,Phase 2,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,autoimmune hepatitis,MONDO_0016264,Phase 1,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,chronic graft versus host disease,MONDO_0020547,Phase 1,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,common variable immunodeficiency,MONDO_0015517,Phase 2,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,cutaneous lupus erythematosus,MONDO_0005282,Phase 2,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,graft versus host disease,MONDO_0013730,Phase 2,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,granulomatosis with polyangiitis,MONDO_0012105,Phase 3,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,immune system disorder,MONDO_0005046,Approved,1
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,immunoglobulin G4-related sclerosing disease,MONDO_0017287,Phase 2,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,multiple sclerosis,MONDO_0005301,Phase 2,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,myasthenia gravis,MONDO_0009688,Phase 1,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,peanut allergic reaction,EFO_0007425,Phase 2,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,plasma cell myeloma,MONDO_0009693,Phase 2,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,psoriasis vulgaris,EFO_1001494,Phase 2,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,psoriatic arthritis,MONDO_0011849,Approved,1
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,rheumatoid arthritis,MONDO_0008383,Approved,1
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,systemic lupus erythematosus,MONDO_0007915,Phase 2,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,systemic sclerosis,MONDO_0005100,Phase 2,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,type 1 diabetes mellitus,MONDO_0005147,Phase 2,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,ulcerative colitis,MONDO_0005101,Phase 3,0
ABATACEPT,CHEMBL1201823,Protein,CD80;CD86,INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor;T-lymphocyte activation antigen CD86 inhibitor,vitiligo,MONDO_0008661,Phase 1,0
ABBV-3373,CHEMBL4297572,Unknown,NR3C1;TNF,BINDING AGENT;MODULATOR,Glucocorticoid receptor modulator;TNF-alpha binding agent,rheumatoid arthritis,MONDO_0008383,Phase 2,0
ABC-294640,CHEMBL2158685,Small molecule,SPHK2,INHIBITOR,Sphingosine kinase 2 inhibitor,diffuse large B-cell lymphoma,MONDO_0018905,Phase 2,0
ABC-294640,CHEMBL2158685,Small molecule,SPHK2,INHIBITOR,Sphingosine kinase 2 inhibitor,plasma cell myeloma,MONDO_0009693,Phase 2,0
ABEMACICLIB,CHEMBL3301610,Small molecule,CDK4;CDK6,INHIBITOR,Cyclin-dependent kinase 4 inhibitor;Cyclin-dependent kinase 6 inhibitor,mantle cell lymphoma,MONDO_0018876,Phase 2,0
ABEMACICLIB,CHEMBL3301610,Small molecule,CDK4;CDK6,INHIBITOR,Cyclin-dependent kinase 4 inhibitor;Cyclin-dependent kinase 6 inhibitor,myelofibrosis,MONDO_0044903,Phase 1,0
ABEMACICLIB,CHEMBL3301610,Small molecule,CDK4;CDK6,INHIBITOR,Cyclin-dependent kinase 4 inhibitor;Cyclin-dependent kinase 6 inhibitor,plasma cell myeloma,MONDO_0009693,Phase 2,0
ABEMACICLIB,CHEMBL3301610,Small molecule,CDK4;CDK6,INHIBITOR,Cyclin-dependent kinase 4 inhibitor;Cyclin-dependent kinase 6 inhibitor,primary central nervous system lymphoma,MONDO_0002571,Phase 2,0
ABEXINOSTAT,CHEMBL2103863,Small molecule,HDAC1;HDAC10;HDAC11;HDAC2;HDAC3;HDAC4;HDAC5;HDAC6;HDAC7;HDAC8;HDAC9,INHIBITOR,Histone deacetylase inhibitor,acute myeloid leukemia by FAB classification,MONDO_0015667,Phase 2,0
ABEXINOSTAT,CHEMBL2103863,Small molecule,HDAC1;HDAC10;HDAC11;HDAC2;HDAC3;HDAC4;HDAC5;HDAC6;HDAC7;HDAC8;HDAC9,INHIBITOR,Histone deacetylase inhibitor,diffuse large B-cell lymphoma,MONDO_0018905,Phase 2,0
ABEXINOSTAT,CHEMBL2103863,Small molecule,HDAC1;HDAC10;HDAC11;HDAC2;HDAC3;HDAC4;HDAC5;HDAC6;HDAC7;HDAC8;HDAC9,INHIBITOR,Histone deacetylase inhibitor,follicular lymphoma,MONDO_0018906,Phase 3,0
ABEXINOSTAT,CHEMBL2103863,Small molecule,HDAC1;HDAC10;HDAC11;HDAC2;HDAC3;HDAC4;HDAC5;HDAC6;HDAC7;HDAC8;HDAC9,INHIBITOR,Histone deacetylase inhibitor,mantle cell lymphoma,MONDO_0018876,Phase 1,0
ABITUZUMAB,CHEMBL2109621,Antibody,ITGAV;ITGB1;ITGB3;ITGB5;ITGB6;ITGB8,INHIBITOR,Integrin alpha-V/beta-1 inhibitor;Integrin alpha-V/beta-3 inhibitor;Integrin alpha-V/beta-5 inhibitor;Integrin alpha-V/beta-6 inhibitor;Integrin alpha-V/beta-8 inhibitor,systemic sclerosis,MONDO_0005100,Phase 2,0
ABIVERTINIB,CHEMBL4297865,Small molecule,BTK;EGFR,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor;Tyrosine-protein kinase BTK inhibitor,B-cell chronic lymphocytic leukemia,MONDO_0004948,Phase 1,0
ABIVERTINIB,CHEMBL4297865,Small molecule,BTK;EGFR,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor;Tyrosine-protein kinase BTK inhibitor,B-cell non-Hodgkin lymphoma,MONDO_0015759,Phase 1,0
ABIVERTINIB,CHEMBL4297865,Small molecule,BTK;EGFR,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor;Tyrosine-protein kinase BTK inhibitor,diffuse large B-cell lymphoma,MONDO_0018905,Phase 1,0
ABIVERTINIB,CHEMBL4297865,Small molecule,BTK;EGFR,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor;Tyrosine-protein kinase BTK inhibitor,mantle cell lymphoma,MONDO_0018876,Phase 1,0
ABOBOTULINUMTOXINA,CHEMBL2108570,Unknown,SNAP25,INHIBITOR,Synaptosomal nerve-associated protein 25 (SNAP-25) inhibitor,multiple sclerosis,MONDO_0005301,Phase 3,0
ABRILUMAB,CHEMBL3137351,Antibody,ITGA4;ITGB7,INHIBITOR,Integrin alpha-4/beta-7 inhibitor,Crohn disease,MONDO_0005011,Phase 2,0
ABRILUMAB,CHEMBL3137351,Antibody,ITGA4;ITGB7,INHIBITOR,Integrin alpha-4/beta-7 inhibitor,ulcerative colitis,MONDO_0005101,Phase 2,0
ABROCITINIB,CHEMBL3655081,Small molecule,JAK1,INHIBITOR,Tyrosine-protein kinase JAK1 inhibitor,atopic eczema,MONDO_0004980,Approved,1
