gene,furthest_stage,pu_role
A1BG,,unlabeled
A1CF,,unlabeled
A2M,,unlabeled
A2ML1,,unlabeled
A3GALT2,,unlabeled
A4GALT,,unlabeled
A4GNT,,unlabeled
AAAS,,unlabeled
AACS,,unlabeled
AADAC,,unlabeled
AADACL2,,unlabeled
AADACL3,,unlabeled
AADACL4,,unlabeled
AADAT,,unlabeled
AAGAB,,unlabeled
AAK1,,unlabeled
AAMDC,,unlabeled
AAMP,,unlabeled
AANAT,,unlabeled
AAR2,,unlabeled
AARD,,unlabeled
AARS1,,unlabeled
AARS2,,unlabeled
AARSD1,,unlabeled
AASDH,,unlabeled
AASDHPPT,,unlabeled
AASS,,unlabeled
AATF,,unlabeled
LMTK1,,unlabeled
ABAT,Unknown,unlabeled
ABCA1,,unlabeled
ABCA10,,unlabeled
ABCA12,,unlabeled
ABCA13,,unlabeled
ABCA2,,unlabeled
ABCA3,,unlabeled
ABCA4,,unlabeled
ABCA5,,unlabeled
ABCA6,,unlabeled
ABCA7,,unlabeled
ABCA8,,unlabeled
ABCA9,,unlabeled
ABCB1,Phase 3,trial_heldout
ABCB10,,unlabeled
ABCB11,,unlabeled
ABCB4,,unlabeled
ABCB5,,unlabeled
ABCB6,,unlabeled
ABCB7,,unlabeled
ABCB8,,unlabeled
ABCB9,,unlabeled
ABCC1,,unlabeled
ABCC10,,unlabeled
ABCC11,,unlabeled
ABCC12,,unlabeled
ABCC2,,unlabeled
ABCC3,,unlabeled
ABCC4,,unlabeled
ABCC5,,unlabeled
ABCC6,,unlabeled
ABCC8,Phase 3,trial_heldout
ABCC9,Phase 2,trial_heldout
ABCD1,,unlabeled
ABCD2,,unlabeled
ABCD3,,unlabeled
ABCD4,,unlabeled
ABCE1,,unlabeled
ABCF1,,unlabeled
ABCF2,,unlabeled
ABCF2-H2BK1,,unlabeled
ABCF3,,unlabeled
ABCG1,,unlabeled
ABCG2,,unlabeled
ABCG4,,unlabeled
ABCG5,,unlabeled
ABCG8,,unlabeled
ABHD1,,unlabeled
ABHD10,,unlabeled
ABHD11,,unlabeled
ABHD12,,unlabeled
ABHD12B,,unlabeled
ABHD13,,unlabeled
ABHD14A,,unlabeled
ABHD14A-ACY1,,unlabeled
ABHD14B,,unlabeled
ABHD15,,unlabeled
ABHD16A,,unlabeled
ABHD16B,,unlabeled
ABHD17A,,unlabeled
ABHD17B,,unlabeled
ABHD17C,,unlabeled
ABHD18,,unlabeled
ABHD2,,unlabeled
ABHD3,,unlabeled
ABHD4,,unlabeled
ABHD5,,unlabeled
ABHD6,,unlabeled
ABHD8,,unlabeled
ABI1,,unlabeled
ABI2,,unlabeled
ABI3,,unlabeled
ABI3BP,,unlabeled
ABITRAM,,unlabeled
ABL1,Approved,P
ABL2,,unlabeled
ABLIM1,,unlabeled
ABLIM2,,unlabeled
ABLIM3,,unlabeled
ABO,,unlabeled
ABR,,unlabeled
ABRA,,unlabeled
ABRACL,,unlabeled
ABRAXAS1,,unlabeled
ABRAXAS2,,unlabeled
ABT1,,unlabeled
ABTB1,,unlabeled
ABTB2,,unlabeled
ACAA1,,unlabeled
ACAA2,,unlabeled
ACACA,,unlabeled
ACACB,,unlabeled
ACAD10,,unlabeled
ACAD11,,unlabeled
ACAD8,,unlabeled
ACAD9,,unlabeled
ACADL,,unlabeled
ACADM,,unlabeled
ACADS,,unlabeled
ACADSB,,unlabeled
ACADVL,,unlabeled
ACAN,,unlabeled
ACAP1,,unlabeled
ACAP2,,unlabeled
ACAP3,,unlabeled
ACAT1,,unlabeled
ACAT2,,unlabeled
ACBD3,,unlabeled
ACBD4,,unlabeled
ACBD5,,unlabeled
ACBD6,,unlabeled
ACBD7,,unlabeled
ACCS,,unlabeled
ACCSL,,unlabeled
ACD,,unlabeled
ACE,Phase 3,trial_heldout
ACE2,,unlabeled
ACER1,,unlabeled
ACER2,,unlabeled
ACER3,,unlabeled
ACHE,Approved,P
ACIN1,,unlabeled
ACKR1,,unlabeled
ACKR2,,unlabeled
ACKR3,,unlabeled
ACKR4,,unlabeled
ACLY,,unlabeled
