gene,culture_condition,n_sig
A1BG,Rest,0
A1BG,Stim48hr,0
A1BG,Stim8hr,0
A2M,Rest,0
A2M,Stim48hr,0
A2M,Stim8hr,0
AAAS,Rest,0
AAAS,Stim48hr,0
AAAS,Stim8hr,0
AACS,Rest,0
AACS,Stim48hr,0
AACS,Stim8hr,0
AAGAB,Rest,0
AAGAB,Stim48hr,0
AAGAB,Stim8hr,0
AAK1,Rest,0
AAK1,Stim48hr,0
AAK1,Stim8hr,0
AAMDC,Rest,0
AAMDC,Stim48hr,0
AAMDC,Stim8hr,0
AAR2,Rest,0
AAR2,Stim48hr,1
AAR2,Stim8hr,0
AARS2,Rest,0
AARSD1,Rest,0
AARSD1,Stim48hr,0
AARSD1,Stim8hr,0
AASDH,Rest,0
AASDH,Stim48hr,0
AASDH,Stim8hr,0
AASDHPPT,Rest,0
AASDHPPT,Stim48hr,0
AASDHPPT,Stim8hr,0
AASS,Rest,0
AASS,Stim48hr,0
AASS,Stim8hr,0
ABAT,Rest,0
ABAT,Stim48hr,0
ABAT,Stim8hr,0
ABCA1,Rest,1
ABCA1,Stim48hr,1
ABCA1,Stim8hr,1
ABCA2,Rest,0
ABCA2,Stim48hr,0
ABCA2,Stim8hr,0
ABCA3,Rest,0
ABCA3,Stim48hr,2
ABCA3,Stim8hr,0
ABCA5,Rest,0
ABCA5,Stim48hr,0
ABCA5,Stim8hr,0
ABCA7,Rest,0
ABCA7,Stim48hr,0
ABCA7,Stim8hr,0
ABCB1,Rest,0
ABCB1,Stim48hr,0
ABCB1,Stim8hr,0
ABCB6,Rest,0
ABCB6,Stim48hr,0
ABCB6,Stim8hr,0
ABCB7,Stim8hr,1
ABCB8,Rest,0
ABCB8,Stim48hr,0
ABCB8,Stim8hr,0
ABCB9,Rest,0
ABCB9,Stim48hr,0
ABCB9,Stim8hr,0
ABCC1,Rest,1
ABCC1,Stim48hr,0
ABCC1,Stim8hr,0
ABCC10,Rest,0
ABCC10,Stim48hr,0
ABCC10,Stim8hr,0
ABCC2,Rest,0
ABCC2,Stim48hr,0
ABCC2,Stim8hr,0
ABCC3,Rest,0
ABCC3,Stim48hr,0
ABCC3,Stim8hr,0
ABCC4,Rest,0
ABCC4,Stim48hr,0
ABCC4,Stim8hr,0
ABCC5,Rest,0
ABCC5,Stim48hr,0
ABCC5,Stim8hr,0
ABCC8,Rest,0
ABCC8,Stim48hr,0
ABCC8,Stim8hr,0
ABCD2,Rest,3
ABCD2,Stim48hr,0
ABCD2,Stim8hr,1
ABCD3,Rest,0
ABCD3,Stim48hr,0
ABCD3,Stim8hr,0
ABCD4,Rest,0
ABCD4,Stim48hr,0
ABCD4,Stim8hr,0
ABCE1,Rest,0
ABCE1,Stim48hr,0
ABCE1,Stim8hr,0
ABCF2,Rest,0
ABCF2,Stim48hr,0
ABCF2,Stim8hr,0
ABCF3,Rest,0
ABCF3,Stim48hr,0
ABCF3,Stim8hr,0
ABCG1,Rest,0
ABCG1,Stim48hr,0
ABCG1,Stim8hr,0
ABHD10,Rest,0
ABHD10,Stim48hr,0
ABHD10,Stim8hr,0
ABHD11,Rest,0
ABHD11,Stim48hr,0
ABHD11,Stim8hr,0
ABHD12,Rest,0
ABHD12,Stim48hr,0
ABHD12,Stim8hr,0
ABHD13,Rest,2
ABHD13,Stim48hr,0
ABHD13,Stim8hr,2
ABHD14A,Rest,0
ABHD14A,Stim48hr,0
ABHD14A,Stim8hr,0
ABHD14B,Rest,1
ABHD14B,Stim48hr,0
ABHD14B,Stim8hr,0
ABHD15,Stim48hr,0
ABHD16A,Rest,0
ABHD16A,Stim48hr,0
ABHD16A,Stim8hr,0
ABHD16B,Rest,3
ABHD16B,Stim48hr,0
ABHD16B,Stim8hr,0
ABHD17A,Rest,0
ABHD17A,Stim48hr,0
ABHD17A,Stim8hr,0
ABHD17B,Rest,0
ABHD17B,Stim48hr,0
ABHD17B,Stim8hr,0
ABHD18,Rest,0
ABHD18,Stim48hr,0
ABHD18,Stim8hr,0
ABHD2,Rest,0
ABHD2,Stim48hr,0
ABHD2,Stim8hr,0
ABHD3,Rest,0
ABHD3,Stim48hr,0
ABHD3,Stim8hr,0
ABHD4,Rest,0
ABHD4,Stim48hr,0
ABHD4,Stim8hr,0
ABHD5,Rest,1
ABHD5,Stim48hr,0
ABHD5,Stim8hr,0
ABHD6,Rest,2
ABHD6,Stim48hr,0
ABHD6,Stim8hr,0
ABHD8,Rest,0
ABHD8,Stim48hr,0
ABHD8,Stim8hr,0
ABI1,Rest,0
ABI1,Stim48hr,0
ABI1,Stim8hr,0
ABI2,Rest,0
ABI2,Stim48hr,0
ABI2,Stim8hr,0
ABI3,Rest,1
ABI3,Stim48hr,0
ABI3,Stim8hr,0
ABITRAM,Rest,0
ABITRAM,Stim48hr,0
ABITRAM,Stim8hr,0
ABL1,Rest,1
ABL1,Stim48hr,0
ABL1,Stim8hr,0
ABL2,Rest,0
ABL2,Stim48hr,0
ABL2,Stim8hr,0
ABLIM3,Rest,0
ABLIM3,Stim48hr,0
