symbol	status	alias_symbol	prev_symbol
A1BG	Approved		
A1BG-AS1	Approved	FLJ23569	NCRNA00181|A1BGAS|A1BG-AS
A1CF	Approved	ACF|ASP|ACF64|ACF65|APOBEC1CF	
A2M	Approved	FWP007|S863-7|CPAMD5	
A2M-AS1	Approved		
A2ML1	Approved	FLJ25179|p170	CPAMD9
A2ML1-AS1	Approved		
A2ML1-AS2	Approved		
A3GALT2	Approved	IGBS3S|IGB3S	A3GALT2P
A4GALT	Approved	A14GALT|Gb3S|P(k)	P1
A4GNT	Approved	alpha4GnT	
AAAS	Approved		
AACS	Approved	FLJ12389|SUR-5|ACSF1	
AACSP1	Approved		AACSL
AADAC	Approved	DAC|CES5A1	
AADACL2	Approved	MGC72001	
AADACL2-AS1	Approved		
AADACL3	Approved	OTTHUMG00000001887	
AADACL4	Approved	OTTHUMG00000001889	
AADACP1	Approved		
AADAT	Approved	KATII|KAT2|KYAT2	
AAGAB	Approved	FLJ11506|p34	
AAK1	Approved	KIAA1048|DKFZp686K16132	
AAMDC	Approved	PTD015|FLJ21035|CK067	C11orf67
AAMP	Approved		
AANAT	Approved	SNAT	
AAR2	Approved	bA234K24.2	C20orf4
AARD	Approved	LOC441376	C8orf85
AARS1	Approved	CMT2N|AlaRS	AARS
AARS1P1	Approved		AARSP1
AARS2	Approved	KIAA1270|bA444E17.1	AARSL
AARSD1	Approved	MGC2744|AlaXp	
AARSD1P1	Approved		
AASDH	Approved	NRPS998|LYS2|ACSF4	
AASDH-DT	Approved		
AASDHPPT	Approved	LYS5|CGI-80|AASD-PPT|ACPS	
AASDHPPT-AS1	Approved		
AASS	Approved	LORSDH|LKRSDH|LKR/SDH	
AATBC	Approved		
AATF	Approved	DED|CHE-1|CHE1|BFR2	
AAVS1	Approved	AAV	
ABAT	Approved	GABAT|GABA-T	
ABCA1	Approved	TGD	ABC1|HDLDT1
ABCA2	Approved		ABC2
ABCA3	Approved	ABC-C|EST111653|LBM180	ABC3
ABCA4	Approved	FFM|ARMD2|CORD3	STGD1|ABCR|RP19|STGD
ABCA5	Approved	EST90625	
ABCA6	Approved	EST155051	
ABCA7	Approved	ABCX	
ABCA8	Approved	KIAA0822	
ABCA9	Approved	EST640918	
ABCA9-AS1	Approved		
ABCA10	Approved	EST698739	
ABCA11P	Approved	ABCA10P|EST1133530|FLJ14297	ABCA11
ABCA12	Approved	DKFZP434G232|LI2	ICR2B
ABCA13	Approved	FLJ33876|FLJ33951	
ABCA15P	Approved	ABCA15P1|FLJ41766	NCRNA00169|CRYM-AS1
ABCA16P	Approved	ABCA15P2	ABCA3P1
ABCA17P	Approved		
ABCB1	Approved	P-gp|CD243|GP170|ABC20|p-170|PGY1	PGY1|MDR1|CLCS
ABCB4	Approved	MDR2|PFIC-3|GBD1	PGY3|MDR3
ABCB4P1	Approved		
ABCB5	Approved	EST422562|ABCB5beta|ABCB5alpha	
ABCB6	Approved	EST45597|umat|MTABC3	
ABCB7	Approved	EST140535|Atm1p|ASAT	ABC7
ABCB8	Approved	EST328128|M-ABC1|MABC1|MITOSUR	
ABCB9	Approved	EST122234	
ABCB10	Approved	EST20237|M-ABC2|MTABC2	
ABCB10P1	Approved	M-ABC2|MABC2	ABCB10P|ABCB10P2
ABCB10P3	Approved		
ABCB10P4	Approved		
ABCB11	Approved	ABC16|SPGP|PFIC-2|PGY4	BSEP|PFIC2
ABCC1	Approved	GS-X	MRP|MRP1
ABCC2	Approved	DJS|MRP2|cMRP	CMOAT
ABCC3	Approved	MRP3|cMOAT2|EST90757|MLP2|MOAT-D	
ABCC4	Approved	MRP4|EST170205|MOAT-B|MOATB	
ABCC5	Approved	MRP5|SMRP|EST277145|MOAT-C	
ABCC5-AS1	Approved		
ABCC6	Approved	MRP6|EST349056|MLP1|URG7	ARA|PXE
ABCC6P1	Approved		
ABCC6P2	Approved		
ABCC8	Approved	HI|PHHI|SUR1|MRP8|ABC36|HHF1|TNDM2	SUR|HRINS
ABCC9	Approved	SUR2|CMD1O	
ABCC10	Approved	EST182763|MRP7|SIMRP7	
ABCC11	Approved	MRP8	
ABCC12	Approved	MRP9	
ABCC13	Approved	PRED6|C21orf73|ABCC13P	
ABCD1	Approved	AMN|ALDP|adrenoleukodystrophy	ALD
ABCD1P1	Approved		
ABCD1P2	Approved	bA453N3.6	
ABCD1P3	Approved		
