gene,approval_year,source
ABL1,2001,chembl_rest_approved_immune
ACHE,1951,chembl_rest_approved_immune
ACVR1,2022,chembl_rest_approved_immune
ADA,1991,chembl_rest_approved_immune
ADAMTS13,2023,chembl_rest_approved_immune
ADRA1A,1952,chembl_rest_approved_immune
ADRA1B,1952,chembl_rest_approved_immune
ADRA1D,1952,chembl_rest_approved_immune
ADRA2A,1965,chembl_rest_approved_immune
ADRA2B,1965,chembl_rest_approved_immune
ADRA2C,1965,chembl_rest_approved_immune
ADRB1,1965,chembl_rest_approved_immune
ADRB2,1965,chembl_rest_approved_immune
ADRB3,1965,chembl_rest_approved_immune
ADRM1,2003,chembl_rest_approved_immune
AHR,2022,chembl_rest_approved_immune
ALOX5,1950,chembl_rest_approved_immune
AR,2018,chembl_rest_approved_immune
ATP4A,1989,chembl_rest_approved_immune
ATP4B,1989,chembl_rest_approved_immune
AXL,2018,chembl_rest_approved_immune
BCL2,2016,chembl_rest_approved_immune
BCR,2001,chembl_rest_approved_immune
BLK,2006,chembl_rest_approved_immune
BTK,2013,chembl_rest_approved_immune
C1S,2022,chembl_rest_approved_immune
C5,2007,chembl_rest_approved_immune
C5AR1,2021,chembl_rest_approved_immune
CCR4,2018,chembl_rest_approved_immune
CD19,2014,chembl_rest_approved_immune
CD2,2003,chembl_rest_approved_immune
CD22,2017,chembl_rest_approved_immune
CD33,2000,chembl_rest_approved_immune
CD38,2015,chembl_rest_approved_immune
CD3D,1986,chembl_rest_approved_immune
CD3E,1986,chembl_rest_approved_immune
CD3G,1986,chembl_rest_approved_immune
CD52,2001,chembl_rest_approved_immune
CD79B,2019,chembl_rest_approved_immune
CD80,2006,chembl_rest_approved_immune
CD86,2006,chembl_rest_approved_immune
CDA,2020,chembl_rest_approved_immune
CHRM1,1957,chembl_rest_approved_immune
CHRM2,1960,chembl_rest_approved_immune
CHRM3,1957,chembl_rest_approved_immune
CRBN,1956,chembl_rest_approved_immune
CSF1R,2023,chembl_rest_approved_immune
CSF2RA,1991,chembl_rest_approved_immune
CSF2RB,1991,chembl_rest_approved_immune
CSF3R,1991,chembl_rest_approved_immune
CSNK1E,2021,chembl_rest_approved_immune
CUL4A,1956,chembl_rest_approved_immune
CXCR4,2008,chembl_rest_approved_immune
CYSLTR1,1998,chembl_rest_approved_immune
DDB1,1956,chembl_rest_approved_immune
DHFR,1953,chembl_rest_approved_immune
DHODH,1998,chembl_rest_approved_immune
DNMT1,2004,chembl_rest_approved_immune
DNMT3A,2004,chembl_rest_approved_immune
DRD2,1961,chembl_rest_approved_immune
EDNRA,2001,chembl_rest_approved_immune
EDNRB,2001,chembl_rest_approved_immune
EEF2,2018,chembl_rest_approved_immune
EPHA2,2006,chembl_rest_approved_immune
EZH2,2020,chembl_rest_approved_immune
F9,2024,chembl_rest_approved_immune
FAAH,1968,chembl_rest_approved_immune
FCGRT,2021,chembl_rest_approved_immune
FDPS,2001,chembl_rest_approved_immune
FGFR1,2014,chembl_rest_approved_immune
FGFR2,2014,chembl_rest_approved_immune
FGFR3,2014,chembl_rest_approved_immune
FGFR4,2014,chembl_rest_approved_immune
FGR,2006,chembl_rest_approved_immune
FKBP1A,1994,chembl_rest_approved_immune
FLT1,2014,chembl_rest_approved_immune
FLT3,2017,chembl_rest_approved_immune
FLT4,2014,chembl_rest_approved_immune
FRK,2006,chembl_rest_approved_immune
FYN,2006,chembl_rest_approved_immune
GABBR1,1977,chembl_rest_approved_immune
GABBR2,1977,chembl_rest_approved_immune
GCGR,2021,chembl_rest_approved_immune
GPRC5D,2023,chembl_rest_approved_immune
GRIN2A,1984,chembl_rest_approved_immune
GSR,1977,chembl_rest_approved_immune
HCK,2006,chembl_rest_approved_immune
HDAC1,2015,chembl_rest_approved_immune
HDAC10,2015,chembl_rest_approved_immune
HDAC11,2015,chembl_rest_approved_immune
HDAC2,2015,chembl_rest_approved_immune
HDAC3,2015,chembl_rest_approved_immune
HDAC4,2015,chembl_rest_approved_immune
HDAC5,2015,chembl_rest_approved_immune
HDAC6,2015,chembl_rest_approved_immune
HDAC7,2015,chembl_rest_approved_immune
HDAC8,2015,chembl_rest_approved_immune
HDAC9,2015,chembl_rest_approved_immune
HRH1,1939,chembl_rest_approved_immune
HRH2,1986,chembl_rest_approved_immune
IDH1,2018,chembl_rest_approved_immune
IDH2,2017,chembl_rest_approved_immune
IFNAR1,1986,chembl_rest_approved_immune
IFNAR2,1986,chembl_rest_approved_immune
IFNG,2018,chembl_rest_approved_immune
IFNGR1,1999,chembl_rest_approved_immune
IFNGR2,1999,chembl_rest_approved_immune
IGF1R,2020,chembl_rest_approved_immune
