gene_target,n_drugs,action_types,drugs,immune_indications,furthest_stage,furthest_stage_drugs,furthest_stage_indications
ADRB1,52,AGONIST;ANTAGONIST;BLOCKER;INHIBITOR;PARTIAL AGONIST,ACEBUTOLOL;ACEBUTOLOL HYDROCHLORIDE;ATENOLOL;BETAXOLOL;BETAXOLOL HYDROCHLORIDE;BISOPROLOL;BISOPROLOL FUMARATE;BUCINDOLOL;CARTEOLOL;CARTEOLOL HYDROCHLORIDE;CARVEDILOL;CARVEDILOL PHOSPHATE;CELIPROLOL;DOBUTAMINE;DOBUTAMINE HYDROCHLORIDE,Aortic Rupture;CADASIL;Chagas cardiomyopathy;Kaposi's sarcoma;Supraventricular tachycardia;Tako-tsubo cardiomyopathy;Wolff-Parkinson-White syndrome;acute coronary syndrome;acute hypotension;acute myocardial infarction;angioedema;angiosarcoma,Approved,ACEBUTOLOL;ACEBUTOLOL HYDROCHLORIDE;ATENOLOL;BETAXOLOL;BETAXOLOL HYDROCHLORIDE;BISOPROLOL;BISOPROLOL FUMARATE;CARTEOLOL;CARTEOLOL HYDROCHLORIDE;CARVEDILOL;CARVEDILOL PHOSPHATE;CELIPROLOL;DOBUTAMINE;DOBUTAMINE HYDROCHLORIDE;DOPAMINE,Supraventricular tachycardia;Wolff-Parkinson-White syndrome;acute hypotension;angioedema;atrial fibrillation;atrial flutter;capillary hemangioma;cardiac arrhythmia;cardiovascular disorder;congestive heart failure;coronary atherosclerosis;heart failure
ADRB2,42,AGONIST;ANTAGONIST;BLOCKER;PARTIAL AGONIST;RNAI INHIBITOR,ALBUTEROL;BAMOSIRAN;BUCINDOLOL;CARTEOLOL;CARTEOLOL HYDROCHLORIDE;CARVEDILOL;CARVEDILOL PHOSPHATE;CELIPROLOL;CLENBUTEROL;DOBUTAMINE;DOBUTAMINE HYDROCHLORIDE;DROXIDOPA;EPHEDRINE;EPHEDRINE HYDROCHLORIDE;EPHEDRINE SULFATE,Glycogen storage disease due to acid maltase deficiency;Kaposi's sarcoma;Supraventricular tachycardia;Wolff-Parkinson-White syndrome;acute hypotension;acute myocardial infarction;angioedema;angiosarcoma;aortic aneurysm;atherosclerosis;atrial fibrillation;atrial flutter,Approved,CARTEOLOL;CARTEOLOL HYDROCHLORIDE;CARVEDILOL;CARVEDILOL PHOSPHATE;CELIPROLOL;DOBUTAMINE;DOBUTAMINE HYDROCHLORIDE;DROXIDOPA;EPHEDRINE;EPHEDRINE HYDROCHLORIDE;EPHEDRINE SULFATE;EPINEPHRINE;ESMOLOL;ESMOLOL HYDROCHLORIDE;ISOPROTERENOL,Wolff-Parkinson-White syndrome;acute hypotension;angioedema;atrial fibrillation;capillary hemangioma;cardiac arrhythmia;cardiovascular disorder;cerebrovascular disorder;congestive heart failure;coronary atherosclerosis;heart failure;hemangioma
ADRA1A,37,AGONIST;ANTAGONIST,BUCINDOLOL;CARVEDILOL;CARVEDILOL PHOSPHATE;DOXAZOSIN;DOXAZOSIN MESYLATE;DROXIDOPA;EPHEDRINE;EPHEDRINE HYDROCHLORIDE;EPHEDRINE SULFATE;EPINEPHRINE;ERGOLOID MESYLATES;ERGOTAMINE;ERGOTAMINE TARTRATE;ISOXSUPRINE;LABETALOL,acute hypotension;acute myocardial infarction;angioedema;atherosclerosis;atrial fibrillation;cardiac arrest;cardiotoxicity;cardiovascular disorder;cerebrovascular disorder;congenital heart disease;congestive heart failure;coronary artery disorder,Approved,CARVEDILOL;CARVEDILOL PHOSPHATE;DOXAZOSIN;DOXAZOSIN MESYLATE;DROXIDOPA;EPHEDRINE;EPHEDRINE HYDROCHLORIDE;EPHEDRINE SULFATE;EPINEPHRINE;ERGOLOID MESYLATES;ERGOTAMINE;ERGOTAMINE TARTRATE;ISOXSUPRINE;LABETALOL;LABETALOL HYDROCHLORIDE,acute hypotension;angioedema;cardiovascular disorder;cerebrovascular disorder;congestive heart failure;heart failure;hemorrhoid;hypertensive disorder;hypotensive disorder;migraine disorder;myocardial infarction;orthostatic hypotension
ADRA1B,37,AGONIST;ANTAGONIST,BUCINDOLOL;CARVEDILOL;CARVEDILOL PHOSPHATE;DOXAZOSIN;DOXAZOSIN MESYLATE;DROXIDOPA;EPHEDRINE;EPHEDRINE HYDROCHLORIDE;EPHEDRINE SULFATE;EPINEPHRINE;ERGOLOID MESYLATES;ERGOTAMINE;ERGOTAMINE TARTRATE;ISOXSUPRINE;LABETALOL,acute hypotension;acute myocardial infarction;angioedema;atherosclerosis;atrial fibrillation;cardiac arrest;cardiotoxicity;cardiovascular disorder;cerebrovascular disorder;congenital heart disease;congestive heart failure;coronary artery disorder,Approved,CARVEDILOL;CARVEDILOL PHOSPHATE;DOXAZOSIN;DOXAZOSIN MESYLATE;DROXIDOPA;EPHEDRINE;EPHEDRINE HYDROCHLORIDE;EPHEDRINE SULFATE;EPINEPHRINE;ERGOLOID MESYLATES;ERGOTAMINE;ERGOTAMINE TARTRATE;ISOXSUPRINE;LABETALOL;LABETALOL HYDROCHLORIDE,acute hypotension;angioedema;cardiovascular disorder;cerebrovascular disorder;congestive heart failure;heart failure;hemorrhoid;hypertensive disorder;hypotensive disorder;migraine disorder;myocardial infarction;orthostatic hypotension
ADRA1D,37,AGONIST;ANTAGONIST,BUCINDOLOL;CARVEDILOL;CARVEDILOL PHOSPHATE;DOXAZOSIN;DOXAZOSIN MESYLATE;DROXIDOPA;EPHEDRINE;EPHEDRINE HYDROCHLORIDE;EPHEDRINE SULFATE;EPINEPHRINE;ERGOLOID MESYLATES;ERGOTAMINE;ERGOTAMINE TARTRATE;ISOXSUPRINE;LABETALOL,acute hypotension;acute myocardial infarction;angioedema;atherosclerosis;atrial fibrillation;cardiac arrest;cardiotoxicity;cardiovascular disorder;cerebrovascular disorder;congenital heart disease;congestive heart failure;coronary artery disorder,Approved,CARVEDILOL;CARVEDILOL PHOSPHATE;DOXAZOSIN;DOXAZOSIN MESYLATE;DROXIDOPA;EPHEDRINE;EPHEDRINE HYDROCHLORIDE;EPHEDRINE SULFATE;EPINEPHRINE;ERGOLOID MESYLATES;ERGOTAMINE;ERGOTAMINE TARTRATE;ISOXSUPRINE;LABETALOL;LABETALOL HYDROCHLORIDE,acute hypotension;angioedema;cardiovascular disorder;cerebrovascular disorder;congestive heart failure;heart failure;hemorrhoid;hypertensive disorder;hypotensive disorder;migraine disorder;myocardial infarction;orthostatic hypotension
SCN5A,35,ANTAGONIST;BLOCKER;INHIBITOR;POSITIVE MODULATOR,AZD1305;AZD7009;DIBUCAINE;DISOPYRAMIDE;DISOPYRAMIDE PHOSPHATE;DRONEDARONE;DRONEDARONE HYDROCHLORIDE;ENCAINIDE;FLECAINIDE;FLECAINIDE ACETATE;LACOSAMIDE;LAMOTRIGINE;LIDOCAINE;LIDOCAINE HYDROCHLORIDE;MEPIVACAINE,Arrhythmogenic right ventricular dysplasia;Supraventricular tachycardia;acute coronary syndrome;acute myocardial infarction;aneurysm;atrial fibrillation;atrial flutter;brain ischemia;cardiac arrest;cardiac arrhythmia;cardiomyopathy;cardiovascular disorder,Approved,DIBUCAINE;DISOPYRAMIDE;DISOPYRAMIDE PHOSPHATE;DRONEDARONE;DRONEDARONE HYDROCHLORIDE;ENCAINIDE;FLECAINIDE;LIDOCAINE;MEXILETINE;MORICIZINE;PRENYLAMINE;PROCAINAMIDE;PROCAINAMIDE HYDROCHLORIDE;PROCAINE;PROPAFENONE,atrial fibrillation;cardiac arrhythmia;cardiovascular disorder;hemorrhoid;migraine disorder;ventricular tachycardia
CACNA1C,32,ANTAGONIST;BLOCKER;MODULATOR,AMLODIPINE;AMLODIPINE BENZOATE;AMLODIPINE BESYLATE;AZD1305;AZELNIDIPINE;BARNIDIPINE;BENIDIPINE;BEPRIDIL;CILNIDIPINE;CLEVIDIPINE;DILTIAZEM;DILTIAZEM HYDROCHLORIDE;DRONEDARONE;DRONEDARONE HYDROCHLORIDE;FELODIPINE,CADASIL;Paroxysmal supraventricular tachycardia;Prinzmetal angina;Raynaud disease;Supraventricular tachycardia;abdominal aortic aneurysm;acute myocardial infarction;aortic aneurysm;aortic valve calcification;atrial fibrillation;atrial flutter;cardiac arrhythmia,Approved,AMLODIPINE;AMLODIPINE BENZOATE;AMLODIPINE BESYLATE;BARNIDIPINE;BENIDIPINE;BEPRIDIL;CILNIDIPINE;CLEVIDIPINE;DILTIAZEM;DILTIAZEM HYDROCHLORIDE;DRONEDARONE;DRONEDARONE HYDROCHLORIDE;FELODIPINE;ISRADIPINE;LACIDIPINE,Prinzmetal angina;atrial fibrillation;cardiac arrhythmia;cardiovascular disorder;congestive heart failure;coronary artery disorder;coronary vasospasm;heart failure;hemorrhoid;hypertensive disorder;myocardial infarction;stroke disorder
CACNA1D,32,ANTAGONIST;BLOCKER;MODULATOR,AMLODIPINE;AMLODIPINE BENZOATE;AMLODIPINE BESYLATE;AZD1305;AZELNIDIPINE;BARNIDIPINE;BENIDIPINE;BEPRIDIL;CILNIDIPINE;CLEVIDIPINE;DILTIAZEM;DILTIAZEM HYDROCHLORIDE;DRONEDARONE;DRONEDARONE HYDROCHLORIDE;FELODIPINE,CADASIL;Paroxysmal supraventricular tachycardia;Prinzmetal angina;Raynaud disease;Supraventricular tachycardia;abdominal aortic aneurysm;acute myocardial infarction;aortic aneurysm;aortic valve calcification;atrial fibrillation;atrial flutter;cardiac arrhythmia,Approved,AMLODIPINE;AMLODIPINE BENZOATE;AMLODIPINE BESYLATE;BARNIDIPINE;BENIDIPINE;BEPRIDIL;CILNIDIPINE;CLEVIDIPINE;DILTIAZEM;DILTIAZEM HYDROCHLORIDE;DRONEDARONE;DRONEDARONE HYDROCHLORIDE;FELODIPINE;ISRADIPINE;LACIDIPINE,Prinzmetal angina;atrial fibrillation;cardiac arrhythmia;cardiovascular disorder;congestive heart failure;coronary artery disorder;coronary vasospasm;heart failure;hemorrhoid;hypertensive disorder;myocardial infarction;stroke disorder
CACNA1F,32,ANTAGONIST;BLOCKER;MODULATOR,AMLODIPINE;AMLODIPINE BENZOATE;AMLODIPINE BESYLATE;AZD1305;AZELNIDIPINE;BARNIDIPINE;BENIDIPINE;BEPRIDIL;CILNIDIPINE;CLEVIDIPINE;DILTIAZEM;DILTIAZEM HYDROCHLORIDE;DRONEDARONE;DRONEDARONE HYDROCHLORIDE;FELODIPINE,CADASIL;Paroxysmal supraventricular tachycardia;Prinzmetal angina;Raynaud disease;Supraventricular tachycardia;abdominal aortic aneurysm;acute myocardial infarction;aortic aneurysm;aortic valve calcification;atrial fibrillation;atrial flutter;cardiac arrhythmia,Approved,AMLODIPINE;AMLODIPINE BENZOATE;AMLODIPINE BESYLATE;BARNIDIPINE;BENIDIPINE;BEPRIDIL;CILNIDIPINE;CLEVIDIPINE;DILTIAZEM;DILTIAZEM HYDROCHLORIDE;DRONEDARONE;DRONEDARONE HYDROCHLORIDE;FELODIPINE;ISRADIPINE;LACIDIPINE,Prinzmetal angina;atrial fibrillation;cardiac arrhythmia;cardiovascular disorder;congestive heart failure;coronary artery disorder;coronary vasospasm;heart failure;hemorrhoid;hypertensive disorder;myocardial infarction;stroke disorder
CACNA1S,32,ANTAGONIST;BLOCKER;MODULATOR,AMLODIPINE;AMLODIPINE BENZOATE;AMLODIPINE BESYLATE;AZD1305;AZELNIDIPINE;BARNIDIPINE;BENIDIPINE;BEPRIDIL;CILNIDIPINE;CLEVIDIPINE;DILTIAZEM;DILTIAZEM HYDROCHLORIDE;DRONEDARONE;DRONEDARONE HYDROCHLORIDE;FELODIPINE,CADASIL;Paroxysmal supraventricular tachycardia;Prinzmetal angina;Raynaud disease;Supraventricular tachycardia;abdominal aortic aneurysm;acute myocardial infarction;aortic aneurysm;aortic valve calcification;atrial fibrillation;atrial flutter;cardiac arrhythmia,Approved,AMLODIPINE;AMLODIPINE BENZOATE;AMLODIPINE BESYLATE;BARNIDIPINE;BENIDIPINE;BEPRIDIL;CILNIDIPINE;CLEVIDIPINE;DILTIAZEM;DILTIAZEM HYDROCHLORIDE;DRONEDARONE;DRONEDARONE HYDROCHLORIDE;FELODIPINE;ISRADIPINE;LACIDIPINE,Prinzmetal angina;atrial fibrillation;cardiac arrhythmia;cardiovascular disorder;congestive heart failure;coronary artery disorder;coronary vasospasm;heart failure;hemorrhoid;hypertensive disorder;myocardial infarction;stroke disorder
