gene,gene_id,gps_max_overall,gps_max_immune
A1BG,ENSG00000121410,1.17728569075626,
A1CF,ENSG00000148584,1.29293439871252,
A2M,ENSG00000175899,1.29293439871252,
A2ML1,ENSG00000166535,1.37126235162559,
A3GALT2,ENSG00000184389,0.654031739214786,
A4GALT,ENSG00000128274,1.17728569075626,
A4GNT,ENSG00000118017,1.17728569075626,
AAAS,ENSG00000094914,2.1655204892707,0.491729373250684
AACS,ENSG00000081760,0.879532978374909,
AADAC,ENSG00000114771,0.879532978374909,
AADACL2,ENSG00000197953,0.879532978374909,0.879532978374909
AADACL3,ENSG00000188984,0.879532978374909,
AADACL4,ENSG00000204518,0.879532978374909,
AADAT,ENSG00000109576,0.879532978374909,
AAGAB,ENSG00000103591,2.57152423200313,2.57152423200313
AAK1,ENSG00000115977,0.879532978374909,
AAMDC,ENSG00000087884,,
AAMP,ENSG00000127837,1.29293439871252,1.29293439871252
AANAT,ENSG00000129673,,
AAR2,ENSG00000131043,0.879532978374909,
AARD,ENSG00000205002,,
AARS1,ENSG00000090861,1.37126235162559,
AARS2,ENSG00000124608,2.1655204892707,
AARSD1,ENSG00000266967,0.879532978374909,0.879532978374909
AASDH,ENSG00000157426,0.879532978374909,
AASDHPPT,ENSG00000149313,,
AASS,ENSG00000008311,1.67379111602002,
AATF,ENSG00000275700,0.879532978374909,
LMTK1,ENSG00000181409,,
ABAT,ENSG00000183044,1.37126235162559,
ABCA1,ENSG00000165029,2.66419675033811,
ABCA10,ENSG00000154263,0.879532978374909,
ABCA12,ENSG00000144452,2.1655204892707,0.879532978374909
ABCA13,ENSG00000179869,0.879532978374909,
ABCA2,ENSG00000107331,1.37126235162559,
ABCA3,ENSG00000167972,2.1655204892707,
ABCA4,ENSG00000198691,2.1655204892707,
ABCA5,ENSG00000154265,1.37126235162559,
ABCA6,ENSG00000154262,1.94696613792731,
ABCA7,ENSG00000064687,3.63486996011202,
ABCA8,ENSG00000141338,0.879532978374909,
ABCA9,ENSG00000154258,0.879532978374909,
ABCB1,ENSG00000085563,0.879532978374909,0.491729373250684
ABCB10,ENSG00000135776,1.29293439871252,
ABCB11,ENSG00000073734,2.1655204892707,0.879532978374909
ABCB4,ENSG00000005471,4.91345979340262,
ABCB5,ENSG00000004846,1.29293439871252,1.29293439871252
ABCB6,ENSG00000115657,1.37126235162559,0.491729373250684
ABCB7,ENSG00000131269,1.37126235162559,
ABCB8,ENSG00000197150,0.879532978374909,0.879532978374909
ABCB9,ENSG00000150967,0.879532978374909,
ABCC1,ENSG00000103222,1.37126235162559,
ABCC10,ENSG00000124574,0.879532978374909,
ABCC11,ENSG00000121270,0.879532978374909,
ABCC12,ENSG00000140798,0.879532978374909,
ABCC2,ENSG00000023839,2.1655204892707,0.654031739214786
ABCC3,ENSG00000108846,0.879532978374909,
ABCC4,ENSG00000125257,0.879532978374909,
ABCC5,ENSG00000114770,1.29293439871252,
ABCC6,ENSG00000091262,2.54854804238185,
ABCC8,ENSG00000006071,4.73704472127383,
ABCC9,ENSG00000069431,2.1655204892707,
ABCD1,ENSG00000101986,2.1655204892707,0.491729373250684
ABCD2,ENSG00000173208,0.879532978374909,
ABCD3,ENSG00000117528,1.37126235162559,
ABCD4,ENSG00000119688,1.67379111602002,
ABCE1,ENSG00000164163,0.879532978374909,
ABCF1,ENSG00000204574,1.27858983329061,1.27858983329061
ABCF2,ENSG00000033050,0.879532978374909,
ABCF2-H2BK1,ENSG00000285292,,
ABCF3,ENSG00000161204,0.654031739214786,
ABCG1,ENSG00000160179,0.879532978374909,
ABCG2,ENSG00000118777,4.42173042015194,0.879532978374909
ABCG4,ENSG00000172350,0.879532978374909,
ABCG5,ENSG00000138075,3.54219744177703,
ABCG8,ENSG00000143921,4.11248662719801,
ABHD1,ENSG00000143994,,
ABHD10,ENSG00000144827,0.654031739214786,
ABHD11,ENSG00000106077,0.879532978374909,
ABHD12,ENSG00000100997,3.34280618002696,
ABHD12B,ENSG00000131969,1.29293439871252,
ABHD13,ENSG00000139826,,
ABHD14A,ENSG00000248487,,
ABHD14A-ACY1,ENSG00000114786,,
ABHD14B,ENSG00000114779,1.17728569075626,
ABHD15,ENSG00000168792,0.879532978374909,
ABHD16A,ENSG00000204427,0.879532978374909,0.654031739214786
ABHD16B,ENSG00000183260,0.879532978374909,
ABHD17A,ENSG00000129968,0.879532978374909,
ABHD17B,ENSG00000107362,,
ABHD17C,ENSG00000136379,1.94696613792731,
ABHD18,ENSG00000164074,,
ABHD2,ENSG00000140526,1.29293439871252,
ABHD3,ENSG00000158201,,
ABHD4,ENSG00000100439,,
ABHD5,ENSG00000011198,1.37126235162559,
ABHD6,ENSG00000163686,0.879532978374909,
ABHD8,ENSG00000127220,,
ABI1,ENSG00000136754,0.879532978374909,
ABI2,ENSG00000138443,0.879532978374909,
ABI3,ENSG00000108798,1.29293439871252,
ABI3BP,ENSG00000154175,0.879532978374909,
ABITRAM,ENSG00000119328,,
ABL1,ENSG00000097007,2.1655204892707,
ABL2,ENSG00000143322,1.29293439871252,1.17728569075626
ABLIM1,ENSG00000099204,0.879532978374909,
ABLIM2,ENSG00000163995,0.879532978374909,
ABLIM3,ENSG00000173210,0.879532978374909,
ABO,ENSG00000175164,3.74880992275939,1.29293439871252
ABR,ENSG00000159842,0.879532978374909,
ABRA,ENSG00000174429,0.879532978374909,
ABRACL,ENSG00000146386,,
ABRAXAS1,ENSG00000163322,1.67379111602002,
ABRAXAS2,ENSG00000165660,0.879532978374909,
ABT1,ENSG00000146109,0.654031739214786,
ABTB1,ENSG00000114626,1.29293439871252,
ABTB2,ENSG00000166016,0.879532978374909,
ACAA1,ENSG00000060971,0.879532978374909,
ACAA2,ENSG00000167315,0.879532978374909,
ACACA,ENSG00000278540,0.879532978374909,
ACACB,ENSG00000076555,0.879532978374909,
ACAD10,ENSG00000111271,1.29293439871252,
ACAD11,ENSG00000240303,0.794258137645111,
ACAD8,ENSG00000151498,1.17728569075626,
ACAD9,ENSG00000177646,1.67379111602002,
ACADL,ENSG00000115361,1.29293439871252,
ACADM,ENSG00000117054,1.67379111602002,
ACADS,ENSG00000122971,1.67379111602002,0.654031739214786
ACADSB,ENSG00000196177,1.37126235162559,
ACADVL,ENSG00000072778,2.1655204892707,
ACAN,ENSG00000157766,2.1655204892707,1.17728569075626
ACAP1,ENSG00000072818,1.94696613792731,1.29293439871252
ACAP2,ENSG00000114331,0.879532978374909,
ACAP3,ENSG00000131584,0.879532978374909,
ACAT1,ENSG00000075239,0.794258137645111,
ACAT2,ENSG00000120437,0.654031739214786,
ACBD3,ENSG00000182827,0.879532978374909,
ACBD4,ENSG00000181513,0.654031739214786,
ACBD5,ENSG00000107897,1.37126235162559,
ACBD6,ENSG00000230124,0.879532978374909,
ACBD7,ENSG00000176244,1.17728569075626,
ACCS,ENSG00000110455,,
ACCSL,ENSG00000205126,0.879532978374909,
ACD,ENSG00000102977,1.37126235162559,
ACE,ENSG00000159640,2.17246737708743,1.17728569075626
ACE2,ENSG00000130234,0.879532978374909,
ACER1,ENSG00000167769,0.879532978374909,
ACER2,ENSG00000177076,1.29293439871252,
ACER3,ENSG00000078124,0.879532978374909,
