gene,gene_id,immune_genetic_association,cardiac_genetic_association
A1BG,ENSG00000121410,0.0,0.0
A1CF,ENSG00000148584,0.0308357077901533,0.0433740511201828
A2M,ENSG00000175899,0.0,0.0
A2ML1,ENSG00000166535,0.2421309547483896,0.2897938564348196
A3GALT2,ENSG00000184389,0.0,0.2502530472213715
A4GALT,ENSG00000128274,0.4145549467137797,0.6579383849496105
A4GNT,ENSG00000118017,0.0,0.0431078198483942
AAAS,ENSG00000094914,0.0,0.0415287039681543
AACS,ENSG00000081760,0.3161902996320921,0.0
AADAC,ENSG00000114771,0.5220322377832886,0.0954310801724028
AADACL2,ENSG00000197953,0.0,0.4925383361917765
AADACL3,ENSG00000188984,0.0,0.0
AADACL4,ENSG00000204518,0.0766706113113245,0.0
AADAT,ENSG00000109576,0.0,0.3414671113309018
AAGAB,ENSG00000103591,0.4425443324817756,0.4204501014301203
AAK1,ENSG00000115977,0.3368160675904959,0.2482349963327142
AAMDC,ENSG00000087884,0.3144914634741392,0.0
AAMP,ENSG00000127837,0.2884346388259373,0.0
AANAT,ENSG00000129673,0.0,0.0
AAR2,ENSG00000131043,0.0,0.3826593246624842
AARD,ENSG00000205002,0.0,0.1232908805266619
AARS1,ENSG00000090861,0.0,0.0678732614360987
AARS2,ENSG00000124608,0.5321558669488239,0.229997033544309
AARSD1,ENSG00000266967,0.0,0.0
AASDH,ENSG00000157426,0.0,0.4210200844881199
AASDHPPT,ENSG00000149313,0.0982766799719584,0.4072631045798906
AASS,ENSG00000008311,0.0,0.0
AATF,ENSG00000275700,0.126893297706163,0.0455654744665746
LMTK1,ENSG00000181409,0.0,0.2689381156703289
ABAT,ENSG00000183044,0.0,0.41994205699673
ABCA1,ENSG00000165029,0.0,0.7581469608504603
ABCA10,ENSG00000154263,0.0,0.0462969497323118
ABCA12,ENSG00000144452,0.0389706779229675,0.330962113981831
ABCA13,ENSG00000179869,0.3197001860420431,0.0
ABCA2,ENSG00000107331,0.377741592253609,0.0
ABCA3,ENSG00000167972,0.1823792392834863,0.4833049841012387
ABCA4,ENSG00000198691,0.3172158802141721,0.0
ABCA5,ENSG00000154265,0.0469578189954211,0.5215032268974857
ABCA6,ENSG00000154262,0.046955681100966,0.6420347097006369
