gene,condition,n_sig,group
A1BG,Rest,0,other
A1BG,Stim48hr,0,other
A1BG,Stim8hr,0,other
A2M,Rest,0,other
A2M,Stim48hr,0,other
A2M,Stim8hr,0,other
AAAS,Rest,0,other
AAAS,Stim48hr,0,other
AAAS,Stim8hr,0,other
AACS,Rest,0,other
AACS,Stim48hr,0,other
AACS,Stim8hr,0,other
AAGAB,Rest,0,other
AAGAB,Stim48hr,0,other
AAGAB,Stim8hr,0,other
AAK1,Rest,0,other
AAK1,Stim48hr,0,other
AAK1,Stim8hr,0,other
AAMDC,Rest,0,other
AAMDC,Stim48hr,0,other
AAMDC,Stim8hr,0,other
AAR2,Rest,0,other
AAR2,Stim48hr,0,other
AAR2,Stim8hr,0,other
AARS2,Rest,0,other
AARSD1,Rest,0,other
AARSD1,Stim48hr,0,other
AARSD1,Stim8hr,0,other
AASDH,Rest,0,other
AASDH,Stim48hr,0,other
AASDH,Stim8hr,0,other
AASDHPPT,Rest,0,other
AASDHPPT,Stim48hr,0,other
AASDHPPT,Stim8hr,0,other
AASS,Rest,0,other
AASS,Stim48hr,0,other
AASS,Stim8hr,0,other
ABAT,Rest,0,other
ABAT,Stim48hr,0,other
ABAT,Stim8hr,0,other
ABCA1,Rest,0,other
ABCA1,Stim48hr,0,other
ABCA1,Stim8hr,0,other
ABCA2,Rest,0,other
ABCA2,Stim48hr,0,other
ABCA2,Stim8hr,0,other
ABCA3,Rest,0,other
ABCA3,Stim48hr,1,other
ABCA3,Stim8hr,0,other
ABCA5,Rest,0,other
ABCA5,Stim48hr,1,other
ABCA5,Stim8hr,0,other
ABCA7,Rest,0,other
ABCA7,Stim48hr,0,other
ABCA7,Stim8hr,0,other
ABCB1,Rest,0,in_trials
ABCB1,Stim48hr,0,in_trials
ABCB1,Stim8hr,0,in_trials
ABCB6,Rest,0,other
ABCB6,Stim48hr,0,other
ABCB6,Stim8hr,0,other
ABCB7,Stim8hr,2,other
ABCB8,Rest,0,other
ABCB8,Stim48hr,0,other
ABCB8,Stim8hr,0,other
ABCB9,Rest,0,other
ABCB9,Stim48hr,0,other
ABCB9,Stim8hr,0,other
ABCC1,Rest,1,other
ABCC1,Stim48hr,0,other
ABCC1,Stim8hr,0,other
ABCC10,Rest,0,other
ABCC10,Stim48hr,0,other
ABCC10,Stim8hr,0,other
ABCC2,Rest,0,other
ABCC2,Stim48hr,0,other
ABCC2,Stim8hr,0,other
ABCC3,Rest,0,other
ABCC3,Stim48hr,0,other
ABCC3,Stim8hr,0,other
ABCC4,Rest,0,other
ABCC4,Stim48hr,0,other
ABCC4,Stim8hr,0,other
ABCC5,Rest,0,other
ABCC5,Stim48hr,0,other
ABCC5,Stim8hr,0,other
ABCC8,Rest,0,in_trials
ABCC8,Stim48hr,0,in_trials
ABCC8,Stim8hr,0,in_trials
ABCD2,Rest,0,other
ABCD2,Stim48hr,0,other
ABCD2,Stim8hr,0,other
ABCD3,Rest,0,other
ABCD3,Stim48hr,0,other
ABCD3,Stim8hr,0,other
ABCD4,Rest,0,other
ABCD4,Stim48hr,0,other
ABCD4,Stim8hr,0,other
ABCE1,Rest,0,other
ABCE1,Stim48hr,0,other
