gene,core,pctile_genetics,pctile_full,rank_shift,IEI,gwas_score,mis.z_score,lof.oe_ci.upper,expected_n_regulators_residuals,is_druggable,is_approved,is_trial_heldout
TAF11,demoted,0.7914572864321608,0.10891190647113116,-0.6825453799610297,0,0.291182,1.73,0.736,-53.11166598952161,0,0,0
LSM14A,demoted,0.783817044405702,0.14701056301917753,-0.6368064813865244,0,0.0,2.91,0.417,-55.75703613269145,0,0,0
EDC3,demoted,0.8315557378730387,0.19567223874474413,-0.6358834991282946,0,0.0,3.26,0.695,-40.29381548145613,0,0,0
PQBP1,demoted,0.7644856937749974,0.14403650907599222,-0.6204491846990052,0,0.0,2.16,0.371,-33.71780533010876,0,0,0
UBE2B,demoted,0.8286329607219772,0.2105425084606707,-0.6180904522613065,0,0.0,3.37,0.739,-33.867619212962516,0,0,0
CLPX,demoted,0.8532458209414419,0.23525792226438313,-0.6179878986770587,0,0.307068,2.23,0.593,-29.85960889106055,0,0,0
THAP11,demoted,0.8213003794482617,0.20341503435545072,-0.617885345092811,0,0.0,2.97,0.6,-35.053828530767206,0,0,0
THRAP3,demoted,0.8352476669059583,0.22125935801456262,-0.6139883088913957,0,0.0,2.63,0.241,-40.61911492096347,0,0,0
CXXC1,demoted,0.85586093733976,0.2434622090042047,-0.6123987283355553,0,0.0,3.26,0.362,-38.54821112074469,0,0,0
PRPF39,demoted,0.8458106860834786,0.24064198543739104,-0.6051687006460876,0,0.0,3.26,0.454,-29.45328258611453,0,0,0
RFX1,demoted,0.7782791508563224,0.18449389806173727,-0.593785252794585,0,0.0,2.88,0.454,-36.08177136256774,0,0,0
ZNF18,demoted,0.7743821146549071,0.18618603220182545,-0.5881960824530816,0,0.386375,1.75,0.935,-28.723647133160103,0,0,0
GPAT2,demoted,0.7503845759409291,0.2202850989642088,-0.5300994769767203,0,0.0,2.56,0.907,-30.694063145787258,0,0,0
TBKBP1,promoted,0.2471028612450005,0.766434211875705,0.5193313506307046,0,0.222719,0.402,0.858,35.16534612847081,0,0,0
IFI35,promoted,0.2320787611527023,0.7546405496872116,0.5225617885345093,0,0.0,-0.342,1.43,34.45143636674695,0,0,0
AOAH,promoted,0.24571838785765562,0.7700748641165008,0.5243564762588452,0,0.030402,0.625,0.855,42.08396591072006,1,0,0
GASK1A,promoted,0.23361706491641882,0.777612552558712,0.5439954876422932,0,0.0,1.05,1.27,,0,0,0
SELENOK,promoted,0.2310532253102246,0.7868936519331351,0.5558404266229104,0,0.048628,-0.444,1.05,42.94378499296621,0,0,0
GLIPR2,promoted,0.20464567736642394,0.7631012203876526,0.5584555430212287,0,0.0,-0.148,1.48,29.356396012566524,0,0,0
SNX18,promoted,0.24556455748128397,0.8052507435134858,0.5596861860322018,0,0.171843,0.679,0.953,24.180896182477028,0,0,0
CHST2,promoted,0.22910470720951698,0.7895087683314532,0.5604040611219363,0,0.086537,0.612,0.943,25.913615385291973,1,0,0
LAG3,promoted,0.19162137216695724,0.7739206235257923,0.582299251358835,0,0.197606,0.0354,0.807,15.852010213836556,1,0,1
MBOAT7,promoted,0.18813455030253307,0.7745872218234028,0.5864526715208698,0,0.0,-0.407,1.1,37.08672318140423,0,0,0
C3AR1,promoted,0.18521177315147164,0.7801763921649062,0.5949646190134346,0,0.0,0.0799,,31.475363119998537,1,0,0
CCL3,promoted,0.17418726284483643,0.7724848733463234,0.598297610501487,0,0.0,0.341,1.46,59.87162582293009,1,0,0
MX1,promoted,0.21305507127474105,0.8150958876012717,0.6020408163265307,0,0.0,0.698,1.22,72.90578294746943,0,0,0
IFI6,promoted,0.18792944313403753,0.7947902779202133,0.6068608347861757,0,0.0,0.838,1.33,83.71647962955392,0,0,0
TREML2,promoted,0.18249410316890574,0.7915598400164086,0.6090657368475028,0,0.0,0.785,1.3,38.7116423775853,0,0,0
SAMD3,promoted,0.16239360065634295,0.7775099989744642,0.6151163983181211,0,0.047889,0.0765,1.33,69.48228330859364,0,0,0
PDLIM2,promoted,0.17634088811403958,0.7972002871500359,0.6208593990359963,0,0.0,-0.548,1.19,29.22308146927405,0,0,0
GZMA,promoted,0.1414213926776741,0.7656650599938468,0.6242436673161728,0,0.0,0.237,1.21,55.92272713369241,1,0,0
IFIT5,promoted,0.17603322736129629,0.8020203056096811,0.6259870782483847,0,0.0,0.704,1.26,53.212060141091335,0,0,0
EXOSC8,promoted,0.11803917546918265,0.7516664957440262,0.6336273202748436,0,0.0,0.321,1.22,52.10064096251401,0,0,0
PIR,promoted,0.13337093631422417,0.7713055071274741,0.63793457081325,0,0.0,0.00953,1.3,44.66459872710288,0,0,0
MTX3,promoted,0.1447031073736027,0.7881242949441083,0.6434211875705056,0,0.102102,-0.245,0.876,77.84360414555145,0,0,0
LYRM1,promoted,0.17869962055173827,0.822941236796226,0.6442416162444877,0,0.038312,-0.109,1.47,31.17665093992587,0,0,0
GNG8,promoted,0.17613578094554405,0.8249410316890575,0.6488052507435135,0,0.036284,0.317,1.67,76.8306363003141,0,0,0
FKBP11,promoted,0.16106040406112193,0.8138652445902984,0.6528048405291764,0,0.0,0.1,1.23,70.18717620854139,1,0,0
TXNDC5,promoted,0.11486001435750179,0.7794072402830479,0.664547225925546,0,0.0,-0.619,1.08,39.88126867441647,0,0,0
EPSTI1,promoted,0.08352989436980822,0.7549994872320788,0.6714695928622706,0,0.077407,-0.636,1.62,71.14366670894212,0,0,0
ATF4,promoted,0.0809147779714901,0.7607937647420777,0.6798789867705877,0,0.0,-2.54,0.689,60.39049303705963,0,0,0
C3orf18,promoted,0.12911496256794175,0.810070761973131,0.6809557994051892,0,0.0,0.523,1.38,33.244970961637264,0,0,0
IFI44,promoted,0.06563429391857245,0.7550507640242027,0.6894164701056302,0,0.0,-1.81,1.21,63.5757155426405,0,0,0
MMP25,promoted,0.06707004409804122,0.7699723105322531,0.7029022664342119,0,0.0,-2.26,1.34,32.923755498826274,1,0,0
RSAD2,promoted,0.08993949338529382,0.8076607527433084,0.7177212593580146,0,0.113347,0.193,1.32,76.90476187866592,0,0,0
TMEM71,promoted,0.07296687519228796,0.790944518510922,0.717977643318634,0,0.200837,-0.42,1.49,62.075569465265154,0,0,0
SLC26A4,promoted,0.08347861757768434,0.8142241821351657,0.7307455645574813,0,0.0,-2.51,1.22,57.69353165601192,0,0,0
TMEM273,promoted,0.09270844015998359,0.852784329812327,0.7600758896523434,0,0.0,-1.31,1.55,71.82979976300248,0,0,0
IER5,promoted,0.043841657265921444,0.8175058968310942,0.7736642395651727,0,0.0,-0.703,0.941,131.41363698174897,0,0,0
