feature,label,rho,p,n_nonnull
has_cytokine,Cytokine measured,-0.25771177873657053,2.208104697891704e-293,19502
mis.z_score,Missense constraint,-0.15647280975968084,1.0060792657025887e-106,19427
zscore_Th17,Th17 DE z-score,-0.15196206697535136,1.801731487824269e-52,9949
IEI,IEI gene,-0.04196060141584032,4.573646703124269e-09,19502
gene_burden_score,Rare-variant burden,-0.0119965202444149,0.09388289964792651,19502
gwas_score,GWAS score,-0.0042298082206945285,0.5547511743523095,19502
lof.oe_ci.upper,LoF tolerance,0.09010920933188653,1.0592241029520192e-33,17960
zscore_Th2,Th2 DE z-score,0.11545867917584035,7.322798473523996e-31,9944
reg_burden_sig_Stim48hr,"Regulator burden
(48 h stim)",0.15215316888840047,3.1430721675385473e-54,10268
expected_n_regulators_residuals,"Regulatory burden
(residual)",0.7010911971836905,0.0,10268
