direction,feature,block,n_sel,med_sel,med_ctrl,rank_biserial,p,fdr
demoted,polar_rank_range,functional genomics,13,0.5158324494415916,0.310058330421702,0.6287625418060201,0.0002588239105747603,0.0014902677283581247
demoted,polar_coef_rank_Rest,functional genomics,13,0.1722700026062027,0.5905655459994787,-0.6223776223776224,0.000312034608588874,0.0014902677283581247
demoted,n_sig_regulated_cytokine_receptors_Rest,functional genomics,13,0.0,0.0,0.3136363636363637,0.00032101307062326503,0.0014902677283581247
demoted,expected_n_regulators_residuals,functional genomics,13,-35.053828530767206,-21.60203093891361,-0.5894554883318928,0.00039740472756216657,0.0014902677283581247
demoted,n_sig_regulated_cytokines_Rest,functional genomics,13,0.0,0.0,0.2632867132867134,0.0005825721208456513,0.0017477163625369539
demoted,n_sig_regulated_cytokines_Stim8hr,functional genomics,13,0.0,0.0,0.21608391608391608,0.022692783084501632,0.05673195771125408
demoted,n_sig_regulated_cytokine_receptors_Stim8hr,functional genomics,13,0.0,0.0,0.19615384615384612,0.044422265790517106,0.09519056955110808
demoted,n_sig_regulated_cytokine_receptors_Stim48hr,functional genomics,13,0.0,0.0,0.15804195804195809,0.054481601246162366,0.10215300233655443
demoted,gwas_score,genetic,13,0.0,0.0,-0.16333878887070374,0.25965393789115476,0.4327565631519246
demoted,polar_coef_rank_Stim48hr,functional genomics,13,0.5952879581151832,0.5397905759162304,0.12186689714779608,0.4824107194128002,0.7084632172374372
demoted,reg_burden_sig_Stim8hr,functional genomics,13,0.0,0.0,0.03759723422644767,0.5195396926407874,0.7084632172374372
demoted,polar_coef_rank_Stim8hr,functional genomics,13,0.4814060112073357,0.5264900662251655,-0.0888888888888889,0.6090483010591881,0.761310376323985
demoted,lof.oe_ci.upper,genetic,13,0.593,0.554,0.06113537117903922,0.7124287717510795,0.8137292520631272
demoted,n_sig_regulated_cytokines_Stim48hr,functional genomics,13,0.0,0.0,-0.027972027972028024,0.7594806352589187,0.8137292520631272
demoted,mis.z_score,genetic,13,2.88,2.62,0.013093289689034338,0.9382640898171435,0.9382640898171435
promoted,zscore_Th17,functional genomics,36,-4.783725759576358,-0.4691910864358216,-0.8622437971952535,4.944822806560703e-18,1.0384127893777476e-16
promoted,expected_n_regulators_residuals,functional genomics,35,52.10064096251401,1.2051414730944952,0.842267751894471,7.416434932386813e-17,7.787256679006153e-16
promoted,reg_burden_sig_Stim48hr,functional genomics,35,0.0,0.0,0.19534100477126026,0.000238637590063949,0.001670463130447643
promoted,reg_burden_sig_Stim8hr,functional genomics,35,0.0,0.0,0.16087566657311259,0.002890031290623763,0.015172664275774754
promoted,n_sig_regulated_cytokine_receptors_Stim8hr,functional genomics,34,0.0,0.0,0.07539508340649692,0.04899143685073752,0.2057640347730976
promoted,polar_coef_rank_Stim8hr,functional genomics,5,0.8642384105960265,0.5122261844116148,0.437125748502994,0.09818479862981044,0.34364679520433655
promoted,mis.z_score,genetic,36,0.05595,-0.174,0.1420780181179515,0.15197214394493308,0.4021035741832725
promoted,n_sig_regulated_cytokines_Stim8hr,functional genomics,34,0.0,0.0,0.06035996488147499,0.15601114225132243,0.4021035741832725
promoted,polar_coef_rank_Rest,functional genomics,5,0.8173051863434975,0.5114672921553297,0.36250000000000004,0.17494610233703797,0.4021035741832725
promoted,polar_rank_range,functional genomics,5,0.2426118799892247,0.3128344264175199,-0.3443786982248521,0.191477892468225,0.4021035741832725
promoted,zscore_Treg,functional genomics,36,-2.1718599491301704,-0.6647900715308287,-0.12305395606739178,0.2167732999063937,0.4138399361849335
promoted,polar_coef_rank_Stim48hr,functional genomics,5,0.5900523560209424,0.5452879581151833,0.31677018633540377,0.23817755176949248,0.41681071559661187
promoted,zscore_Th2,functional genomics,36,-0.44901984613088264,0.0882077736774492,-0.10727233951802095,0.2816245348957097,0.4428047728018263
promoted,n_sig_regulated_cytokines_Stim48hr,functional genomics,34,0.0,0.0,0.04011194029850751,0.2952031818678842,0.4428047728018263
promoted,has_cytokine,functional genomics,36,1.0,1.0,0.052597522647439554,0.31850760776307363,0.44591065086830306
promoted,gwas_score,genetic,36,0.0,0.0,0.07422813828803854,0.3461261439404453,0.45262994219609
promoted,zscore_Th1,functional genomics,36,-0.31039770587356097,0.0805140238495407,-0.08999786734911497,0.36641471511112045,0.45262994219609
promoted,n_sig_regulated_cytokine_receptors_Rest,functional genomics,34,0.0,0.0,0.024089113257243167,0.471092595543963,0.5369564105786198
promoted,reg_burden_sig_Rest,functional genomics,35,0.0,0.0,0.028739825989334777,0.48581770480922737,0.5369564105786198
promoted,lof.oe_ci.upper,genetic,35,1.23,1.23,0.055779909136799644,0.5797326759703358,0.6087193097688527
promoted,n_sig_regulated_cytokine_receptors_Stim48hr,functional genomics,34,0.0,0.0,0.012840210711150046,0.7292812732447163,0.7292812732447163
