direction,a,b,score
promoted,C3AR1,CCL3,0.446
promoted,C3AR1,IFI44,0.504
promoted,C3AR1,MX1,0.473
promoted,CCL3,GZMA,0.509
promoted,CCL3,LAG3,0.506
promoted,CCL3,MX1,0.483
promoted,EPSTI1,IFI35,0.661
promoted,EPSTI1,IFI44,0.909
promoted,EPSTI1,IFI6,0.75
promoted,EPSTI1,IFIT5,0.724
promoted,EPSTI1,MX1,0.915
promoted,EPSTI1,RSAD2,0.9
promoted,FKBP11,TXNDC5,0.47
promoted,GZMA,LAG3,0.805
promoted,GZMA,SAMD3,0.566
promoted,IFI35,IFI44,0.924
promoted,IFI35,IFI6,0.92
promoted,IFI35,IFIT5,0.792
promoted,IFI35,MX1,0.909
promoted,IFI35,RSAD2,0.845
promoted,IFI44,IFI6,0.959
promoted,IFI44,IFIT5,0.917
promoted,IFI44,MX1,0.967
promoted,IFI44,RSAD2,0.983
promoted,IFI6,IFIT5,0.766
promoted,IFI6,MX1,0.96
promoted,IFI6,RSAD2,0.926
promoted,IFIT5,MX1,0.883
promoted,IFIT5,RSAD2,0.936
promoted,MX1,RSAD2,0.983
demoted,EDC3,LSM14A,0.996
