direction,gene,degree
demoted,EDC3,1
demoted,LSM14A,1
demoted,CLPX,0
demoted,CXXC1,0
demoted,GPAT2,0
demoted,PQBP1,0
demoted,PRPF39,0
demoted,RFX1,0
demoted,TAF11,0
demoted,THAP11,0
demoted,THRAP3,0
demoted,UBE2B,0
demoted,ZNF18,0
promoted,MX1,8
promoted,IFI44,7
promoted,EPSTI1,6
promoted,IFI35,6
promoted,IFI6,6
promoted,IFIT5,6
promoted,RSAD2,6
promoted,CCL3,4
promoted,C3AR1,3
promoted,GZMA,3
promoted,LAG3,2
promoted,FKBP11,1
promoted,SAMD3,1
promoted,TXNDC5,1
promoted,AOAH,0
promoted,ATF4,0
promoted,C3orf18,0
promoted,CHST2,0
promoted,EXOSC8,0
promoted,GASK1A,0
promoted,GLIPR2,0
promoted,GNG8,0
promoted,IER5,0
promoted,LYRM1,0
promoted,MBOAT7,0
promoted,MMP25,0
promoted,MTX3,0
promoted,PDLIM2,0
promoted,PIR,0
promoted,SELENOK,0
promoted,SLC26A4,0
promoted,SNX18,0
promoted,TBKBP1,0
promoted,TMEM273,0
promoted,TMEM71,0
promoted,TREML2,0
