gene,core,pctile_genetics,pctile_full,rank_shift,cov_class,gen_dec
A1BG,none,0.15321505486616757,0.08783714490821454,-0.06537790995795303,cau,1
A1CF,none,0.4355450723002769,0.40893241718798073,-0.026612655112296157,none,4
A2M,none,0.7876628038149933,0.5942467439237001,-0.19341605989129318,cau,7
A2ML1,none,0.48205312275664036,0.4200082042867398,-0.06204491846990057,none,4
A3GALT2,none,0.06137832017229002,0.09850271766998256,0.037124397497692536,obs,0
A4GALT,none,0.0906573684750282,0.5016921341400882,0.41103476566506,obs,0
A4GNT,none,0.324735924520562,0.38898574505178957,0.06424982053122757,none,3
AAAS,none,0.30232796636242437,0.4601579325197416,0.1578299661573172,both,3
AACS,none,0.38093528868833965,0.6199876935698903,0.2390524048815506,both,3
AADAC,none,0.682801763921649,0.6103476566506,-0.07245410727104906,none,6
AADACL2,none,0.2172084914367757,0.28391959798994976,0.06671110655317405,none,2
AADACL3,none,0.15972720746590094,0.18808327351040918,0.028356066044508244,none,1
AADACL4,none,0.2840734283663214,0.21602912521792636,-0.06804430314839502,none,2
AADAT,none,0.7503332991488052,0.7429494410829659,-0.007383858065839299,obs,7
AAGAB,none,0.3522715618910881,0.11009127268998052,-0.24218028920110757,cau,3
AAK1,none,0.8575530714798483,0.866116295764537,0.008563224284688697,both,8
AAMDC,none,0.4445185109219567,0.5484052917649472,0.10388678084299052,both,4
AAMP,none,0.8493487847400266,0.9300071787508973,0.08065839401087072,both,8
AANAT,none,0.3382217208491437,0.3224797456671111,-0.01574197518203263,obs,3
AAR2,none,0.3338119167264896,0.011537278227874065,-0.3222746384986155,both,3
AARD,none,0.22474617987898676,0.4971284996410625,0.2723823197620757,obs,2
AARS1,none,0.31448056609578506,0.5799405189211363,0.26545995282535123,obs,3
AARS2,none,0.8040201005025126,0.7767921238847297,-0.027227976617782867,both,8
AARSD1,none,0.3599630807096708,0.4152907394113424,0.05532765870167161,both,3
AASDH,none,0.37647420777356166,0.0015383037637165418,-0.3749359040098451,cau,3
AASDHPPT,none,0.22038765254845658,0.1275766588042252,-0.09281099374423138,both,2
AASS,none,0.5295354322633576,0.5171264485693775,-0.012408983693980136,both,5
AATF,none,0.26838272997641266,0.45390216388062765,0.185519433904215,obs,2
LMTK1,none,0.058455543021228594,0.09840016408573479,0.0399446210645062,obs,0
ABAT,none,0.304276484463132,0.486206542918675,0.181930058455543,both,3
ABCA1,none,0.8041739308788842,0.8723720644036509,0.06819813352476667,both,8
ABCA10,none,0.4284688749871808,0.43980104604655934,0.01133217105937856,obs,4
ABCA12,none,0.7893549379550815,0.7638703722695108,-0.02548456568557067,obs,7
ABCA13,none,0.324274433391447,0.37221823402727927,0.04794380063583226,obs,3
ABCA2,none,0.9762588452466414,0.983078658599118,0.006819813352476611,both,9
ABCA3,none,0.6072710491231669,0.5529176494718491,-0.0543533996513178,both,6
ABCA4,none,0.42928930366116297,0.4966157317198236,0.06732642805866063,obs,4
ABCA5,none,0.2686391139370321,0.5047687416675213,0.23612962773048918,both,2
ABCA6,none,0.05758383755512255,0.398574505178956,0.34099066762383345,obs,0
ABCA7,none,0.06389088298636038,0.5684545174853861,0.5045636344990257,both,0
ABCA8,none,0.28997025946056815,0.23254025228181724,-0.05743000717875091,none,2
ABCA9,none,0.4638498615526613,0.6407035175879398,0.17685365603527847,obs,4
ABCB1,none,0.8627833042764844,0.9756948005332786,0.1129114962567942,both,8
ABCB10,none,0.6718798071992617,0.823864219054456,0.1519844118551943,both,6
ABCB11,none,0.43677571531125015,0.41647010563019177,-0.02030560968105838,none,4
ABCB4,none,0.8284791303456056,0.8321197825864014,0.003640652240795794,obs,8
ABCB5,none,0.5766588042252077,0.5454825146138857,-0.031176289611321906,none,5
ABCB6,none,0.37796123474515436,0.7276689570300482,0.34970772228489383,both,3
ABCB7,none,0.9115988103784227,0.8050456363449903,-0.10655317403343245,cau,9
ABCB8,none,0.4040611219362117,0.1780330222541278,-0.2260280996820839,both,4
ABCB9,none,0.5870167162342323,0.36898779612347454,-0.2180289201107578,cau,5
ABCC1,none,0.7497692544354425,0.7164906163470414,-0.03327863808840115,both,7
ABCC10,none,0.6762383345297918,0.5495333811916726,-0.12670495333811915,cau,6
ABCC11,none,0.40416367552045945,0.3368885242539227,-0.06727515126653677,none,4
ABCC12,none,0.6059378525279459,0.5277920213311456,-0.0781458311968003,none,6
ABCC2,none,0.25546097836119375,0.1862885857860732,-0.06917239257512053,both,2
ABCC3,none,0.37585888626807507,0.23448877038252486,-0.1413701158855502,cau,3
ABCC4,none,0.6847502820223567,0.7878166341913649,0.10306635216900828,both,6
ABCC5,none,0.9161624448774485,0.8908829863603733,-0.025279458517075137,both,9
ABCC6,none,0.660137421802892,0.6287047482309507,-0.03143267357194135,none,6
ABCC8,none,0.8462721772125936,0.8070967080299456,-0.039175469182648026,both,8
ABCC9,none,0.9306737770485078,0.9704645677366424,0.039790790688134514,obs,9
ABCD1,none,0.8098143780125115,0.8517587939698492,0.041944415957337666,obs,8
ABCD2,none,0.7376166547020818,0.8497077222848939,0.11209106758281207,both,7
ABCD3,none,0.8049430827607424,0.8257614603630397,0.02081837760229721,both,8
ABCD4,none,0.24366731617270024,0.04430314839503641,-0.19936416777766383,cau,2
ABCE1,none,0.9716952107476157,0.9817967387960209,0.01010152804840525,both,9
ABCF1,none,0.860783509383653,0.9575428161214234,0.09675930673777045,obs,8
ABCF2,none,0.8810378422725874,0.9265716336785971,0.04553379140600966,both,8
ABCF2-H2BK1,none,0.8864731822377192,0.8810891190647113,-0.00538406317300788,none,8
ABCF3,none,0.49974361603938056,0.14695928622705365,-0.3527843298123269,both,4
ABCG1,none,0.7962773048918059,0.8033535022049021,0.007076197313096166,both,7
ABCG2,none,0.12870474823095068,0.4307763306327556,0.30207158240180493,both,1
ABCG4,none,0.8312993539124193,0.823812942262332,-0.007486411650087232,obs,8
ABCG5,none,0.06542918675007692,0.1168598092503333,0.05143062250025639,obs,0
ABCG8,none,0.05794277509998975,0.11255255871192699,0.05460978361193724,none,0
ABHD1,none,0.0792226438314019,0.1265511229617475,0.0473284791303456,none,0
ABHD10,none,0.2867910983488873,0.5079479027792021,0.22115680443031482,both,2
ABHD11,none,0.2360783509383653,0.49820531227566406,0.26212696133729874,both,2
ABHD12,none,0.2675110245103066,0.03527843298123269,-0.23223259152907394,cau,2
ABHD12B,none,0.1158855501999795,0.12203876525484565,0.006153215054866157,none,1
ABHD13,none,0.7181314736950056,0.6057327453594503,-0.11239872833555531,both,7
ABHD14A,none,0.40554814890780433,0.2707414624141114,-0.13480668649369293,cau,4
ABHD14A-ACY1,none,0.4817967387960209,0.4176494718490411,-0.06414726694697981,none,4
ABHD14B,none,0.3711414213926777,0.5086657778689365,0.13752435647625882,both,3
ABHD15,none,0.12116705978873962,0.4284688749871808,0.30730181519844113,both,1
ABHD16A,none,0.7511024510306635,0.802943287867911,0.051840836837247495,both,7
ABHD16B,none,0.36924418008409393,0.31412162855091785,-0.05512255153317608,cau,3
ABHD17A,none,0.8374012921751616,0.7823812942262333,-0.05501999794892831,cau,8
ABHD17B,none,0.806019895395344,0.6679314942057225,-0.1380884011896215,both,8
ABHD17C,none,0.9015485591221413,0.967080299456466,0.06553174033432474,both,9
ABHD18,none,0.4667213619115988,0.02415136909034971,-0.4425699928212491,cau,4
ABHD2,none,0.7916623936006564,0.48164290841964924,-0.31001948518100714,both,7
ABHD3,none,0.38544764639524154,0.2946877243359655,-0.09075992205927602,both,3
ABHD4,none,0.4541072710491232,0.7119269818480156,0.25781971079889243,both,4
ABHD5,none,0.552507435134858,0.5345605578914983,-0.01794687724335975,both,5
ABHD6,none,0.6341913649882064,0.42928930366116297,-0.20490206132704342,both,6
ABHD8,none,0.6203979079068813,0.7719208286329607,0.15152292072607942,both,6
ABI1,none,0.7920726079376474,0.8284791303456056,0.036406522407958164,both,7
ABI2,none,0.7790995795303046,0.7432058250435852,-0.03589375448671939,both,7
ABI3,none,0.26279355963490925,0.4745154343144293,0.21172187467952003,both,2
ABI3BP,none,0.6708542713567839,0.6479335452774074,-0.022920726079376452,none,6
ABITRAM,none,0.19131371141421394,0.015844528766280383,-0.17546918264793354,cau,1
ABL1,none,0.9489283150446108,0.8750897343862168,-0.07383858065839399,both,9
ABL2,none,0.8264793354527741,0.8888831914675418,0.06240385601476772,both,8
ABLIM1,none,0.8289918982668444,0.8592452056199364,0.030253307353092063,obs,8
ABLIM2,none,0.4470310737360271,0.5389190852220285,0.0918880114860014,obs,4
ABLIM3,none,0.600553789354938,0.6314736950056404,0.03091990565070246,both,6
ABO,none,0.9303148395036407,0.8819608245308174,-0.04835401497282332,obs,9
ABR,none,0.947954055994257,0.9752845861962876,0.02733053020203058,both,9
ABRA,none,0.44298020715824016,0.24423136088606298,-0.19874884627217718,none,4
ABRACL,none,0.11403958568351964,0.3760639934365706,0.26202440775305097,both,1
