gene,drug_status,furthest_imm_stage,n_drugs,drug_names,indications,first_trial_year,approval_year,multi_target_expanded,in_feature_matrix
ABAT,non-target,Unknown,1,VIGABATRIN,autoimmune encephalitis,2006.0,,False,True
ABCB1,in-trial,Phase 3,2,VALSPODAR; ZOSUQUIDAR,acute myeloid leukemia; acute myeloid leukemia by FAB classification; plasma cell myeloma,1992.0,,False,True
ABCC8,in-trial,Phase 3,3,GLICLAZIDE; GLYBURIDE; REPAGLINIDE,latent autoimmune diabetes in adults; psoriasis; type 1 diabetes mellitus,1999.0,,True,True
ABCC9,in-trial,Phase 2,1,MINOXIDIL,vitiligo,2003.0,,True,True
ABL1,approved,Approved,26,ASCIMINIB; ASCIMINIB HYDROCHLORIDE; AT-9283; BAFETINIB; BOSUTINIB; BOSUTINIB MONOHYDRATE; DASATINIB; DASATINIB ANHYDROUS; FLUMATINIB; IMATINIB; IMATINIB MESYLATE; KW-2449; NILOTINIB; NILOTINIB HYDROCHLORIDE MONOHYDRATE; OLVEREMBATINIB; PONATINIB; PONATINIB HYDROCHLORIDE; RADOTINIB; REBASTINIB; REGORAFENIB; RUSERONTINIB; SARACATINIB; UMBRALISIB; UMBRALISIB TOSYLATE; VODOBATINIB; XL-228,"B-cell acute lymphoblastic leukemia; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; Waldenstrom macroglobulinemia; acquired polycythemia vera; acute leukemia of ambiguous lineage; acute myeloid leukemia; acute myeloid leukemia by FAB classification; acute promyelocytic leukemia; atypical chronic myeloid leukemia, BCR-ABL1 negative; blast phase chronic myelogenous leukemia, BCR-ABL1 positive; chronic graft versus host disease; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; core binding factor acute myeloid leukemia; diffuse large B-cell lymphoma; follicular lymphoma; graft versus host disease; hypereosinophilic syndrome; idiopathic hypereosinophilic syndrome; juvenile myelomonocytic leukemia; mantle cell lymphoma; marginal zone lymphoma; mastocytosis; mixed phenotype acute leukemia; multiple sclerosis; myelodysplastic/myeloproliferative neoplasm; myelofibrosis; myelofibrosis with myeloid metaplasia; myeloid leukemia; myeloproliferative neoplasm; neoplasm of mature B-cells; palmoplantar pustulosis; plasma cell myeloma; precursor B-cell acute lymphoblastic leukemia; primary myelofibrosis; rheumatoid arthritis; scleroderma; seasonal allergic rhinitis; systemic mastocytosis; systemic sclerosis; thymic carcinoma; thymoma; type 1 diabetes mellitus",1993.0,2001.0,False,True
ACE,in-trial,Phase 3,3,BENAZEPRIL HYDROCHLORIDE; CAPTOPRIL; RAMIPRIL,Henoch-Schoenlein purpura; myeloproliferative neoplasm; primary myelofibrosis; rheumatoid arthritis; systemic lupus erythematosus; type 1 diabetes mellitus,1995.0,,False,True
ACHE,approved,Approved,8,AMBENONIUM; DONEPEZIL; EDROPHONIUM; NEOSTIGMINE; NEOSTIGMINE METHYLSULFATE; PRALIDOXIME CHLORIDE; PYRIDOSTIGMINE; PYRIDOSTIGMINE BROMIDE,multiple sclerosis; myalgic encephalomeyelitis/chronic fatigue syndrome; myasthenia gravis,1995.0,1951.0,False,True
ACVR1,approved,Approved,4,MOMELOTINIB; MOMELOTINIB DIHYDROCHLORIDE MONOHYDRATE; PACRITINIB; PACRITINIB CITRATE,B-cell chronic lymphocytic leukemia; Waldenstrom macroglobulinemia; acquired polycythemia vera; acute myeloid leukemia; chronic graft versus host disease; chronic myelomonocytic leukemia; chronic neutrophilic leukemia; essential thrombocythemia; follicular lymphoma; lymphoplasmacytic lymphoma; lymphoproliferative syndrome; mantle cell lymphoma; marginal zone lymphoma; myelodysplastic/myeloproliferative neoplasm; myelofibrosis; myeloproliferative neoplasm; primary myelofibrosis,2009.0,2022.0,True,True
ACVR2B,in-trial,Phase 3,1,BIMAGRUMAB,acute myeloid leukemia by FAB classification,2011.0,,False,True
ADA,approved,Approved,2,AUTOLOGOUS CD34+ ENRICHED CELL FRACTION THAT CONTAINS CD34+ CELLS TRANSDUCED WITH RETROVIRAL VECTOR THAT ENCODES FOR THE HUMAN ADA CDNA SEQUENCE; PENTOSTATIN,"B-cell chronic lymphocytic leukemia; MALT lymphoma; acute graft versus host disease; adult T-cell leukemia/lymphoma; chronic graft versus host disease; chronic myelogenous leukemia, BCR-ABL1 positive; follicular lymphoma; graft versus host disease; hairy cell leukemia; inborn error of immunity; indolent B-cell non-Hodgkin lymphoma; mantle cell lymphoma; neoplasm of mature B-cells; plasma cell myeloma; severe combined immunodeficiency",1994.0,1991.0,False,True
ADAM17,in-trial,Phase 2,1,APRATASTAT,rheumatoid arthritis,2004.0,,True,True
ADAMTS13,approved,Approved,1,APADAMTASE ALFA,congenital thrombotic thrombocytopenic purpura; thrombotic thrombocytopenic purpura,2014.0,2023.0,False,True
ADORA1,in-trial,Phase 3,5,ADENOSINE; AMINOPHYLLINE; CAFFEINE; DEFIBROTIDE; THEOPHYLLINE,B-cell chronic lymphocytic leukemia; Kawasaki disease; acute myeloid leukemia; allergic rhinitis; atopic eczema; combined immunodeficiency; plasma cell myeloma; severe combined immunodeficiency; type 1 diabetes mellitus,1992.0,,True,True
