gene,first_trial_year,rank_pctile_full,rank_pctile_genetics
C3,2015,0.997468899779202,0.9971996337982659
RPSA,2015,0.9947762399698422,0.9940761484194087
HAVCR2,2015,0.9928375249071032,0.9715655124131617
CFB,2018,0.9893909203511229,0.9920297269642954
KMT2A,2016,0.9885292692121277,0.9698422101351715
NCBP1,2019,0.9828746836124724,0.9169045182831601
GLS,2016,0.9796434918412408,0.9842210135171522
MAP3K8,2019,0.9777047767785018,0.9911680758253002
RPS3,2015,0.964403037320265,0.9393074478970327
INPP5D,2018,0.964133771339329,0.9690344121923636
RPS3A,2015,0.9617103775109053,0.9617642307070925
TNFSF4,2021,0.9603101944100383,0.8959556249663417
RPS9,2015,0.957455975012117,0.8955247993968442
RPS5,2015,0.9541709300446981,0.9268135063816038
CTSS,2016,0.9540093704561365,0.9065108514190318
RPL10,2015,0.9523399213743335,0.9139425924928645
RPL19,2015,0.9510474446658409,0.9543324896332598
RPS14,2015,0.950508912703969,0.9060800258495342
FCGR2B,2023,0.9500242339382843,0.9333297431202542
CCDC6,2016,0.9472238677365502,0.9658570736173192
SEMA4D,2015,0.9465237761861166,0.7825407937961117
C1S,2018,0.9413000161559588,0.9808282621573591
HSPA8,2015,0.9397921266627174,0.9195433248963326
FOLH1,2022,0.9343529538478109,0.9170660778717217
RPL3,2015,0.9216974527438203,0.8903548925628736
IL1RL1,2016,0.9142118584738004,0.8348861004900641
RIPK1,2015,0.9122192902148742,0.985567343421832
KDM1A,2016,0.9082341536970219,0.9838440411438419
RPL10A,2015,0.9067801173999677,0.8858312240831493
RPS13,2015,0.904087457590608,0.8804997576606172
RPS26,2015,0.9016640637621843,0.9136194733157413
RPS10,2015,0.9014486509774355,0.8250848187839949
IL1RAP,2015,0.8995637891108837,0.6776347676234584
ENPP2,2018,0.8963864505358393,0.7372502558026819
RPL11,2015,0.8948247078464107,0.8578275620658086
RPS4X,2015,0.890462598955248,0.8581506812429318
RPS17,2015,0.889924066993376,0.8631590284883408
F9,2019,0.8870159943992676,0.8612203134256018
RPS7,2015,0.886854434810706,0.8475416015940546
IL33,2016,0.8841079218051592,0.9481393720717325
RPL17,2015,0.8829770046852281,0.8524422424470892
RPL21,2015,0.8802304916796811,0.8402714201087834
RPS2,2015,0.8801227852873068,0.9354838709677419
RPL5,2015,0.8760299423770801,0.7846410684474123
RPL26,2015,0.8750067316495234,0.8433949054876407
RPL24,2015,0.8743604932952771,0.811513813344822
RPS23,2015,0.8727987506058484,0.9347299262211213
RPS20,2015,0.8696752652269912,0.7764553826269589
NCBP2,2019,0.8692444396574937,0.7425278690290269
RPS15A,2015,0.8673057245947547,0.8359093112176208
RPS8,2015,0.8668210458290699,0.8391943561850396
RPL4,2015,0.8622435241531585,0.8416177500134633
RPS15,2015,0.8569120577306263,0.8266465614734234
PPARD,2015,0.8566966449458775,0.9393613010932199
CD6,2019,0.8565350853573159,0.9558403791265011
RPL18,2015,0.8563196725725671,0.8107060154020141
TXK,2018,0.8544886639022026,0.6795196294900102
RPL23,2015,0.8510151327481286,0.8210727556680489
RPL34,2015,0.8503958209919759,0.7991814314179546
RPS27,2015,0.8487263719101729,0.7894878561042598
RPS18,2015,0.8458721525122516,0.8934245247455437
RPS28,2015,0.8316010555226453,0.7605148365555495
RPL15,2015,0.8294469276751575,0.7668156605094513
OSMR,2019,0.827077387042921,0.7492595185524261
IL4,2016,0.821799773816576,0.43938822769131347
RPS27A,2015,0.8171145457482901,0.8307932575798374
RPL36A,2015,0.8161990414131078,0.7471592439011255
RPS19,2015,0.8145295923313048,0.8444719694113846
RPL30,2015,0.8139910603694329,0.7449512628574506
TEC,2018,0.8095212450858958,0.8321395874845172
RPL8,2015,0.8079056492002801,0.7444665840917658
RPS11,2015,0.7984813398675211,0.736442457859874
RPL31,2015,0.7977273951209004,0.7332651192848295
RPL13A,2015,0.7947654693306048,0.7715008885777371
RPL18A,2015,0.7947116161344175,0.73671172384081
RPL6,2015,0.7932575798373633,0.6803812806290054
RPL9,2015,0.7878184070224568,0.7135009962841294
RPL7,2015,0.7852873068016587,0.7286337444127309
FTO,2019,0.7733318972481017,0.9179277290107167
RPL27A,2015,0.7712046959987076,0.721552049114115
SELPLG,2015,0.7656847433895202,0.5328235230760946
MKNK1,2015,0.7598685982013033,0.7040766869513706
TMPRSS6,2020,0.7590069470623082,0.7062846679950455
KIF5B,2016,0.7583607087080618,0.9273520383434757
RPL39,2015,0.758145295923313,0.7116699876137649
RPL22,2015,0.7563681404491357,0.8199149119500242
RPL12,2015,0.7547525445635198,0.718940169099036
RPS24,2015,0.7473746566858743,0.7067154935645431
RPL35A,2015,0.7440896117184554,0.7408045667510367
RPS25,2015,0.7418816306747805,0.8166298669826054
RPL35,2015,0.7393505304539825,0.6690721094296946
RPS6,2015,0.7116699876137649,0.6775809144272713
RPS16,2015,0.6994991652754591,0.778447950885885
RPLP0,2015,0.6985836609402768,0.7489902525714901
RPL14,2015,0.6927136625558727,0.6947062308147989
TIGIT,2016,0.679735042274759,0.17001454036297053
RPL38,2015,0.678334859173892,0.6340675319080188
RPLP1,2015,0.6747805482255372,0.6523776186116647
GAS6,2019,0.6692336690182562,0.6000861651138996
IL1RL2,2015,0.668048898702138,0.397005762291992
CSF1,2018,0.6565243147180785,0.5329850826646562
RPL37,2015,0.6559857827562066,0.6315902848834078
RPL37A,2015,0.633582853142334,0.625235607733319
P2RX3,2022,0.6300823953901664,0.6495233992137434
RPL32,2015,0.6119877214712693,0.5089127039689806
RPL23A,2015,0.5985782756206581,0.7100005385319619
RPS12,2015,0.5903387366040175,0.6184501050137325
RGMA,2015,0.5870536916365986,0.4922720663471377
FCGRT,2015,0.5790295654047067,0.5392320534223706
RPS29,2015,0.5774678227152782,0.3896817276105337
FAU,2015,0.5750982820830416,0.48150142710969895
GPRC5D,2017,0.5705746136033174,0.27933652862297376
CCL11,2015,0.5609348914858097,0.6104259787818407
MEN1,2016,0.5366471000053853,0.9387689159351608
RPL27,2015,0.5263611395336313,0.39178200226183424
RPL13,2015,0.5253379288060747,0.5003500457752168
KLRC1,2015,0.49598793688405407,0.23943131024826322
IRS1,2017,0.48408638052668423,0.6140879961225699
IL22RA1,2016,0.47907803328127524,0.43626474231245627
RPL7A,2015,0.47164629220744253,0.37115622812213905
RPL41,2015,0.43610318272389464,0.6411761538047284
SIGLEC8,2020,0.41116915288922395,0.3911896171037751
RPL36,2015,0.3585007270181485,0.24373956594323873
IFNB1,2025,0.35812375464483814,0.006085411169152889
MAS1,2023,0.35645430556303515,0.2424470892347461
BMX,2018,0.35500026926598094,0.2275836070870806
RPL29,2015,0.34315256610479833,0.3464914642684043
RPS4Y1,2015,0.33889816360601,0.5557111314556519
LILRA4,2021,0.32231137918035435,0.10802951155151058
RPS21,2015,0.3114868867467284,0.6253971673218806
MKNK2,2015,0.1789003177338575,0.03301200926274975
RPL28,2015,0.029780817491518122,0.08320318810921429
KIR3DL2,2019,0.028542193979212666,0.03667402660347892
GIPR,2016,0.0274112768592816,0.09645107437126393
