gene,group,gwas_score
A1CF,other,0.030836
A2ML1,other,0.051479
A4GALT,other,0.414555
AACS,other,0.395238
AADAC,other,0.522032
AADACL4,other,0.076671
AAGAB,other,0.442544
AAK1,other,0.42102
AAMDC,other,0.393114
AAMP,other,0.360543
AARS2,other,0.665195
AASDHPPT,other,0.098277
AATF,other,0.158617
ABCA12,other,0.048713
ABCA13,other,0.399625
ABCA2,other,0.472177
ABCA4,other,0.39652
ABCA5,other,0.058697
ABCA6,other,0.058695
ABCB1,in_trials,0.336469
ABCB10,other,0.058634
ABCB4,other,0.08845
ABCB5,other,0.658461
ABCB7,other,0.031107
ABCC11,other,0.047046
ABCC12,other,0.343918
ABCC4,other,0.066662
ABCC8,in_trials,0.466784
ABCD3,other,0.273863
ABCF2,other,0.075837
ABCG1,other,0.086562
ABHD13,other,0.037683
ABHD14A,other,0.056848
ABHD14B,other,0.213589
ABHD16B,other,0.182235
ABHD17C,other,0.464979
ABHD18,other,0.043856
ABHD4,other,0.132198
ABHD5,other,0.295877
ABHD6,other,0.418278
ABI1,other,0.437914
ABI3BP,other,0.586216
ABL2,other,0.433146
ABLIM1,other,0.299567
ABLIM2,other,0.414441
ABLIM3,other,0.440957
ABO,other,0.872104
ABR,other,0.583802
ABRA,other,0.074581
ABRAXAS2,other,0.034807
ABTB2,other,0.390432
ACACB,other,0.033442
ACAD10,other,0.603253
ACAD11,other,0.061501
ACAD8,other,0.167024
ACADL,other,0.032764
ACADS,other,0.084909
ACAN,other,0.462565
ACAP1,other,0.678176
ACAP2,other,0.496597
ACAP3,other,0.034904
ACAT2,other,0.037415
ACBD4,other,0.062527
ACBD7,other,0.032028
ACER2,other,0.598944
ACKR1,other,0.745107
ACKR3,other,0.16744
ACMSD,other,0.045735
ACO2,other,0.217909
ACOD1,other,0.12466
ACOT11,other,0.355718
ACOX2,other,0.127581
ACOX3,other,0.154461
ACOXL,other,0.84439
ACP1,other,0.368328
ACP2,other,0.076771
ACP3,other,0.463045
ACSL3,other,0.127037
ACSL5,other,0.060882
ACSL6,other,0.414721
ACSM2A,other,0.067363
ACSM2B,other,0.065636
ACSM4,other,0.056083
ACSM5,other,0.061951
ACSS3,other,0.142037
ACTA1,other,0.065258
ACTA2,other,0.823945
ACTB,other,0.331713
ACTC1,other,0.064743
ACTL6B,other,0.058714
ACTL8,other,0.341028
ACTL9,other,0.611926
ACTN1,other,0.541407
ACTN2,other,0.397753
ACTN3,other,0.153674
ACTR1A,other,0.487068
ACTR1B,other,0.540265
ACTR2,other,0.552491
ACTR3,other,0.469711
ACTR3B,other,0.310386
ACTR3C,other,0.350332
ACTR8,other,0.03322
ACTRT3,other,0.438062
ACVR1B,other,0.032775
ACVR1C,other,0.493641
ADAD1,other,0.722442
ADAM12,other,0.511876
ADAM15,other,0.549425
ADAM18,other,0.424051
ADAM23,other,0.620846
ADAM29,other,0.374974
ADAM30,other,0.236755
ADAMTS1,other,0.66861
ADAMTS14,other,0.414186
ADAMTS16,other,0.408335
ADAMTS17,other,0.610235
ADAMTS19,other,0.04301
ADAMTS2,other,0.665633
ADAMTS20,other,0.124405
ADAMTS3,other,0.638431
ADAMTS4,other,0.268648
ADAMTS6,other,0.506669
ADAMTS9,other,0.481771
ADAMTSL1,other,0.479996
ADAMTSL3,other,0.504459
ADAMTSL4,other,0.04979
ADAP1,other,0.686349
ADAP2,other,0.031768
ADARB2,other,0.524535
ADAT2,other,0.159817
ADCK1,other,0.038779
ADCY2,other,0.585284
ADCY3,other,0.754074
ADCY5,other,0.454581
ADCY7,other,0.859311
ADCY8,other,0.536024
ADCY9,other,0.556918
ADCYAP1,other,0.399845
ADGRA1,other,0.438588
ADGRB1,other,0.034006
ADGRB3,other,0.351864
ADGRD1,other,0.138357
ADGRD2,other,0.069101
ADGRE5,other,0.195292
ADGRF1,other,0.364233
ADGRF5,other,0.44777
ADGRG5,other,0.270138
ADGRG6,other,0.415335
ADGRL1,other,0.171529
ADGRL2,other,0.781986
ADGRL3,other,0.652399
ADGRV1,other,0.345114
ADIPOR2,other,0.056804
ADM,other,0.373883
ADM5,other,0.040648
ADNP,other,0.03727
ADNP2,other,0.42102
