arm,statistic,value
standard_taskA,n_genes,19162
standard_taskA,n_pos,727
standard_taskA,auc_pu_full_model,0.6364811641631681
standard_taskA,auc_gps_overall,0.6410959880229021
standard_taskA,auc_delta,-0.004614823859733996
standard_taskA,delong_z,-0.35649076597268975
standard_taskA,delong_p,0.7214730661681306
standard_taskA,delong_p_holm,0.7214730661681306
standard_taskA,significance,ns
leakage_controlled,n_genes,18878
leakage_controlled,n_pos,535
leakage_controlled,auc_pu_full_model,0.6450824144890129
leakage_controlled,auc_gps_overall,0.5924324183867029
leakage_controlled,auc_delta,0.052649996102310026
leakage_controlled,delong_z,3.6223603841632457
leakage_controlled,delong_p,0.0002919270292188363
leakage_controlled,delong_p_holm,0.0005838540584376726
leakage_controlled,significance,***
,n_features_full_model,24
