gene,group,mis_z_score
A1BG,other,-0.295
A1CF,other,1.05
A2M,other,2.95
A2ML1,other,0.995
A3GALT2,other,-2.1
A4GALT,other,-0.502
A4GNT,other,0.835
AAAS,other,0.471
AACS,other,0.232
AADAC,other,0.174
AADACL2,other,0.211
AADACL3,other,-0.377
AADACL4,other,-0.28
AADAT,other,2.33
AAGAB,other,-1.68
AAK1,other,3.14
AAMDC,other,0.137
AAMP,other,2.52
AANAT,other,0.255
AAR2,other,1.18
AARD,other,-0.757
AARS1,other,0.488
AARS2,other,1.59
AARSD1,other,0.225
AASDH,other,0.757
AASDHPPT,other,0.0264
AASS,other,1.2
AATF,other,0.761
LMTK1,other,-2.03
ABAT,other,0.422
ABCA1,other,2.63
ABCA10,other,0.856
ABCA12,other,2.25
ABCA13,other,-0.829
ABCA2,other,5.44
ABCA3,other,1.22
ABCA4,other,0.504
ABCA5,other,0.526
ABCA6,other,-0.627
ABCA7,other,-3.21
ABCA8,other,-0.0996
ABCA9,other,1.05
ABCB1,in_trials,2.47
ABCB10,other,1.78
ABCB11,other,1.01
ABCB4,other,3.45
ABCB5,other,-3.38
ABCB6,other,0.616
ABCB7,other,3.83
ABCB8,other,0.897
ABCB9,other,1.47
ABCC1,other,1.77
ABCC10,other,1.96
ABCC11,other,0.433
ABCC12,other,0.55
ABCC2,other,0.3
ABCC3,other,0.915
ABCC4,other,2.17
ABCC5,other,5.06
ABCC6,other,1.89
ABCC8,in_trials,3.02
ABCC9,in_trials,7.62
ABCD1,other,2.89
ABCD2,other,2.3
ABCD3,other,2.77
ABCD4,other,0.116
ABCE1,other,6.22
ABCF1,other,3.56
ABCF2,other,3.94
ABCF2-H2BK1,other,3.92
ABCF3,other,1.15
ABCG1,other,2.56
ABCG2,other,-0.149
ABCG4,other,3.46
ABCG5,other,-1.16
ABCG8,other,-3.66
ABHD1,other,-0.886
ABHD10,other,0.61
ABHD11,other,0.86
ABHD12,other,-0.0338
ABHD12B,other,-0.63
ABHD13,other,2.14
ABHD14A,other,0.772
ABHD14A-ACY1,other,1.02
ABHD14B,other,0.626
ABHD15,other,0.107
ABHD16A,other,2.43
ABHD16B,other,-0.726
ABHD17A,other,3.3
ABHD17B,other,2.91
ABHD17C,other,3.74
ABHD18,other,0.46
ABHD2,other,2.65
ABHD3,other,0.149
ABHD4,other,1.32
ABHD5,other,0.505
ABHD6,other,0.883
ABHD8,other,1.02
ABI1,other,2.71
ABI2,other,2.23
ABI3,other,0.0801
ABI3BP,other,0.843
