gene,group,residual
AAAS,other,-22.75326261247858
AACS,other,45.742711909580144
AAGAB,other,-19.229374657316352
AAK1,other,1.5752168382219909
AAMDC,other,19.68301631328943
AAMP,other,-18.328713961385443
AAR2,other,-39.05108454689067
AARSD1,other,-1.0829107480232285
AASDH,other,-32.51972322190695
AASDHPPT,other,-25.39698069786833
AASS,other,1.3590773296183702
ABAT,other,21.88310750574311
ABCA2,other,25.172337874221288
ABCA3,other,8.275593313306798
ABCA5,other,54.59453235281587
ABCA7,other,57.444766869982686
ABCB1,in_trials,29.424873989942295
ABCB10,other,-32.30298392462287
ABCB6,other,39.951965673762025
ABCB7,other,-22.495479356461445
ABCB8,other,-26.863986362400265
ABCB9,other,-5.702633508843317
ABCC1,other,2.3088253680328705
ABCC2,other,-7.1296350570967055
ABCC4,other,20.448720877156855
ABCC5,other,-2.747438971705494
ABCD2,other,126.25543788007128
ABCD3,other,-25.694246433312724
ABCD4,other,-2.627271905960495
ABCE1,other,24.867832619638065
ABCF2,other,2.010750173641656
ABCF3,other,-45.515185371459154
ABCG1,other,33.36008784424448
ABCG2,other,1.001596698642872
ABHD10,other,-11.11345666054852
ABHD11,other,-19.12291568854848
ABHD12,other,-9.021709465998756
ABHD13,other,-12.263577535841137
ABHD14A,other,5.465234479239501
ABHD14B,other,11.64123975333422
ABHD16A,other,-9.963500734802338
ABHD17B,other,-19.34723688180779
ABHD17C,other,-8.02536401335093
ABHD18,other,-31.48046424293807
ABHD2,other,-19.864709200589292
ABHD3,other,1.956699306432597
ABHD4,other,37.898336876891086
ABHD5,other,-5.130762325081302
ABHD6,other,-13.410197160782744
ABHD8,other,20.414143564300097
ABI1,other,-2.6937580347694356
ABI2,other,14.37566030828709
ABI3,other,29.34927168364987
ABITRAM,other,-24.44879137114758
ABL1,approved,-20.70994543793064
ABL2,other,-9.999288988150688
ABR,other,15.02650185642952
ABRACL,other,21.38052461172241
ABRAXAS1,other,-9.844626312148094
ABRAXAS2,other,-40.88976117973849
ABTB1,other,23.186580202379503
ABTB2,other,35.249733140021796
ACAA1,other,-7.703485657482697
ACAA2,other,-3.420954554784236
ACACA,other,1.9474337429805573
ACACB,other,-6.092769613304831
ACAD10,other,-14.373072163765933
ACAD11,other,0.6731194442065677
ACAD8,other,-24.20089515816279
ACAD9,other,-30.17027659009425
ACADM,other,-3.0121316183248723
ACADS,other,-16.773671645413792
ACADSB,other,-20.54613075803542
ACADVL,other,25.74306038281742
ACAP1,other,57.14621893931557
ACAP2,other,-4.956486433550633
ACAP3,other,-7.311170219087205
ACAT1,other,-0.5464424364104019
ACAT2,other,70.43686791607765
ACBD3,other,-32.44217755497546
ACBD4,other,-6.763706440106546
ACBD5,other,-9.260030398208672
ACBD6,other,-4.054673515446154
ACBD7,other,-10.554985473364049
ACCS,other,0.9868780608023624
ACD,other,-4.501437022281114
ACE,in_trials,2.3309109659226315
ACER3,other,-2.7319851117383016
ACIN1,other,-48.62159529729521
ACKR3,other,0.1675944818219387
ACLY,other,-29.092240025199676
ACO1,other,-4.035423301525651
ACO2,other,-40.56344480373525
ACOT13,other,0.6827436304961102
ACOT4,other,5.8291020972896055
ACOT7,other,30.548965076219737
ACOT8,other,-21.857968313354984
ACOT9,other,-39.01763816248114
ACOX1,other,-13.648115073005448
ACOX3,other,-11.826971196915103
ACP1,other,-18.370949282825876
ACP2,other,15.662181433532355
ACP5,other,58.22921387975962
ACP6,other,3.865050933317105
ACSF2,other,-0.3198683955492178
ACSF3,other,5.927603870014664
ACSL1,other,4.235707039952328
ACSL3,other,-0.1210675573187375
ACSL4,other,-4.185575298142591
ACSL5,other,-7.36686937561402
ACSL6,other,39.85682754263778
ACSM3,other,-6.446337028613393
ACSS1,other,3.939522305932852
ACSS2,other,33.24722890105489
ACTA2,other,45.21998410752616
ACTG1,other,50.1891448898782
ACTL6A,other,31.760300568257176
ACTN1,other,67.22417770362904
ACTN4,other,-16.36698478295732
ACTR10,other,-17.99983542079272
ACTR1A,other,-12.008054707144026
ACTR1B,other,13.00396765635962
ACTR2,other,-33.545089955584395
ACTR3,other,-9.795498912529268
ACTR3B,other,-19.590316774410752
ACTR5,other,-20.731853692996193
ACTR6,other,-27.24412665195543
ACTR8,other,-38.96150593116053
ACVR1,approved,30.13991082215863
ACVR1B,other,26.60791572186022
ACVR1C,other,18.766166058107512
ACVR2A,other,34.93649633343151
ACVR2B,in_trials,3.5040252860840844
ACY1,other,5.319385944721854
ACYP1,other,-5.001855650110983
ACYP2,other,32.05266502606826
ADA,approved,23.063883910086304
ADA2,other,120.05474286766167
MAPDA,other,-2.1855702904920027
ADAM10,other,-29.219227072981926
ADAM15,other,5.37929998518383
ADAM17,in_trials,-21.031567964413156
ADAM19,other,-20.95859659769781
ADAM22,other,19.571041077756657
ADAM8,other,112.00043828327462
ADAM9,other,7.10036277872545
ADAMTS1,other,4.177861528325124
ADAMTS10,other,12.541437014555184
ADAMTS17,other,1.567713622527381
ADAMTS6,other,-3.645578892334119
ADAMTSL5,other,-8.835450813416406
ADAP1,other,15.64192790808861
ADAR,other,-43.957377696708704
ADARB1,other,9.824923307240432
ADAT1,other,-13.935043786083666
ADAT2,other,26.860304696846335
ADCK2,other,-3.2970359673060536
ADCK5,other,-16.197834887206863
ADCY1,other,20.248998806689514
ADCY3,other,36.33814068567947
ADCY4,other,-6.257251006057605
ADCY7,other,-6.902213037948033
ADCY9,other,4.367737112738951
ADD1,other,9.2336925740671
ADD2,other,16.830912497638895
ADD3,other,21.492554684972067
ADGRA3,other,25.32971612885937
ADGRE1,other,-12.721992193617416
ADGRE5,other,63.171558498454914
ADGRG1,other,66.53439397369199
ADGRG5,other,18.95526399288908
ADGRL1,other,15.68314066433664
ADH5,other,-39.386663020696496
ADHFE1,other,0.849978144659976
ADI1,other,44.19640734887616
ADIPOR1,other,-40.852730410741216
ADIPOR2,other,-6.742031094688225
ADK,other,8.35743189105157
ADM5,other,-13.017748710268483
ADNP,other,-36.012793458430444
