gene,grp,rank_pctile,pu_score,rank_pctile_cv,pu_score_cv
TNFSF11,approved,1.0,0.9724812731146812,1.0,0.9759971326589584
LACC1,non-target,0.999948723207876,0.9722299627241144,0.9998974464157522,0.9676876981851412
IL7R,non-target,0.9998974464157522,0.9707675176828646,0.9994872320787612,0.9607255743609532
NFKB1,non-target,0.9998461696236284,0.9694349662381776,0.999948723207876,0.967734865509734
JAK1,approved,0.9997948928315044,0.9690162533521652,0.9995897856630088,0.9621917340159416
NFKBIA,non-target,0.9997436160393806,0.9684479615905068,0.9996410624551328,0.9640858282395944
IL10,non-target,0.9996923392472566,0.9678554596360196,0.9996923392472566,0.9645969469535168
TGFBR1,in-trial,0.9996410624551328,0.9678343400359154,0.9998461696236284,0.9656687017083168
DKC1,non-target,0.9995897856630088,0.9649933468492538,0.9997436160393806,0.9647937047112848
CFH,non-target,0.999538508870885,0.9644946203548082,0.9992821249102656,0.9564719324762172
CTLA4,in-trial,0.9994872320787612,0.964404808282852,0.9994359552866372,0.9602003056406976
TNFAIP3,non-target,0.9994359552866372,0.9633468512934868,0.999538508870885,0.9614551782005964
STAT4,non-target,0.9993846784945134,0.9632629649288158,0.9997948928315044,0.9648712007244628
IL23R,non-target,0.9993334017023896,0.9601180565725896,0.9989744641575224,0.9521220618027908
CXCR2,in-trial,0.9992821249102656,0.9601086142659188,0.999179571326018,0.9564422601461412
LYST,non-target,0.9992308481181418,0.959731717498935,0.9993334017023896,0.9575555157296513
IL12B,approved,0.999179571326018,0.9596945238113403,0.99907701774177,0.9533221581578256
NOD2,non-target,0.999128294533894,0.9578562375842308,0.999128294533894,0.9541481643306966
NCF2,non-target,0.99907701774177,0.9576551110173264,0.9992308481181418,0.956468642495342
SEC61A1,non-target,0.999025740949646,0.9571721338734184,0.9993846784945134,0.9591118631289176
CD40,in-trial,0.9989744641575224,0.9558011469244956,0.9989231873653984,0.950960212647915
FASLG,non-target,0.9989231873653984,0.9544819635574264,0.9988719105732744,0.9501827947419098
CARD11,non-target,0.9988719105732744,0.9532326276254172,0.9988206337811506,0.9486882842550374
TERT,in-trial,0.9988206337811506,0.9525590905547142,0.999025740949646,0.9523206748366356
IL6R,approved,0.9987693569890268,0.9522195520997048,0.997743821146549,0.9380102774500848
SMAD3,non-target,0.9987180801969028,0.9517293942280304,0.9984616962362834,0.9459908489080576
ELOVL6,non-target,0.998666803404779,0.9515955844521522,0.9984104194441596,0.9458166041374204
TNFRSF1A,non-target,0.9986155266126552,0.9509484460859589,0.9985129730284074,0.9460093251984528
RORC,non-target,0.9985642498205312,0.9491762409404833,0.9985642498205312,0.9460210536942264
CXCR4,approved,0.9985129730284074,0.948407852947712,0.9981540354835402,0.9444184255599976
IFIH1,non-target,0.9984616962362834,0.948313653773191,0.9974874371859296,0.9346739803473962
PLXNC1,non-target,0.9984104194441596,0.9483117298646406,0.9987693569890268,0.9486028902458422
CSF3R,approved,0.9983591426520356,0.9469742080569268,0.9960004102143368,0.9246734318137168
NCF1,non-target,0.9983078658599118,0.946801126611476,0.9979489283150446,0.940829413735927
FGFR1,approved,0.998256589067788,0.9466627329587936,0.998256589067788,0.9446227464079856
FLNB,non-target,0.998205312275664,0.9466288810481832,0.998205312275664,0.9444881131201226
RASGRP1,non-target,0.9981540354835402,0.9465067067531624,0.9981027586914164,0.9438331345816952
PIK3R1,in-trial,0.9981027586914164,0.946490949690342,0.9986155266126552,0.9464391228556632
IFNGR2,approved,0.9980514818992924,0.9458074924349784,0.9972310532253102,0.9319943721592426
ACTA2,non-target,0.9980002051071684,0.9456482568973212,0.9983078658599118,0.9448879524914906
LYN,approved,0.9979489283150446,0.9455989181995392,0.9966670085119474,0.9281175956130028
IRF1,non-target,0.9978976515229208,0.9455570557068304,0.998666803404779,0.9464845607525264
FOXP3,non-target,0.9978463747307968,0.945063243057522,0.9980002051071684,0.941812377144592
KMT2D,non-target,0.9977950979386728,0.9446129196760604,0.9987180801969028,0.9479069023716208
MTHFD1,non-target,0.997743821146549,0.9442327934868482,0.9980514818992924,0.9423432189591076
GFI1,non-target,0.9976925443544252,0.9431091474397534,0.9983591426520356,0.9452085755198136
RUVBL1,non-target,0.9976412675623012,0.94211894094944,0.9978976515229208,0.9404469361305235
RASGRF2,non-target,0.9975899907701774,0.9420068814669768,0.997384883601682,0.9335099334692836
IL21,in-trial,0.9975387139780536,0.941229359805584,0.9977950979386728,0.9388869502544404
SH2B3,non-target,0.9974874371859296,0.9409162893891334,0.9969746692646908,0.930222669541836
C3,in-trial,0.9974361603938058,0.9392946267127992,0.9976412675623012,0.935908391714096
PRKCB,approved,0.997384883601682,0.9384367609024048,0.9975387139780536,0.9356136816740036
FYN,approved,0.997333606809558,0.9376232543587684,0.9934365706081428,0.9088436943292618
WDR1,non-target,0.9972823300174342,0.9375961332151732,0.9974361603938058,0.9342061296937428
TRAF3IP2,approved,0.9972310532253102,0.9373312190175056,0.9945133832427444,0.9153391975164412
IRF5,non-target,0.9971797764331864,0.9369783323220532,0.9967182853040714,0.9282523727416992
NFATC2,non-target,0.9971284996410624,0.9365899075161328,0.9966157317198236,0.9276717958426234
