gene,subset,neglog10_adjp,group
A3GALT2,Th1,5.540375732814527e-05,other
A4GALT,Th1,5.540375732814527e-05,other
AAAS,Th1,5.540375732814527e-05,other
AACS,Th1,5.540375732814527e-05,other
AAK1,Th1,5.540375732814527e-05,other
AAMDC,Th1,5.540375732814527e-05,other
AAMP,Th1,5.540375732814527e-05,other
AARD,Th1,1.1114487954729213,other
AARS1,Th1,5.540375732814527e-05,other
AARS2,Th1,5.540375732814527e-05,other
AARSD1,Th1,5.540375732814527e-05,other
AASDHPPT,Th1,5.540375732814527e-05,other
AASS,Th1,5.540375732814527e-05,other
LMTK1,Th1,5.540375732814527e-05,other
ABAT,Th1,5.540375732814527e-05,other
ABCA1,Th1,5.540375732814527e-05,other
ABCA10,Th1,5.540375732814527e-05,other
ABCA2,Th1,5.540375732814527e-05,other
ABCA3,Th1,5.540375732814527e-05,other
ABCA5,Th1,5.540375732814527e-05,other
ABCA6,Th1,5.540375732814527e-05,other
ABCA7,Th1,5.540375732814527e-05,other
ABCA9,Th1,5.540375732814527e-05,other
ABCB1,Th1,5.540375732814527e-05,in_trials
ABCB10,Th1,5.540375732814527e-05,other
ABCB6,Th1,5.540375732814527e-05,other
ABCB8,Th1,5.540375732814527e-05,other
ABCC1,Th1,5.540375732814527e-05,other
ABCC4,Th1,5.540375732814527e-05,other
ABCC5,Th1,5.540375732814527e-05,other
ABCC9,Th1,5.540375732814527e-05,in_trials
ABCD1,Th1,5.540375732814527e-05,other
ABCD2,Th1,5.540375732814527e-05,other
ABCD3,Th1,5.540375732814527e-05,other
ABCE1,Th1,5.540375732814527e-05,other
ABCF1,Th1,5.540375732814527e-05,other
ABCF2,Th1,5.540375732814527e-05,other
ABCG1,Th1,5.540375732814527e-05,other
ABCG2,Th1,0.2281802106056505,other
ABHD10,Th1,5.540375732814527e-05,other
ABHD11,Th1,5.540375732814527e-05,other
ABHD13,Th1,5.540375732814527e-05,other
ABHD14B,Th1,5.540375732814527e-05,other
ABHD15,Th1,5.540375732814527e-05,other
ABHD16A,Th1,5.540375732814527e-05,other
ABHD17B,Th1,5.540375732814527e-05,other
ABHD17C,Th1,5.540375732814527e-05,other
ABHD2,Th1,5.540375732814527e-05,other
ABHD3,Th1,5.540375732814527e-05,other
ABHD4,Th1,5.540375732814527e-05,other
ABHD5,Th1,5.540375732814527e-05,other
ABHD6,Th1,5.540375732814527e-05,other
ABHD8,Th1,5.540375732814527e-05,other
ABI1,Th1,5.540375732814527e-05,other
ABI2,Th1,5.540375732814527e-05,other
ABI3,Th1,5.540375732814527e-05,other
ABL1,Th1,5.540375732814527e-05,approved
ABL2,Th1,5.540375732814527e-05,other
ABLIM1,Th1,5.540375732814527e-05,other
ABLIM2,Th1,5.540375732814527e-05,other
ABLIM3,Th1,5.540375732814527e-05,other
ABO,Th1,5.540375732814527e-05,other
ABR,Th1,5.540375732814527e-05,other
ABRAXAS1,Th1,5.540375732814527e-05,other
ABTB1,Th1,5.540375732814527e-05,other
ABTB2,Th1,0.3437789121717214,other
ACAA1,Th1,5.540375732814527e-05,other
ACAA2,Th1,5.540375732814527e-05,other
ACACA,Th1,5.540375732814527e-05,other
ACACB,Th1,0.8182935555474622,other
ACAD11,Th1,5.540375732814527e-05,other
ACAD9,Th1,5.540375732814527e-05,other
ACADM,Th1,5.540375732814527e-05,other
ACADVL,Th1,5.540375732814527e-05,other
ACAP1,Th1,5.540375732814527e-05,other
ACAP2,Th1,5.540375732814527e-05,other
ACAP3,Th1,5.540375732814527e-05,other
ACAT1,Th1,5.540375732814527e-05,other
ACAT2,Th1,5.540375732814527e-05,other
ACBD6,Th1,5.540375732814527e-05,other
ACBD7,Th1,0.3939281648908738,other
ACCS,Th1,5.540375732814527e-05,other
ACD,Th1,5.540375732814527e-05,other
ACE,Th1,5.540375732814527e-05,in_trials
ACER1,Th1,5.540375732814527e-05,other
ACER3,Th1,5.540375732814527e-05,other
ACHE,Th1,5.540375732814527e-05,approved
ACKR2,Th1,5.540375732814527e-05,other
ACKR3,Th1,5.540375732814527e-05,other
ACKR4,Th1,0.1974229670553203,other
ACLY,Th1,5.540375732814527e-05,other
ACO1,Th1,5.540375732814527e-05,other
ACOT11,Th1,5.540375732814527e-05,other
ACOT12,Th1,0.2681278688957955,other
ACOT13,Th1,5.540375732814527e-05,other
ACOT7,Th1,5.540375732814527e-05,other
ACOT8,Th1,5.540375732814527e-05,other
ACOT9,Th1,5.540375732814527e-05,other
ACOX1,Th1,5.540375732814527e-05,other
ACOXL,Th1,0.3123584143282664,other
ACP1,Th1,5.540375732814527e-05,other
ACP2,Th1,5.540375732814527e-05,other
ACP5,Th1,5.540375732814527e-05,other
ACSBG1,Th1,5.540375732814527e-05,other
ACSBG2,Th1,5.540375732814527e-05,other
ACSF2,Th1,5.540375732814527e-05,other
ACSL1,Th1,5.540375732814527e-05,other
ACSL3,Th1,5.540375732814527e-05,other
ACSL4,Th1,5.540375732814527e-05,other
ACSL6,Th1,5.540375732814527e-05,other
ACSM3,Th1,5.540375732814527e-05,other
ACSS1,Th1,5.540375732814527e-05,other
ACSS2,Th1,5.540375732814527e-05,other
ACTA2,Th1,5.540375732814527e-05,other
ACTL6A,Th1,5.540375732814527e-05,other
ACTL8,Th1,5.540375732814527e-05,other
ACTN1,Th1,0.550979504336973,other
ACTN3,Th1,5.540375732814527e-05,other
ACTN4,Th1,5.540375732814527e-05,other
