panel,condition,group,n,n_reg,pct_reg,pct_zero,mean,mean_nonzero,max,n_ge3
3c cytokines,Rest,approved,191,13,6.806282722513089,93.19371727748691,0.14136125654450263,2.076923076923077,6,3
3c cytokines,Rest,in-trial,367,30,8.174386920980927,91.82561307901908,0.10899182561307902,1.3333333333333333,3,2
3c cytokines,Rest,non-target,10688,821,7.681511976047904,92.3184880239521,0.1348241017964072,1.7551766138855054,11,134
3c cytokines,Stim8hr,approved,197,18,9.137055837563452,90.86294416243655,0.4467005076142132,4.888888888888889,20,7
3c cytokines,Stim8hr,in-trial,374,33,8.823529411764707,91.17647058823529,0.232620320855615,2.6363636363636362,11,11
3c cytokines,Stim8hr,non-target,10803,857,7.932981579190966,92.06701842080903,0.18254188651300565,2.3010501750291716,18,218
3c cytokines,Stim48hr,approved,196,20,10.204081632653061,89.79591836734694,0.3520408163265306,3.45,12,8
3c cytokines,Stim48hr,in-trial,373,31,8.310991957104557,91.68900804289544,0.21179624664879357,2.5483870967741935,14,8
3c cytokines,Stim48hr,non-target,10672,682,6.39055472263868,93.60944527736132,0.1387743628185907,2.1715542521994133,15,156
3d cytokine receptors,Rest,approved,191,11,5.7591623036649215,94.24083769633508,0.14136125654450263,2.4545454545454546,13,2
3d cytokine receptors,Rest,in-trial,367,21,5.722070844686648,94.27792915531336,0.1880108991825613,3.2857142857142856,14,8
3d cytokine receptors,Rest,non-target,10688,654,6.119011976047904,93.8809880239521,0.1559693113772455,2.5489296636085625,28,172
3d cytokine receptors,Stim8hr,approved,197,23,11.6751269035533,88.3248730964467,0.751269035532995,6.434782608695652,33,9
3d cytokine receptors,Stim8hr,in-trial,374,22,5.88235294117647,94.11764705882352,0.3048128342245989,5.181818181818182,19,10
3d cytokine receptors,Stim8hr,non-target,10803,744,6.886975840044432,93.11302415995557,0.24178468943811904,3.510752688172043,32,262
3d cytokine receptors,Stim48hr,approved,196,17,8.673469387755102,91.3265306122449,0.5051020408163265,5.823529411764706,20,9
3d cytokine receptors,Stim48hr,in-trial,373,25,6.702412868632708,93.2975871313673,0.3190348525469169,4.76,22,10
3d cytokine receptors,Stim48hr,non-target,10672,681,6.381184407796102,93.6188155922039,0.19780734632683658,3.0998531571218795,33,218
