gene,condition,n_sig,group
A1BG,Rest,0,non-target
A1BG,Stim48hr,0,non-target
A1BG,Stim8hr,0,non-target
A2M,Rest,0,non-target
A2M,Stim48hr,0,non-target
A2M,Stim8hr,0,non-target
AAAS,Rest,0,non-target
AAAS,Stim48hr,0,non-target
AAAS,Stim8hr,0,non-target
AACS,Rest,0,non-target
AACS,Stim48hr,0,non-target
AACS,Stim8hr,0,non-target
AAGAB,Rest,0,non-target
AAGAB,Stim48hr,0,non-target
AAGAB,Stim8hr,0,non-target
AAK1,Rest,0,non-target
AAK1,Stim48hr,0,non-target
AAK1,Stim8hr,0,non-target
AAMDC,Rest,0,non-target
AAMDC,Stim48hr,0,non-target
AAMDC,Stim8hr,0,non-target
AAR2,Rest,0,non-target
AAR2,Stim48hr,0,non-target
AAR2,Stim8hr,0,non-target
AARS2,Rest,0,non-target
AARSD1,Rest,0,non-target
AARSD1,Stim48hr,0,non-target
AARSD1,Stim8hr,0,non-target
AASDH,Rest,0,non-target
AASDH,Stim48hr,0,non-target
AASDH,Stim8hr,0,non-target
AASDHPPT,Rest,0,non-target
AASDHPPT,Stim48hr,0,non-target
AASDHPPT,Stim8hr,0,non-target
AASS,Rest,0,non-target
AASS,Stim48hr,0,non-target
AASS,Stim8hr,0,non-target
ABAT,Rest,0,non-target
ABAT,Stim48hr,0,non-target
ABAT,Stim8hr,0,non-target
ABCA1,Rest,0,non-target
ABCA1,Stim48hr,0,non-target
ABCA1,Stim8hr,0,non-target
ABCA2,Rest,0,non-target
ABCA2,Stim48hr,0,non-target
ABCA2,Stim8hr,0,non-target
ABCA3,Rest,0,non-target
ABCA3,Stim48hr,1,non-target
ABCA3,Stim8hr,0,non-target
ABCA5,Rest,0,non-target
ABCA5,Stim48hr,1,non-target
ABCA5,Stim8hr,0,non-target
ABCA7,Rest,0,non-target
ABCA7,Stim48hr,0,non-target
ABCA7,Stim8hr,0,non-target
ABCB1,Rest,0,in-trial
ABCB1,Stim48hr,0,in-trial
ABCB1,Stim8hr,0,in-trial
ABCB6,Rest,0,non-target
ABCB6,Stim48hr,0,non-target
ABCB6,Stim8hr,0,non-target
ABCB7,Stim8hr,2,non-target
ABCB8,Rest,0,non-target
ABCB8,Stim48hr,0,non-target
ABCB8,Stim8hr,0,non-target
ABCB9,Rest,0,non-target
ABCB9,Stim48hr,0,non-target
ABCB9,Stim8hr,0,non-target
ABCC1,Rest,1,non-target
ABCC1,Stim48hr,0,non-target
ABCC1,Stim8hr,0,non-target
ABCC10,Rest,0,non-target
ABCC10,Stim48hr,0,non-target
ABCC10,Stim8hr,0,non-target
ABCC2,Rest,0,non-target
ABCC2,Stim48hr,0,non-target
ABCC2,Stim8hr,0,non-target
ABCC3,Rest,0,non-target
ABCC3,Stim48hr,0,non-target
ABCC3,Stim8hr,0,non-target
ABCC4,Rest,0,non-target
ABCC4,Stim48hr,0,non-target
ABCC4,Stim8hr,0,non-target
ABCC5,Rest,0,non-target
ABCC5,Stim48hr,0,non-target
ABCC5,Stim8hr,0,non-target
ABCC8,Rest,0,in-trial
ABCC8,Stim48hr,0,in-trial
ABCC8,Stim8hr,0,in-trial
ABCD2,Rest,0,non-target
ABCD2,Stim48hr,0,non-target
ABCD2,Stim8hr,0,non-target
ABCD3,Rest,0,non-target
ABCD3,Stim48hr,0,non-target
ABCD3,Stim8hr,0,non-target
ABCD4,Rest,0,non-target
ABCD4,Stim48hr,0,non-target
ABCD4,Stim8hr,0,non-target
ABCE1,Rest,0,non-target
ABCE1,Stim48hr,0,non-target
ABCE1,Stim8hr,0,non-target
ABCF2,Rest,0,non-target
ABCF2,Stim48hr,0,non-target
ABCF2,Stim8hr,0,non-target
ABCF3,Rest,0,non-target
ABCF3,Stim48hr,0,non-target
ABCF3,Stim8hr,0,non-target
ABCG1,Rest,0,non-target
ABCG1,Stim48hr,0,non-target
ABCG1,Stim8hr,0,non-target
ABHD10,Rest,0,non-target
ABHD10,Stim48hr,0,non-target
ABHD10,Stim8hr,0,non-target
ABHD11,Rest,0,non-target
ABHD11,Stim48hr,0,non-target
ABHD11,Stim8hr,0,non-target
ABHD12,Rest,0,non-target
ABHD12,Stim48hr,0,non-target
ABHD12,Stim8hr,0,non-target
ABHD13,Rest,0,non-target
ABHD13,Stim48hr,0,non-target
ABHD13,Stim8hr,0,non-target
ABHD14A,Rest,0,non-target
ABHD14A,Stim48hr,0,non-target
ABHD14A,Stim8hr,0,non-target
ABHD14B,Rest,0,non-target
ABHD14B,Stim48hr,0,non-target
ABHD14B,Stim8hr,0,non-target
ABHD15,Stim48hr,0,non-target
ABHD16A,Rest,0,non-target
ABHD16A,Stim48hr,0,non-target
ABHD16A,Stim8hr,0,non-target
ABHD16B,Rest,0,non-target
ABHD16B,Stim48hr,0,non-target
ABHD16B,Stim8hr,0,non-target
ABHD17A,Rest,0,non-target
ABHD17A,Stim48hr,0,non-target
ABHD17A,Stim8hr,1,non-target
ABHD17B,Rest,0,non-target
ABHD17B,Stim48hr,0,non-target
ABHD17B,Stim8hr,0,non-target
ABHD18,Rest,0,non-target
ABHD18,Stim48hr,0,non-target
ABHD18,Stim8hr,0,non-target
ABHD2,Rest,0,non-target
ABHD2,Stim48hr,0,non-target
ABHD2,Stim8hr,0,non-target
ABHD3,Rest,0,non-target
ABHD3,Stim48hr,0,non-target
ABHD3,Stim8hr,0,non-target
ABHD4,Rest,0,non-target
ABHD4,Stim48hr,0,non-target
ABHD4,Stim8hr,0,non-target
ABHD5,Rest,0,non-target
ABHD5,Stim48hr,0,non-target
ABHD5,Stim8hr,0,non-target
ABHD6,Rest,0,non-target
ABHD6,Stim48hr,0,non-target
ABHD6,Stim8hr,0,non-target
ABHD8,Rest,0,non-target
ABHD8,Stim48hr,0,non-target
ABHD8,Stim8hr,0,non-target
ABI1,Rest,0,non-target
ABI1,Stim48hr,0,non-target
ABI1,Stim8hr,0,non-target
ABI2,Rest,0,non-target
ABI2,Stim48hr,0,non-target
ABI2,Stim8hr,0,non-target
ABI3,Rest,3,non-target
ABI3,Stim48hr,0,non-target
ABI3,Stim8hr,0,non-target
ABITRAM,Rest,0,non-target
ABITRAM,Stim48hr,0,non-target
ABITRAM,Stim8hr,0,non-target
ABL1,Rest,0,approved
ABL1,Stim48hr,0,approved
ABL1,Stim8hr,0,approved
ABL2,Rest,0,non-target
ABL2,Stim48hr,0,non-target
ABL2,Stim8hr,0,non-target
ABLIM3,Rest,0,non-target
ABLIM3,Stim48hr,0,non-target
ABLIM3,Stim8hr,0,non-target
ABRACL,Rest,0,non-target
ABRACL,Stim48hr,0,non-target
ABRACL,Stim8hr,0,non-target
ABRAXAS1,Rest,0,non-target
ABRAXAS1,Stim48hr,0,non-target
ABRAXAS1,Stim8hr,0,non-target
ABRAXAS2,Rest,0,non-target
ABRAXAS2,Stim48hr,0,non-target
ABRAXAS2,Stim8hr,0,non-target
ABT1,Stim8hr,0,non-target
ABTB1,Rest,0,non-target
ABTB1,Stim48hr,0,non-target
ABTB1,Stim8hr,0,non-target
ABTB2,Rest,0,non-target
ABTB2,Stim48hr,0,non-target
ABTB2,Stim8hr,0,non-target
ABTB3,Rest,0,non-target
ABTB3,Stim48hr,0,non-target
ABTB3,Stim8hr,0,non-target
ACAA1,Rest,0,non-target
ACAA1,Stim48hr,0,non-target
ACAA1,Stim8hr,0,non-target
ACAA2,Rest,0,non-target
ACAA2,Stim48hr,0,non-target
ACAA2,Stim8hr,0,non-target
ACACA,Rest,0,non-target
ACACA,Stim48hr,1,non-target
ACACA,Stim8hr,0,non-target
ACACB,Rest,0,non-target
ACACB,Stim48hr,0,non-target
ACACB,Stim8hr,0,non-target
ACAD10,Rest,0,non-target
ACAD10,Stim48hr,0,non-target
ACAD10,Stim8hr,0,non-target
ACAD11,Rest,1,non-target
ACAD11,Stim48hr,1,non-target
ACAD11,Stim8hr,1,non-target
ACAD8,Rest,0,non-target
ACAD8,Stim48hr,0,non-target
ACAD8,Stim8hr,0,non-target
ACAD9,Rest,0,non-target
ACAD9,Stim48hr,0,non-target
