gene,group,gwas_score
TNFSF11,approved,0.829189
LACC1,non-target,0.881881
IL7R,non-target,0.966134
NFKB1,non-target,0.945454
JAK1,approved,0.864422
NFKBIA,non-target,0.884652
IL10,non-target,0.926833
TGFBR1,in-trial,0.506222
DKC1,non-target,0.0
CFH,non-target,0.695938
CTLA4,in-trial,0.971186
TNFAIP3,non-target,0.898337
STAT4,non-target,0.831152
IL23R,non-target,0.941376
CXCR2,in-trial,0.871767
LYST,non-target,0.614238
IL12B,approved,0.978083
NOD2,non-target,0.913
NCF2,non-target,0.896317
SEC61A1,non-target,0.0
CD40,in-trial,0.961761
FASLG,non-target,0.598495
CARD11,non-target,0.752298
TERT,in-trial,0.720817
IL6R,approved,0.939475
SMAD3,non-target,0.896627
ELOVL6,non-target,0.0
TNFRSF1A,non-target,0.916408
RORC,non-target,0.727353
CXCR4,approved,0.550107
IFIH1,non-target,0.873229
PLXNC1,non-target,0.759259
CSF3R,approved,0.748006
NCF1,non-target,0.440947
FGFR1,approved,0.343323
FLNB,non-target,0.532123
RASGRP1,non-target,0.839616
PIK3R1,in-trial,0.531554
IFNGR2,approved,0.884264
ACTA2,non-target,0.823945
LYN,approved,0.397045
IRF1,non-target,0.823494
FOXP3,non-target,0.0
KMT2D,non-target,0.0
MTHFD1,non-target,0.036878
GFI1,non-target,0.68781
RUVBL1,non-target,0.248975
RASGRF2,non-target,0.0
IL21,in-trial,0.739779
SH2B3,non-target,0.974758
C3,in-trial,0.414059
PRKCB,approved,0.849435
FYN,approved,0.606754
WDR1,non-target,0.501231
TRAF3IP2,approved,0.94343
IRF5,non-target,0.856625
NFATC2,non-target,0.84501
IL1R1,approved,0.71789
SATB1,non-target,0.79803
HELLS,non-target,0.0
TBX21,non-target,0.815022
DNASE1L3,non-target,0.850725
TLR3,in-trial,0.853735
RAD51,non-target,0.0
KIF21B,non-target,0.603497
JARID2,non-target,0.70361
ACTN1,non-target,0.541407
CUL1,non-target,0.667618
PDCD1,approved,0.665909
POLR3A,non-target,0.0
PDE8B,in-trial,0.749302
PRKCQ,approved,0.859869
TLR7,approved,0.042883
CBLB,non-target,0.746671
COL1A2,non-target,0.0
CASR,non-target,0.563847
IFNG,approved,0.485034
FADS2,non-target,0.712526
