gene,group,mis_z_score
A1BG,non-target,-0.295
A1CF,non-target,1.05
A2M,non-target,2.95
A2ML1,non-target,0.995
A3GALT2,non-target,-2.1
A4GALT,non-target,-0.502
A4GNT,non-target,0.835
AAAS,non-target,0.471
AACS,non-target,0.232
AADAC,non-target,0.174
AADACL2,non-target,0.211
AADACL3,non-target,-0.377
AADACL4,non-target,-0.28
AADAT,non-target,2.33
AAGAB,non-target,-1.68
AAK1,non-target,3.14
AAMDC,non-target,0.137
AAMP,non-target,2.52
AANAT,non-target,0.255
AAR2,non-target,1.18
AARD,non-target,-0.757
AARS1,non-target,0.488
AARS2,non-target,1.59
AARSD1,non-target,0.225
AASDH,non-target,0.757
AASDHPPT,non-target,0.0264
AASS,non-target,1.2
AATF,non-target,0.761
LMTK1,non-target,-2.03
ABAT,non-target,0.422
ABCA1,non-target,2.63
ABCA10,non-target,0.856
ABCA12,non-target,2.25
ABCA13,non-target,-0.829
ABCA2,non-target,5.44
ABCA3,non-target,1.22
ABCA4,non-target,0.504
ABCA5,non-target,0.526
ABCA6,non-target,-0.627
ABCA7,non-target,-3.21
ABCA8,non-target,-0.0996
ABCA9,non-target,1.05
ABCB1,in-trial,2.47
ABCB10,non-target,1.78
ABCB11,non-target,1.01
ABCB4,non-target,3.45
ABCB5,non-target,-3.38
ABCB6,non-target,0.616
ABCB7,non-target,3.83
ABCB8,non-target,0.897
ABCB9,non-target,1.47
ABCC1,non-target,1.77
ABCC10,non-target,1.96
ABCC11,non-target,0.433
ABCC12,non-target,0.55
ABCC2,non-target,0.3
ABCC3,non-target,0.915
ABCC4,non-target,2.17
ABCC5,non-target,5.06
ABCC6,non-target,1.89
ABCC8,in-trial,3.02
ABCC9,in-trial,7.62
ABCD1,non-target,2.89
ABCD2,non-target,2.3
ABCD3,non-target,2.77
ABCD4,non-target,0.116
ABCE1,non-target,6.22
ABCF1,non-target,3.56
ABCF2,non-target,3.94
ABCF2-H2BK1,non-target,3.92
ABCF3,non-target,1.15
ABCG1,non-target,2.56
ABCG2,non-target,-0.149
ABCG4,non-target,3.46
ABCG5,non-target,-1.16
ABCG8,non-target,-3.66
ABHD1,non-target,-0.886
ABHD10,non-target,0.61
ABHD11,non-target,0.86
ABHD12,non-target,-0.0338
ABHD12B,non-target,-0.63
ABHD13,non-target,2.14
ABHD14A,non-target,0.772
ABHD14A-ACY1,non-target,1.02
ABHD14B,non-target,0.626
ABHD15,non-target,0.107
ABHD16A,non-target,2.43
ABHD16B,non-target,-0.726
ABHD17A,non-target,3.3
ABHD17B,non-target,2.91
ABHD17C,non-target,3.74
ABHD18,non-target,0.46
ABHD2,non-target,2.65
ABHD3,non-target,0.149
ABHD4,non-target,1.32
ABHD5,non-target,0.505
ABHD6,non-target,0.883
