gene,group,residual
AAAS,non-target,-22.75326261247858
AACS,non-target,45.742711909580144
AAGAB,non-target,-19.229374657316352
AAK1,non-target,1.5752168382219909
AAMDC,non-target,19.68301631328943
AAMP,non-target,-18.328713961385443
AAR2,non-target,-39.05108454689067
AARSD1,non-target,-1.0829107480232285
AASDH,non-target,-32.51972322190695
AASDHPPT,non-target,-25.39698069786833
AASS,non-target,1.3590773296183702
ABAT,non-target,21.88310750574311
ABCA2,non-target,25.172337874221288
ABCA3,non-target,8.275593313306798
ABCA5,non-target,54.59453235281587
ABCA7,non-target,57.444766869982686
ABCB1,in-trial,29.424873989942295
ABCB10,non-target,-32.30298392462287
ABCB6,non-target,39.951965673762025
ABCB7,non-target,-22.495479356461445
ABCB8,non-target,-26.863986362400265
ABCB9,non-target,-5.702633508843317
ABCC1,non-target,2.3088253680328705
ABCC2,non-target,-7.1296350570967055
ABCC4,non-target,20.448720877156855
ABCC5,non-target,-2.747438971705494
ABCD2,non-target,126.25543788007128
ABCD3,non-target,-25.694246433312724
ABCD4,non-target,-2.627271905960495
ABCE1,non-target,24.867832619638065
ABCF2,non-target,2.010750173641656
ABCF3,non-target,-45.515185371459154
ABCG1,non-target,33.36008784424448
ABCG2,non-target,1.001596698642872
ABHD10,non-target,-11.11345666054852
ABHD11,non-target,-19.12291568854848
ABHD12,non-target,-9.021709465998756
ABHD13,non-target,-12.263577535841137
ABHD14A,non-target,5.465234479239501
ABHD14B,non-target,11.64123975333422
ABHD16A,non-target,-9.963500734802338
ABHD17B,non-target,-19.34723688180779
ABHD17C,non-target,-8.02536401335093
ABHD18,non-target,-31.48046424293807
ABHD2,non-target,-19.864709200589292
ABHD3,non-target,1.956699306432597
ABHD4,non-target,37.898336876891086
ABHD5,non-target,-5.130762325081302
ABHD6,non-target,-13.410197160782744
ABHD8,non-target,20.414143564300097
ABI1,non-target,-2.6937580347694356
ABI2,non-target,14.37566030828709
ABI3,non-target,29.34927168364987
ABITRAM,non-target,-24.44879137114758
ABL1,approved,-20.70994543793064
ABL2,non-target,-9.999288988150688
ABR,non-target,15.02650185642952
ABRACL,non-target,21.38052461172241
ABRAXAS1,non-target,-9.844626312148094
ABRAXAS2,non-target,-40.88976117973849
ABTB1,non-target,23.186580202379503
ABTB2,non-target,35.249733140021796
ACAA1,non-target,-7.703485657482697
ACAA2,non-target,-3.420954554784236
ACACA,non-target,1.9474337429805573
ACACB,non-target,-6.092769613304831
ACAD10,non-target,-14.373072163765933
ACAD11,non-target,0.6731194442065677
ACAD8,non-target,-24.20089515816279
ACAD9,non-target,-30.17027659009425
ACADM,non-target,-3.0121316183248723
ACADS,non-target,-16.773671645413792
ACADSB,non-target,-20.54613075803542
ACADVL,non-target,25.74306038281742
ACAP1,non-target,57.14621893931557
ACAP2,non-target,-4.956486433550633
ACAP3,non-target,-7.311170219087205
ACAT1,non-target,-0.5464424364104019
ACAT2,non-target,70.43686791607765
ACBD3,non-target,-32.44217755497546
ACBD4,non-target,-6.763706440106546
ACBD5,non-target,-9.260030398208672
ACBD6,non-target,-4.054673515446154
ACBD7,non-target,-10.554985473364049
ACCS,non-target,0.9868780608023624
ACD,non-target,-4.501437022281114
ACE,in-trial,2.3309109659226315
ACER3,non-target,-2.7319851117383016
ACIN1,non-target,-48.62159529729521
ACKR3,non-target,0.1675944818219387
ACLY,non-target,-29.092240025199676
ACO1,non-target,-4.035423301525651
ACO2,non-target,-40.56344480373525
ACOT13,non-target,0.6827436304961102
ACOT4,non-target,5.8291020972896055
ACOT7,non-target,30.548965076219737
ACOT8,non-target,-21.857968313354984
ACOT9,non-target,-39.01763816248114
ACOX1,non-target,-13.648115073005448
ACOX3,non-target,-11.826971196915103
ACP1,non-target,-18.370949282825876
ACP2,non-target,15.662181433532355
ACP5,non-target,58.22921387975962
ACP6,non-target,3.865050933317105
ACSF2,non-target,-0.3198683955492178
ACSF3,non-target,5.927603870014664
ACSL1,non-target,4.235707039952328
ACSL3,non-target,-0.1210675573187375
ACSL4,non-target,-4.185575298142591
ACSL5,non-target,-7.36686937561402
ACSL6,non-target,39.85682754263778
ACSM3,non-target,-6.446337028613393
ACSS1,non-target,3.939522305932852
ACSS2,non-target,33.24722890105489
ACTA2,non-target,45.21998410752616
ACTG1,non-target,50.1891448898782
ACTL6A,non-target,31.760300568257176
ACTN1,non-target,67.22417770362904
ACTN4,non-target,-16.36698478295732
ACTR10,non-target,-17.99983542079272
ACTR1A,non-target,-12.008054707144026
ACTR1B,non-target,13.00396765635962
ACTR2,non-target,-33.545089955584395
ACTR3,non-target,-9.795498912529268
ACTR3B,non-target,-19.590316774410752
ACTR5,non-target,-20.731853692996193
ACTR6,non-target,-27.24412665195543
ACTR8,non-target,-38.96150593116053
ACVR1,approved,30.13991082215863
ACVR1B,non-target,26.60791572186022
ACVR1C,non-target,18.766166058107512
ACVR2A,non-target,34.93649633343151
ACVR2B,in-trial,3.5040252860840844
ACY1,non-target,5.319385944721854
ACYP1,non-target,-5.001855650110983
ACYP2,non-target,32.05266502606826
ADA,approved,23.063883910086304
ADA2,non-target,120.05474286766167
MAPDA,non-target,-2.1855702904920027
ADAM10,non-target,-29.219227072981926
ADAM15,non-target,5.37929998518383
ADAM17,in-trial,-21.031567964413156
ADAM19,non-target,-20.95859659769781
ADAM22,non-target,19.571041077756657
ADAM8,non-target,112.00043828327462
ADAM9,non-target,7.10036277872545
ADAMTS1,non-target,4.177861528325124
ADAMTS10,non-target,12.541437014555184
ADAMTS17,non-target,1.567713622527381
ADAMTS6,non-target,-3.645578892334119
ADAMTSL5,non-target,-8.835450813416406
ADAP1,non-target,15.64192790808861
ADAR,non-target,-43.957377696708704
ADARB1,non-target,9.824923307240432
ADAT1,non-target,-13.935043786083666
ADAT2,non-target,26.860304696846335
ADCK2,non-target,-3.2970359673060536
ADCK5,non-target,-16.197834887206863
ADCY1,non-target,20.248998806689514
ADCY3,non-target,36.33814068567947
ADCY4,non-target,-6.257251006057605
ADCY7,non-target,-6.902213037948033
ADCY9,non-target,4.367737112738951
ADD1,non-target,9.2336925740671
ADD2,non-target,16.830912497638895
ADD3,non-target,21.492554684972067
ADGRA3,non-target,25.32971612885937
ADGRE1,non-target,-12.721992193617416
ADGRE5,non-target,63.171558498454914
ADGRG1,non-target,66.53439397369199
ADGRG5,non-target,18.95526399288908
ADGRL1,non-target,15.68314066433664
ADH5,non-target,-39.386663020696496
ADHFE1,non-target,0.849978144659976
ADI1,non-target,44.19640734887616
ADIPOR1,non-target,-40.852730410741216
ADIPOR2,non-target,-6.742031094688225
ADK,non-target,8.35743189105157
ADM5,non-target,-13.017748710268483
ADNP,non-target,-36.012793458430444
ADNP2,non-target,-28.206278873952908
ADO,non-target,14.20480240495077
ADORA2A,in-trial,41.47864734486938
ADPGK,non-target,-44.18270955915972
ADPRH,non-target,21.232133155136115
ADPRM,non-target,-17.587231041718777
ADPRS,non-target,-24.949363572817205
ADRB2,approved,30.40032057479554
ADRM1,approved,-10.235888167007738
ADSL,non-target,-4.037981918768996
ADSS2,non-target,-22.630385373073324
ADTRP,non-target,11.02459689905718
AEBP1,non-target,16.43655239135675
AEBP2,non-target,-0.7900411184959305
AEN,non-target,53.40249836087461
AFAP1,non-target,20.38499091185467
AFAP1L2,non-target,15.137393027923467
AFDN,non-target,-14.421127599485828
AFF1,non-target,3.288972033270738
AFF2,non-target,-4.693979939525361
AFF4,non-target,18.03800776141826
AFG3L2,non-target,-2.791797091025567
AFTPH,non-target,-14.273450003938416
AGA,non-target,6.105034620480647
AGAP1,non-target,14.15616180086684
AGAP2,non-target,3.9687410264408953
AGAP3,non-target,-2.719444064022967
AGBL2,non-target,1.8514586200426812
AGBL5,non-target,-6.248613735910458
AGER,non-target,-7.44968523270435
AGFG1,non-target,-22.22444325696532
AGFG2,non-target,1.383236440394801
AGGF1,non-target,-46.05465687464247
AGK,non-target,42.63090098715886
AGL,non-target,-13.589595631199652
