gene,subset,neglog10_adjp,group
A3GALT2,Th1,5.540375732814527e-05,non-target
A4GALT,Th1,5.540375732814527e-05,non-target
AAAS,Th1,5.540375732814527e-05,non-target
AACS,Th1,5.540375732814527e-05,non-target
AAK1,Th1,5.540375732814527e-05,non-target
AAMDC,Th1,5.540375732814527e-05,non-target
AAMP,Th1,5.540375732814527e-05,non-target
AARD,Th1,1.1114487954729213,non-target
AARS1,Th1,5.540375732814527e-05,non-target
AARS2,Th1,5.540375732814527e-05,non-target
AARSD1,Th1,5.540375732814527e-05,non-target
AASDHPPT,Th1,5.540375732814527e-05,non-target
AASS,Th1,5.540375732814527e-05,non-target
LMTK1,Th1,5.540375732814527e-05,non-target
ABAT,Th1,5.540375732814527e-05,non-target
ABCA1,Th1,5.540375732814527e-05,non-target
ABCA10,Th1,5.540375732814527e-05,non-target
ABCA2,Th1,5.540375732814527e-05,non-target
ABCA3,Th1,5.540375732814527e-05,non-target
ABCA5,Th1,5.540375732814527e-05,non-target
ABCA6,Th1,5.540375732814527e-05,non-target
ABCA7,Th1,5.540375732814527e-05,non-target
ABCA9,Th1,5.540375732814527e-05,non-target
ABCB1,Th1,5.540375732814527e-05,in-trial
ABCB10,Th1,5.540375732814527e-05,non-target
ABCB6,Th1,5.540375732814527e-05,non-target
ABCB8,Th1,5.540375732814527e-05,non-target
ABCC1,Th1,5.540375732814527e-05,non-target
ABCC4,Th1,5.540375732814527e-05,non-target
ABCC5,Th1,5.540375732814527e-05,non-target
ABCC9,Th1,5.540375732814527e-05,in-trial
ABCD1,Th1,5.540375732814527e-05,non-target
ABCD2,Th1,5.540375732814527e-05,non-target
ABCD3,Th1,5.540375732814527e-05,non-target
ABCE1,Th1,5.540375732814527e-05,non-target
ABCF1,Th1,5.540375732814527e-05,non-target
ABCF2,Th1,5.540375732814527e-05,non-target
ABCG1,Th1,5.540375732814527e-05,non-target
ABCG2,Th1,0.2281802106056505,non-target
ABHD10,Th1,5.540375732814527e-05,non-target
ABHD11,Th1,5.540375732814527e-05,non-target
ABHD13,Th1,5.540375732814527e-05,non-target
ABHD14B,Th1,5.540375732814527e-05,non-target
ABHD15,Th1,5.540375732814527e-05,non-target
ABHD16A,Th1,5.540375732814527e-05,non-target
ABHD17B,Th1,5.540375732814527e-05,non-target
ABHD17C,Th1,5.540375732814527e-05,non-target
ABHD2,Th1,5.540375732814527e-05,non-target
ABHD3,Th1,5.540375732814527e-05,non-target
ABHD4,Th1,5.540375732814527e-05,non-target
ABHD5,Th1,5.540375732814527e-05,non-target
ABHD6,Th1,5.540375732814527e-05,non-target
ABHD8,Th1,5.540375732814527e-05,non-target
ABI1,Th1,5.540375732814527e-05,non-target
ABI2,Th1,5.540375732814527e-05,non-target
ABI3,Th1,5.540375732814527e-05,non-target
ABL1,Th1,5.540375732814527e-05,approved
ABL2,Th1,5.540375732814527e-05,non-target
ABLIM1,Th1,5.540375732814527e-05,non-target
ABLIM2,Th1,5.540375732814527e-05,non-target
ABLIM3,Th1,5.540375732814527e-05,non-target
ABO,Th1,5.540375732814527e-05,non-target
ABR,Th1,5.540375732814527e-05,non-target
ABRAXAS1,Th1,5.540375732814527e-05,non-target
ABTB1,Th1,5.540375732814527e-05,non-target
ABTB2,Th1,0.3437789121717214,non-target
ACAA1,Th1,5.540375732814527e-05,non-target
ACAA2,Th1,5.540375732814527e-05,non-target
ACACA,Th1,5.540375732814527e-05,non-target
ACACB,Th1,0.8182935555474622,non-target
ACAD11,Th1,5.540375732814527e-05,non-target
ACAD9,Th1,5.540375732814527e-05,non-target
ACADM,Th1,5.540375732814527e-05,non-target
ACADVL,Th1,5.540375732814527e-05,non-target
ACAP1,Th1,5.540375732814527e-05,non-target
ACAP2,Th1,5.540375732814527e-05,non-target
ACAP3,Th1,5.540375732814527e-05,non-target
ACAT1,Th1,5.540375732814527e-05,non-target
ACAT2,Th1,5.540375732814527e-05,non-target
ACBD6,Th1,5.540375732814527e-05,non-target
ACBD7,Th1,0.3939281648908738,non-target
ACCS,Th1,5.540375732814527e-05,non-target
ACD,Th1,5.540375732814527e-05,non-target
ACE,Th1,5.540375732814527e-05,in-trial
ACER1,Th1,5.540375732814527e-05,non-target
ACER3,Th1,5.540375732814527e-05,non-target
ACHE,Th1,5.540375732814527e-05,approved
ACKR2,Th1,5.540375732814527e-05,non-target
ACKR3,Th1,5.540375732814527e-05,non-target
ACKR4,Th1,0.1974229670553203,non-target
ACLY,Th1,5.540375732814527e-05,non-target
ACO1,Th1,5.540375732814527e-05,non-target
ACOT11,Th1,5.540375732814527e-05,non-target
ACOT12,Th1,0.2681278688957955,non-target
ACOT13,Th1,5.540375732814527e-05,non-target
ACOT7,Th1,5.540375732814527e-05,non-target
ACOT8,Th1,5.540375732814527e-05,non-target
ACOT9,Th1,5.540375732814527e-05,non-target
ACOX1,Th1,5.540375732814527e-05,non-target
ACOXL,Th1,0.3123584143282664,non-target
ACP1,Th1,5.540375732814527e-05,non-target
ACP2,Th1,5.540375732814527e-05,non-target
ACP5,Th1,5.540375732814527e-05,non-target
ACSBG1,Th1,5.540375732814527e-05,non-target
ACSBG2,Th1,5.540375732814527e-05,non-target
ACSF2,Th1,5.540375732814527e-05,non-target
ACSL1,Th1,5.540375732814527e-05,non-target
ACSL3,Th1,5.540375732814527e-05,non-target
ACSL4,Th1,5.540375732814527e-05,non-target
ACSL6,Th1,5.540375732814527e-05,non-target
ACSM3,Th1,5.540375732814527e-05,non-target
ACSS1,Th1,5.540375732814527e-05,non-target
ACSS2,Th1,5.540375732814527e-05,non-target
ACTA2,Th1,5.540375732814527e-05,non-target
ACTL6A,Th1,5.540375732814527e-05,non-target
ACTL8,Th1,5.540375732814527e-05,non-target
ACTN1,Th1,0.550979504336973,non-target
ACTN3,Th1,5.540375732814527e-05,non-target
ACTN4,Th1,5.540375732814527e-05,non-target
ACTR10,Th1,5.540375732814527e-05,non-target
ACTR1B,Th1,5.540375732814527e-05,non-target
ACTR3,Th1,5.540375732814527e-05,non-target
ACTR3B,Th1,5.540375732814527e-05,non-target
ACTRT3,Th1,5.540375732814527e-05,non-target
ACVR1,Th1,5.540375732814527e-05,approved
ACVR1B,Th1,5.540375732814527e-05,non-target
ACVR2A,Th1,5.540375732814527e-05,non-target
ACVR2B,Th1,5.540375732814527e-05,in-trial
ACY1,Th1,5.540375732814527e-05,non-target
ACY3,Th1,5.540375732814527e-05,non-target
ACYP2,Th1,5.540375732814527e-05,non-target
ADA,Th1,0.6343703562317411,approved
ADA2,Th1,5.540375732814527e-05,non-target
ADAM10,Th1,5.540375732814527e-05,non-target
ADAM19,Th1,5.540375732814527e-05,non-target
ADAM20,Th1,5.540375732814527e-05,non-target
ADAM22,Th1,5.540375732814527e-05,non-target
ADAM23,Th1,5.540375732814527e-05,non-target
ADAM8,Th1,5.540375732814527e-05,non-target
ADAM9,Th1,5.540375732814527e-05,non-target
ADAMTS1,Th1,0.3667168736350944,non-target
ADAMTS10,Th1,5.540375732814527e-05,non-target
ADAMTS14,Th1,5.540375732814527e-05,non-target
ADAMTS17,Th1,5.540375732814527e-05,non-target
ADAMTS4,Th1,5.540375732814527e-05,non-target
ADAMTS6,Th1,5.540375732814527e-05,non-target
ADAMTS7,Th1,5.540375732814527e-05,non-target
ADAMTSL5,Th1,5.540375732814527e-05,non-target
ADAP1,Th1,5.540375732814527e-05,non-target
ADAP2,Th1,5.540375732814527e-05,non-target
ADARB1,Th1,5.540375732814527e-05,non-target
ADARB2,Th1,5.540375732814527e-05,non-target
ADAT2,Th1,5.540375732814527e-05,non-target
ADCY1,Th1,5.540375732814527e-05,non-target
ADCY3,Th1,5.540375732814527e-05,non-target
ADCY4,Th1,5.540375732814527e-05,non-target
ADCY6,Th1,5.540375732814527e-05,non-target
ADCY7,Th1,5.540375732814527e-05,non-target
ADCY9,Th1,0.0277488538803565,non-target
ADD1,Th1,5.540375732814527e-05,non-target
ADD2,Th1,5.540375732814527e-05,non-target
ADD3,Th1,5.540375732814527e-05,non-target
ADGB,Th1,5.540375732814527e-05,non-target
ADGRA2,Th1,5.540375732814527e-05,non-target
ADGRA3,Th1,5.540375732814527e-05,non-target
ADGRB1,Th1,5.540375732814527e-05,non-target
ADGRB3,Th1,0.1739789447480892,non-target
ADGRD1,Th1,5.540375732814527e-05,non-target
ADGRE1,Th1,5.540375732814527e-05,non-target
ADGRE2,Th1,5.540375732814527e-05,non-target
ADGRE5,Th1,5.540375732814527e-05,non-target
ADGRG1,Th1,5.540375732814527e-05,non-target
ADGRG2,Th1,5.540375732814527e-05,non-target
ADGRG5,Th1,5.540375732814527e-05,non-target
ADGRG6,Th1,5.540375732814527e-05,non-target
ADGRL1,Th1,5.540375732814527e-05,non-target
ADGRV1,Th1,1.3031638025378232,non-target
ADHFE1,Th1,5.540375732814527e-05,non-target
ADI1,Th1,5.540375732814527e-05,non-target
ADIPOR2,Th1,5.540375732814527e-05,non-target
ADK,Th1,5.540375732814527e-05,non-target
ADM,Th1,5.540375732814527e-05,non-target
ADM2,Th1,5.540375732814527e-05,non-target
ADM5,Th1,5.540375732814527e-05,non-target
ADO,Th1,5.540375732814527e-05,non-target
ADORA2A,Th1,5.540375732814527e-05,in-trial
ADORA2B,Th1,0.1166705645360813,in-trial
ADPGK,Th1,5.540375732814527e-05,non-target
ADPRH,Th1,5.540375732814527e-05,non-target
ADPRM,Th1,5.540375732814527e-05,non-target
ADPRS,Th1,5.540375732814527e-05,non-target
ADRA1B,Th1,5.540375732814527e-05,approved
ADRB2,Th1,0.1409080702452193,approved
ADSL,Th1,5.540375732814527e-05,non-target
ADSS1,Th1,5.540375732814527e-05,non-target
ADSS2,Th1,5.540375732814527e-05,non-target
ADTRP,Th1,5.540375732814527e-05,non-target
AEBP1,Th1,5.540375732814527e-05,non-target
AEBP2,Th1,0.0277488538803565,non-target
AFAP1,Th1,5.540375732814527e-05,non-target
AFAP1L2,Th1,5.540375732814527e-05,non-target
AFDN,Th1,5.540375732814527e-05,non-target
AFF1,Th1,5.540375732814527e-05,non-target
AFF2,Th1,5.540375732814527e-05,non-target
AFF3,Th1,5.540375732814527e-05,non-target
AFF4,Th1,5.540375732814527e-05,non-target
AFG3L2,Th1,5.540375732814527e-05,non-target
AGA,Th1,5.540375732814527e-05,non-target
AGAP2,Th1,5.540375732814527e-05,non-target
AGAP3,Th1,5.540375732814527e-05,non-target
AGBL4,Th1,5.540375732814527e-05,non-target
AGBL5,Th1,5.540375732814527e-05,non-target
AGER,Th1,5.540375732814527e-05,non-target
AGFG1,Th1,5.540375732814527e-05,non-target
AGFG2,Th1,5.540375732814527e-05,non-target
AGK,Th1,5.540375732814527e-05,non-target
AGMAT,Th1,5.540375732814527e-05,non-target
AGO2,Th1,5.540375732814527e-05,non-target
AGO3,Th1,5.540375732814527e-05,non-target
AGO4,Th1,5.540375732814527e-05,non-target
AGPAT1,Th1,5.540375732814527e-05,non-target
AGPAT2,Th1,5.540375732814527e-05,non-target
AGPAT3,Th1,5.540375732814527e-05,non-target
AGPAT4,Th1,5.540375732814527e-05,non-target
AGPAT5,Th1,5.540375732814527e-05,non-target
AGPS,Th1,5.540375732814527e-05,non-target
AGRN,Th1,5.540375732814527e-05,non-target
