subset,group,n_tested,n_hit,pct_hit,OR,OR_lo,OR_hi,p,p_holm
Th1,all tested genes,9181,162,1.764513669534909,,,,,
Th1,approved,229,12,5.240174672489083,3.4229203807729824,1.8686975868513906,6.269812737786133,0.0004721126264608182,0.0018884505058432727
Th1,in-trial,335,13,3.8805970149253732,2.498979915673029,1.3997395515406248,4.461473287701073,0.0040427380021253205,0.016170952008501282
Th1,non-target,8617,137,1.5898804688406638,1.0,,,,
Th2,all tested genes,9753,2084,21.367784271506203,,,,,
Th2,approved,240,57,23.75,1.1633574313545803,0.8605340803905506,1.572744815026606,0.33679204035299126,0.33679204035299126
Th2,in-trial,365,95,26.027397260273972,1.3141630243079518,1.0346490819688505,1.669188601773888,0.026700261595626537,0.08010078478687961
Th2,non-target,9148,1932,21.119370354175775,1.0,,,,
Th17,all tested genes,9949,4788,48.12543974268771,,,,,
Th17,approved,234,127,54.27350427350427,1.2887573446863108,0.9933236336877814,1.6720587703291858,0.06345308998101526,0.12690617996203052
Th17,in-trial,356,174,48.87640449438202,1.0380758087466355,0.8399916088448239,1.2828716065234556,0.7459047467327831,0.9808101086699996
Th17,non-target,9359,4487,47.94315632011967,1.0,,,,
Treg,all tested genes,9944,5519,55.50080450522928,,,,,
Treg,approved,245,153,62.44897959183673,1.3467650756418803,1.0365739569597783,1.7497797979493892,0.02676483264654584,0.08029449793963753
Treg,in-trial,373,213,57.10455764075067,1.0780722394721522,0.8746782944120847,1.3287625415487203,0.4904050543349998,0.9808101086699996
Treg,non-target,9326,5153,55.25412824361999,1.0,,,,
