gene,pu_score
TNFSF11,0.9724812731146812
LACC1,0.9722299627241144
IL7R,0.9707675176828646
NFKB1,0.9694349662381776
JAK1,0.9690162533521652
NFKBIA,0.9684479615905068
IL10,0.9678554596360197
TGFBR1,0.9678343400359154
DKC1,0.9649933468492538
CFH,0.9644946203548082
CTLA4,0.9644048082828521
TNFAIP3,0.9633468512934867
STAT4,0.9632629649288158
IL23R,0.9601180565725896
CXCR2,0.9601086142659188
LYST,0.959731717498935
IL12B,0.9596945238113403
NOD2,0.9578562375842309
NCF2,0.9576551110173265
SEC61A1,0.9571721338734185
CD40,0.9558011469244957
FASLG,0.9544819635574264
CARD11,0.9532326276254173
TERT,0.9525590905547142
IL6R,0.9522195520997048
SMAD3,0.9517293942280305
ELOVL6,0.9515955844521522
TNFRSF1A,0.9509484460859587
RORC,0.9491762409404833
CXCR4,0.9484078529477119
IFIH1,0.948313653773191
PLXNC1,0.9483117298646406
CSF3R,0.9469742080569268
NCF1,0.9468011266114761
FGFR1,0.9466627329587937
FLNB,0.9466288810481831
RASGRP1,0.9465067067531624
PIK3R1,0.946490949690342
IFNGR2,0.9458074924349785
ACTA2,0.9456482568973212
LYN,0.9455989181995392
IRF1,0.9455570557068304
FOXP3,0.9450632430575221
KMT2D,0.9446129196760605
MTHFD1,0.9442327934868482
GFI1,0.9431091474397534
RUVBL1,0.94211894094944
RASGRF2,0.9420068814669769
IL21,0.941229359805584
SH2B3,0.9409162893891334
C3,0.9392946267127991
PRKCB,0.9384367609024048
FYN,0.9376232543587685
WDR1,0.9375961332151732
TRAF3IP2,0.9373312190175056
IRF5,0.9369783323220532
NFATC2,0.9365899075161327
IL1R1,0.936560517847538
SATB1,0.9363553826673043
HELLS,0.9362902209466818
TBX21,0.9360839691427019
DNASE1L3,0.936037892344022
TLR3,0.9357256674766541
RAD51,0.935657518892432
KIF21B,0.9354378710756648
JARID2,0.9347494074276516
ACTN1,0.9340397540082787
CUL1,0.9324402173962256
PDCD1,0.9323802280426026
POLR3A,0.9318463127223813
PDE8B,0.9315894651412964
PRKCQ,0.931421260535717
TLR7,0.9312655174732208
CBLB,0.9306503567598798
COL1A2,0.9293308787199915
CASR,0.9290476399450446
IFNG,0.9289248979091644
FADS2,0.928701699382127
IKBKE,0.9278685572196026
CD28,0.9271002671122551
IKZF2,0.9270348750581645
RXRA,0.9269415616989136
CTPS1,0.9268346618383358
DOCK11,0.9264458629888358
IL21R,0.9262372300941117
TLR4,0.9255883481699166
TET2,0.9255862491901474
HSPA5,0.9251928663983637
TUBA4A,0.9248330122232438
CD79B,0.9247883135080337
MAT2A,0.9242904588655771
HECW2,0.9241536192748011
PLCG1,0.9239591033030778
POLA1,0.9238618686795235
HERC3,0.9230052688182928
AKT3,0.9229510495066643
STING1,0.9228397183346025
IFNGR1,0.9223699623346329
SAMD9L,0.9221142162030666
NCF4,0.921802014566315
IRAK1,0.9216274374723434
GAD1,0.9215660083112378
KIF2A,0.9208911992796701
ATP6AP1,0.9207249554444332
GFPT1,0.9204799972399317
NOS2,0.9197948029637337
BACH2,0.9194842460751533
TRAF3,0.9194307547349196
PTPRK,0.9192731646716897
TNFRSF13B,0.9191870630408326
G6PD,0.9191096001470149
DOCK2,0.9188830807353511
NTRK2,0.9188503712415695
POLD2,0.9187877967953682
C4B,0.9185295526797955
PSMD1,0.9183645230531693
LINGO1,0.9182380825281143
RELB,0.9181599451435937
TNFRSF11A,0.9177821363289345
HCN1,0.9167856048315
COL3A1,0.9164209991843257
GNAQ,0.9161771980639036
IL10RA,0.9156660012709789
CSE1L,0.9156056609250567
NFATC1,0.9155475658421613
ASAP1,0.9154817254115374
RBM17,0.9153926125680557
HECTD2,0.9150429623897629
PTPRC,0.9150348308697418
KIF3A,0.9143333787267859
MAPK8,0.9142440658807754
ITGB1,0.9136986982822418
CLCN4,0.9135657792188683
PLCG2,0.9133800382565971
PDE4B,0.9126435551047325
FAS,0.9125321900784061
STAT1,0.9122967835591764
PSMD14,0.9121718534827232
SMAD2,0.9121579407441496
PSMD11,0.912119799554348
EIF4A1,0.9116673198613253
HRH2,0.9116463828086853
KIF1B,0.9116272245582782
JAK3,0.9115669694542885
STN1,0.9102675917805457
CAMK1D,0.9102259143804893
ITPR1,0.9101390813916458
EZH2,0.9100798642635346
IL2RA,0.9094203326106072
CCR2,0.9093404480814934
PPP3CA,0.9087500271201133
C4A,0.9087088461389247
OLFM1,0.9086504087905691
INPP4A,0.9084474561202466
MVK,0.9080195311380892
PDGFRA,0.9079745244979859
XPO1,0.9078037306666374
ANK3,0.906985380131789
GNAO1,0.9065000163722159
CAPZB,0.9061921504827646
KMT2A,0.906023351252079
TOP1,0.9057724672555924
CPNE4,0.9056050163142535
NLRP1,0.9053336400442172
RASGRF1,0.9051553694729878
HIRA,0.9043520169774282
SSRP1,0.9042504807722938
CD55,0.9041971981827983
LRRC7,0.9041012110783881
UBE2T,0.9036803047860688
TUBG1,0.9031729533122136
PRKCE,0.9030699363350868
NLRP3,0.9029467166104215
PDE4A,0.9026919797062873
HNRNPA3,0.9026312415416424
KPNB1,0.9022713285503965
PLCL2,0.9019236055889515
ACTL6A,0.9018847826199654
TYK2,0.9018698519468308
FCGBP,0.9014673060572087
ERN1,0.9013334727529342
SETBP1,0.9006195670457056
CACNA1D,0.9003160512447357
HYOU1,0.9003037105907093
CIITA,0.9001800405919252
PRIM1,0.9001657718420029
CPEB4,0.9000817455616094
SF3B3,0.9000673014290479
ATM,0.9000510905918322
FCGR2A,0.8999516770319285
ARHGEF1,0.8999511513067651
CASP10,0.89988106995821
TUBA1B,0.8993267238140106
ZNFX1,0.89927258800129
ETS1,0.8992207781555727
RHBDF2,0.8991152372115697
POU2AF1,0.899097484197372
IL6ST,0.8990132516622543
IL2RB,0.8988202932476997
PDE2A,0.8988116148114205
NLRC4,0.8987436872448413
PTPN11,0.8987145523230234
CAD,0.8985470341784614
RPSA,0.8983591076731682
ETF1,0.8982045313324591
IL12RB1,0.8978180194995842
PPP2R2B,0.8976324784635293
HMGCS1,0.8972846587297275
SRSF1,0.8971727216484571
ZBTB38,0.8969193279128713
NUDT21,0.8967990926419845
ADCY1,0.8965890280281504
SOCS1,0.8963645099065243
ADA2,0.8962915653420478
STAT2,0.896257182986466
HDAC7,0.8962260794639587
CSF2RB,0.895885378420353
CTNNA1,0.8949612394202179
CFB,0.8948488584160805
SOS1,0.8948361846116873
SLC7A1,0.8947800136342341
EPHB2,0.8947295075654984
CDCA7,0.894361997206594
PSMC3,0.8943604210019112
KCNJ2,0.894315065169821
EBF1,0.8941245687251188
KIT,0.8933271163702011
RORA,0.8927167178435647
STT3A,0.8922973541113046
ICOSLG,0.8922179198265076
NFKBIE,0.8921834257653523
ZEB2,0.89204959997109
PROX1,0.8916561723369913
TUBB3,0.8916551539301872
POLD1,0.8915968775749207
IKZF3,0.8914183257806181
PTGER4,0.8913866969943046
ZNF704,0.8912391318488366
RAPGEF2,0.8911773923671606
PTPRF,0.8910155019374809
MED12L,0.8908500640662675
PHF19,0.8907645530238444
MYO5A,0.8906520296474398
MAP3K14,0.8905781093908816
IRF8,0.8904330614878206
STAT3,0.8901694881916046
GOLGA8O,0.8900697114479602
RANBP2,0.8899099430441857
IKZF1,0.8897328078746796
CHERP,0.8897107049822808
CORO1A,0.8894724584355647
SCN2A,0.8894576606154442
ADARB1,0.8893181115997081
CACNA1B,0.8892000249028206
KIF11,0.8891327431797982
ITGB2,0.8891077956557274
GTF2I,0.8888597775728274
PRDM11,0.8885795540955602
EEF1A2,0.8883152952790261
SAMHD1,0.8881858118294459
SOX5,0.887936081290245
SLC4A8,0.8879187957284415
PIK3CG,0.8878410395979881
BTK,0.8878059560060501
SNRK,0.8877146045366923
TFRC,0.8876342873792259
IFNAR2,0.8875495436787605
CDC42,0.8872286142135153
TUBB2A,0.8872195512056351
EED,0.8870973000112845
CACNA1I,0.8867630898952484
STK4,0.8867171760072413
EFTUD2,0.886623216096801
FADS1,0.8865065841945177
TNIK,0.8864979254893768
DDB1,0.8864535123109818
CAMSAP2,0.886301804257899
SPIN1,0.8860859363507002
