gene	gene_id	chromosome	lof.oe_ci.upper	mis.z_score	IEI	gwas_score	gene_burden_score									
A1BG	ENSG00000121410	chr19	1.23E+00	-2.95E-01	0	0	0									
A1CF	ENSG00000148584	chr10	8.87E-01	1.05E+00	0	0.030836	0									
A2M	ENSG00000175899	chr12	8.06E-01	2.95E+00	0	0	0									
A2ML1	ENSG00000166535	chr12	1.01E+00	9.95E-01	0	0.051479	0									
A3GALT2	ENSG00000184389	chr1	1.32E+00	-2.10E+00	0	0	0									
A4GALT	ENSG00000128274	chr22	NA	-5.02E-01	0	0.414555	0									
A4GNT	ENSG00000118017	chr3	1.42E+00	8.35E-01	0	0	0									
AAAS	ENSG00000094914	chr12	9.84E-01	4.71E-01	0	0	0									
AACS	ENSG00000081760	chr12	1.01E+00	2.32E-01	0	0.395238	0									
AADAC	ENSG00000114771	chr3	1.12E+00	1.74E-01	0	0.522032	0									
AADACL2	ENSG00000197953	chr3	1.46E+00	2.11E-01	0	0	0									
AADACL3	ENSG00000188984	chr1	1.52E+00	-3.77E-01	0	0	0									
AADACL4	ENSG00000204518	chr1	1.12E+00	-2.80E-01	0	0.076671	0									
AADAT	ENSG00000109576	chr4	6.21E-01	2.33E+00	0	0	0									
AAGAB	ENSG00000103591	chr15	1.13E+00	-1.68E+00	0	0.442544	0									
AAK1	ENSG00000115977	chr2	4.19E-01	3.14E+00	0	0.42102	0									
AAMDC	ENSG00000087884	chr11	1.57E+00	1.37E-01	0	0.393114	0									
AAMP	ENSG00000127837	chr2	3.81E-01	2.52E+00	0	0.360543	0									
AANAT	ENSG00000129673	chr17	1.17E+00	2.55E-01	0	0	0									
AAR2	ENSG00000131043	chr20	1.55E+00	1.18E+00	0	0	0									
AARD	ENSG00000205002	chr8	1.69E+00	-7.57E-01	0	0	0									
AARS1	ENSG00000090861	chr16	8.04E-01	4.88E-01	0	0	0									
AARS2	ENSG00000124608	chr6	7.87E-01	1.59E+00	0	0.665195	0									
AARSD1	ENSG00000266967	chr17	1.16E+00	2.25E-01	0	0	0									
AASDH	ENSG00000157426	chr4	9.52E-01	7.57E-01	0	0	0									
AASDHPPT	ENSG00000149313	chr11	8.95E-01	2.64E-02	0	0.098277	0									
AASS	ENSG00000008311	chr7	9.76E-01	1.20E+00	0	0	0									
AATF	ENSG00000275700	chr17	9.58E-01	7.61E-01	0	0.158617	0									
LMTK1	ENSG00000181409	chr17	9.48E-01	-2.03E+00	0	0	0									
ABAT	ENSG00000183044	chr16	8.93E-01	4.22E-01	0	0	0									
ABCA1	ENSG00000165029	chr9	5.85E-01	2.63E+00	0	0	0									
ABCA10	ENSG00000154263	chr17	1.02E+00	8.56E-01	0	0	0									
ABCA12	ENSG00000144452	chr2	6.07E-01	2.25E+00	0	0.048713	0									
ABCA13	ENSG00000179869	chr7	1.07E+00	-8.29E-01	0	0.399625	0									
ABCA2	ENSG00000107331	chr9	3.83E-01	5.44E+00	0	0.472177	0									
ABCA3	ENSG00000167972	chr16	6.08E-01	1.22E+00	0	0	0									
ABCA4	ENSG00000198691	chr1	8.37E-01	5.04E-01	0	0.39652	0									
ABCA5	ENSG00000154265	chr17	9.01E-01	5.26E-01	0	0.058697	0									
ABCA6	ENSG00000154262	chr17	9.77E-01	-6.27E-01	0	0.058695	0									
ABCA7	ENSG00000064687	chr19	1.27E+00	-3.21E+00	0	0	0									
ABCA8	ENSG00000141338	chr17	1.04E+00	-9.96E-02	0	0	0									
ABCA9	ENSG00000154258	chr17	1.01E+00	1.05E+00	0	0	0									
ABCB1	ENSG00000085563	chr7	5.94E-01	2.47E+00	0	0.336469	0									
ABCB10	ENSG00000135776	chr1	1.04E+00	1.78E+00	0	0.058634	0									
ABCB11	ENSG00000073734	chr2	7.61E-01	1.01E+00	0	0	0									
ABCB4	ENSG00000005471	chr7	6.31E-01	3.45E+00	0	0.08845	0									
ABCB5	ENSG00000004846	chr7	1.23E+00	-3.38E+00	0	0.658461	0									
ABCB6	ENSG00000115657	chr2	1.05E+00	6.16E-01	0	0	0									
ABCB7	ENSG00000131269	chrX	2.42E-01	3.83E+00	0	0.031107	0									
ABCB8	ENSG00000197150	chr7	8.98E-01	8.97E-01	0	0	0									
ABCB9	ENSG00000150967	chr12	7.67E-01	1.47E+00	0	0	0									
ABCC1	ENSG00000103222	chr16	5.76E-01	1.77E+00	0	0	0									
ABCC10	ENSG00000124574	chr6	9.00E-01	1.96E+00	0	0	0									
ABCC11	ENSG00000121270	chr16	1.04E+00	4.33E-01	0	0.047046	0									
ABCC12	ENSG00000140798	chr16	1.08E+00	5.50E-01	0	0.343918	0									
ABCC2	ENSG00000023839	chr10	1.03E+00	3.00E-01	0	0	0									
ABCC3	ENSG00000108846	chr17	8.51E-01	9.15E-01	0	0	0									
ABCC4	ENSG00000125257	chr13	7.14E-01	2.17E+00	0	0.066662	0									
ABCC5	ENSG00000114770	chr3	4.69E-01	5.06E+00	0	0	0									
ABCC6	ENSG00000091262	chr16	8.62E-01	1.89E+00	0	0	0									
ABCC8	ENSG00000006071	chr11	8.40E-01	3.02E+00	0	0.466784	0									
ABCC9	ENSG00000069431	chr12	5.98E-01	7.62E+00	0	0	0									
ABCD1	ENSG00000101986	chrX	2.97E-01	2.89E+00	0	0	0									
ABCD2	ENSG00000173208	chr12	6.70E-01	2.30E+00	0	0	0									
ABCD3	ENSG00000117528	chr1	5.04E-01	2.77E+00	0	0.273863	0									
ABCD4	ENSG00000119688	chr14	7.72E-01	1.16E-01	0	0	0									
ABCE1	ENSG00000164163	chr4	3.77E-01	6.22E+00	0	0	0									
ABCF1	ENSG00000204574	chr6	7.02E-01	3.56E+00	0	0	0									
ABCF2	ENSG00000033050	chr7	6.33E-01	3.94E+00	0	0.075837	0									
ABCF2-H2BK1	ENSG00000285292	chr7	6.55E-01	3.92E+00	0	0	0									
ABCF3	ENSG00000161204	chr3	8.12E-01	1.15E+00	0	0	0									
ABCG1	ENSG00000160179	chr21	5.72E-01	2.56E+00	0	0.086562	0									
