gene	gene_id	chromosome	lof.oe_ci.upper	mis.z_score	IEI	gwas_score	gene_burden_score	expected_n_regulators_residuals	crossdonor_correlation_mean	zscore_Th1	neglog10_adjp_Th1	zscore_Th2	neglog10_adjp_Th2	zscore_Th17	neglog10_adjp_Th17	zscore_Treg	neglog10_adjp_Treg	polar_coef_rank_Rest	polar_coef_rank_Stim8hr	polar_coef_rank_Stim48hr	polar_coef_mean_Rest	polar_coef_mean_Stim8hr	polar_coef_mean_Stim48hr	polar_rank_range	known_polar_regulator	reg_burden_sig_Rest	reg_burden_sig_Stim8hr	reg_burden_sig_Stim48hr	n_sig_regulated_cytokines_Rest	n_sig_regulated_cytokines_Stim8hr	n_sig_regulated_cytokines_Stim48hr	has_any_significant_cytokine	n_sig_regulated_cytokine_receptors_Rest	n_sig_regulated_cytokine_receptors_Stim8hr	n_sig_regulated_cytokine_receptors_Stim48hr	has_any_significant_cytokine_receptors
A1BG	ENSG00000121410	chr19	1.23E+00	-2.95E-01	0	0	0																						0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1CF	ENSG00000148584	chr10	8.87E-01	1.05E+00	0	0.030836	0																													
A2M	ENSG00000175899	chr12	8.06E-01	2.95E+00	0	0	0		0.06826516099083003									0.5770132916340891	0.7052980132450332	0.7782722513089005	-0.001394403934589	-0.0045060164812952	-0.0074479389019933	0.20125895967481144	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2ML1	ENSG00000166535	chr12	1.01E+00	9.95E-01	0	0.051479	0																													
A3GALT2	ENSG00000184389	chr1	1.32E+00	-2.10E+00	0	0	0			0.3279906493917831	5.540375732814527e-05	0.47716512680504974	0.08574558840714597			1.472466621155712	0.6648857611349992																			
A4GALT	ENSG00000128274	chr22	NA	-5.02E-01	0	0.414555	0			1.0575076647232207	5.540375732814527e-05	0.8995036725536317	0.19961351997148624	1.583963730651616	0.6993893496907448	4.32599988256311	4.1163700180723																			
A4GNT	ENSG00000118017	chr3	1.42E+00	8.35E-01	0	0	0																													
AAAS	ENSG00000094914	chr12	9.84E-01	4.71E-01	0	0	0	-22.75326261247858		-0.1999866055214448	5.540375732814527e-05	1.1829003121232349	0.3053951863056802	-3.1799480343650837	2.2623951349989015	-4.19216383929857	3.88391954081868									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AACS	ENSG00000081760	chr12	1.01E+00	2.32E-01	0	0.395238	0	45.742711909580144		-1.6293198014423338	5.540375732814527e-05	3.532577575117755	2.3405594381210038	0.22080229003324264	0.05510668552943047	-1.3016949693054987	0.5538742060950459	0.4185561636695334	0.315078960774325	0.7827225130890052	0.0035316196710481	0.0050852221535454	-0.0076295187627133	0.4676435523146802	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADAC	ENSG00000114771	chr3	1.12E+00	1.74E-01	0	0.522032	0																													
AADACL2	ENSG00000197953	chr3	1.46E+00	2.11E-01	0	0	0																													
AADACL3	ENSG00000188984	chr1	1.52E+00	-3.77E-01	0	0	0																													
AADACL4	ENSG00000204518	chr1	1.12E+00	-2.80E-01	0	0.076671	0																													
AADAT	ENSG00000109576	chr4	6.21E-01	2.33E+00	0	0	0							2.567987924938826	1.545422604651154																					
AAGAB	ENSG00000103591	chr15	1.13E+00	-1.68E+00	0	0.442544	0	-19.229374657316352	0.8784351742443004									0.4829293719051342	0.3166072338257769	0.443717277486911	0.0015201053812948	0.0050638271719665	0.0011605232258244	0.1663221380793573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAK1	ENSG00000115977	chr2	4.19E-01	3.14E+00	0	0.42102	0	1.5752168382219907		0.5290028315651322	5.540375732814527e-05	0.5594601925739942	0.10480854942962	4.303144257143672	3.979469760581875	-0.502702331191206	0.15405144229780224									0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAMDC	ENSG00000087884	chr11	1.57E+00	1.37E-01	0	0.393114	0	19.68301631328943		-0.05457960787999485	5.540375732814527e-05	0.26487601668999117	0.04239246771164961	4.616829564074792	4.553323187960831	5.114642826222774	5.640277558809834	0.8183476674485275	0.4572083545593479	0.556282722513089	-0.0103490342563981	0.0017854745934941	-0.0016597258673367	0.3611393128891796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAMP	ENSG00000127837	chr2	3.81E-01	2.52E+00	0	0.360543	0	-18.328713961385443		-0.2230001346246183	5.540375732814527e-05	1.9483751490772998	0.724634228833267	1.4459448693467245	0.6098220277286096	-2.923208814285579	2.031493114401445									0.0	1.0	0.0								
AANAT	ENSG00000129673	chr17	1.17E+00	2.55E-01	0	0	0							-0.024505486545661957	0.006422695645132182																					
AAR2	ENSG00000131043	chr20	1.55E+00	1.18E+00	0	0	0	-39.05108454689067	-0.1930219516513261					0.24400358880953724	0.06115639329538629			0.5957779515246286	0.141365257259297	0.7646596858638743	-0.0020032705951511	0.0105466251525874	-0.0070612414300909	0.6232944286045774	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
AARD	ENSG00000205002	chr8	1.69E+00	-7.57E-01	0	0	0			-3.2272789269587605	1.1114487954729213	4.9686434713270815	4.699528640737376	-2.78706620677418	1.781548985910768	-4.247962093280935	3.9808114626163293																			
AARS1	ENSG00000090861	chr16	8.04E-01	4.88E-01	0	0	0			1.4935798945771246	5.540375732814527e-05	-0.05058240006967657	0.007625123337048887	-1.892343425254183	0.9286884039012899	1.3181789966839703	0.5644017736299892																			
AARS2	ENSG00000124608	chr6	7.87E-01	1.59E+00	0	0.665195	0			0.7232297519949245	5.540375732814527e-05	0.8737050247824967	0.19043407722689396			0.11251410400056536	0.02860517002320708												0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AARSD1	ENSG00000266967	chr17	1.16E+00	2.25E-01	0	0	0	-1.0829107480232285		0.14992538141239978	5.540375732814527e-05	1.2741185352135815	0.345670087175017	-2.2239983875759877	1.211699425272631	-0.8019326225902845	0.279496865125079									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AASDH	ENSG00000157426	chr4	9.52E-01	7.57E-01	0	0	0	-32.51972322190695	0.6437685902577394									0.3922335157675267	0.1803362200713194	0.7164921465968587	0.004260132005889	0.0091008429134331	-0.0055744825480051	0.5361559265255393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AASDHPPT	ENSG00000149313	chr11	8.95E-01	2.64E-02	0	0.098277	0	-25.396980697868326		0.17288284890519032	5.540375732814527e-05	0.6934781329524791	0.13817366459815397	1.4834422226541764	0.6340131524065734	0.22817084176164412	0.06109376016103519	0.5645035183737295	0.5669893020886398	0.5410994764397906	-0.0010181839625681	-0.0011088598661544	-0.0012651473809885	0.02588982564884923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AASS	ENSG00000008311	chr7	9.76E-01	1.20E+00	0	0	0	1.3590773296183702		0.8280590829728781	5.540375732814527e-05	1.1345104726376731	0.28305175362474233	1.416355434873339	0.5913079231902671	4.081267619005597	3.6949015850103666	0.4021370862653114	0.6793173713703515	0.7897905759162304	0.0040113228124838	-0.0037646933570403	-0.0078488693114574	0.38765348965091895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AATF	ENSG00000275700	chr17	9.58E-01	7.61E-01	0	0.158617	0							-2.550009771000573	1.5266798949310805																					
LMTK1	ENSG00000181409	chr17	9.48E-01	-2.03E+00	0	0	0			0.3096475963448076	5.540375732814527e-05	0.6251919913731234	0.11955417563605227	-0.6954544034540864	0.2167851646109275	2.5886918641146317	1.6469205698133726																			
ABAT	ENSG00000183044	chr16	8.93E-01	4.22E-01	0	0	0	21.88310750574311		-0.6434977854494501	5.540375732814527e-05	7.177596722867405	10.102053904393918	2.478672467268709	1.454846496067688	4.545924365188252	4.520213137252804									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA1	ENSG00000165029	chr9	5.85E-01	2.63E+00	0	0	0		-0.0691000797247168	-1.016103799740712	5.540375732814527e-05	-2.943471631706996	1.6194376037782827	-2.106792451528923	1.1095308845423593	-7.507555736596057	11.844386039107293	0.7615324472243941	0.6036678553234844	0.6387434554973822	-0.0077450944908249	-0.0019619613924445	-0.0036813718145018	0.15786459190090962	0.0				1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
ABCA10	ENSG00000154263	chr17	1.02E+00	8.56E-01	0	0	0			0.29271741077628743	5.540375732814527e-05	0.8673733586037492	0.18856147508475055	2.9037210398748674	1.9156054391242663	4.286377164315098	4.048140978388711																			
ABCA12	ENSG00000144452	chr2	6.07E-01	2.25E+00	0	0.048713	0			-0.10210033264694067		-0.22841336332290763				-0.7107362582126172	0.23828879021532387																			
ABCA13	ENSG00000179869	chr7	1.07E+00	-8.29E-01	0	0.399625	0			0.6785174992600433		-0.573498479130757				-0.2326246432929311	0.06256305192462656																			
ABCA2	ENSG00000107331	chr9	3.83E-01	5.44E+00	0	0.472177	0	25.172337874221288		0.8354636422019883	5.540375732814527e-05	-1.7161760321665844	0.5709751780309017	2.6041095066904254	1.5826336368549634	3.4453985184161566	2.716861704599119									0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA3	ENSG00000167972	chr16	6.08E-01	1.22E+00	0	0	0	8.275593313306798	0.0166625801573003	-0.1155681121188615	5.540375732814527e-05	-0.6492037438854271	0.12564731399772747	0.9424973116403839	0.3266819400062251	3.6053564100971873	2.9513655946136166	0.8668230388324212	0.5639327559857361	0.1782722513089005	-0.0132887301138151	-0.0010560005723187	0.0085926459085141	0.6885507875235206	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	1.0
ABCA4	ENSG00000198691	chr1	8.37E-01	5.04E-01	0	0.39652	0							0.49386567346825044	0.13995622223594226																					
ABCA5	ENSG00000154265	chr17	9.01E-01	5.26E-01	0	0.058697	0	54.59453235281587	0.0922587476855887	0.6511736779416217	5.540375732814527e-05	-0.709694651061051	0.14282467390756098	3.4755607128973667	2.6601973016730684	1.972479265466305	1.048817578417284	0.0466510294500912	0.2333163525216505	0.0678010471204188	0.0211131647168277	0.0072642057116553	0.014015295093435	0.1866653230715593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
ABCA6	ENSG00000154262	chr17	9.77E-01	-6.27E-01	0	0.058695	0			0.9306634609446833	5.540375732814527e-05	2.2838869777462505	0.9838179995157537	3.121960229868775	2.186364996158474	5.25161575915954	5.9261700723194854																			
